,fuzzer,edge
0,fairfuzz-0-exid20,10111-10128
1,aflplusplus-0-exid21,10128-10134
2,aflplusplus-0-exid22,10154-10162
3,aflfast-0-exid22,10162-10193
4,aflfast-0-exid20,10175-10578
5,radamsa-0-exid23,10187-10578
6,radamsa-0-exid21,10193-10215
7,fairfuzz-0-exid22,10215-10221
8,radamsa-0-exid20,10223-10235
9,fairfuzz-0-exid24,10235-10245
10,fairfuzz-0-exid23,10257-10351
11,aflplusplus-0-exid20,10262-10264
12,aflfast-0-exid20,10276-10287
13,fairfuzz-0-exid24,10299-10307
14,aflplusplus-0-exid21,10299-10331
15,fairfuzz-0-exid22,10307-10313
16,aflfast-0-exid22,10307-10331
17,aflfast-0-exid21,1031-1035
18,aflfast-0-exid22,10336-10344
19,aflfast-0-exid22,10336-10347
20,aflfast-0-exid24,10344-10351
21,aflfast-0-exid22,10347-10351
22,radamsa-0-exid20,10351-10366
23,fairfuzz-0-exid22,10366-10366
24,aflfast-0-exid22,10366-10378
25,fairfuzz-0-exid23,10378-10485
26,aflplusplus-0-exid21,104344-104352
27,aflfast-0-exid21,104344-104621
28,aflfast-0-exid21,104352-104357
29,aflfast-0-exid21,104352-104621
30,aflfast-0-exid23,104357-104364
31,aflfast-0-exid21,104357-104367
32,fairfuzz-0-exid24,104364-104621
33,aflfast-0-exid24,104367-104618
34,aflplusplus-0-exid24,104384-104391
35,radamsa-0-exid24,104391-104399
36,aflfast-0-exid24,104416-104429
37,fairfuzz-0-exid24,104445-104612
38,aflfast-0-exid20,104618-104621
39,radamsa-0-exid21,10485-10500
40,aflfast-0-exid21,10500-10504
41,aflplusplus-0-exid22,10500-10527
42,aflfast-0-exid23,10504-10504
43,aflplusplus-0-exid24,10504-10514
44,aflfast-0-exid20,10514-10527
45,fairfuzz-0-exid23,10527-10532
46,aflfast-0-exid24,10527-10563
47,fairfuzz-0-exid21,10532-10538
48,aflfast-0-exid20,10538-10548
49,aflplusplus-0-exid24,10548-10589
50,aflfast-0-exid20,10563-10162
51,aflplusplus-0-exid24,10563-10175
52,aflfast-0-exid23,10589-10589
53,aflfast-0-exid23,10589-10599
54,aflfast-0-exid22,10599-10532
55,aflfast-0-exid21,10599-10563
56,aflplusplus-0-exid24,10947-10965
57,aflfast-0-exid20,11636-11641
58,aflfast-0-exid23,11641-11636
59,aflfast-0-exid20,11645-11667
60,aflfast-0-exid24,11667-11675
61,aflfast-0-exid21,11675-11686
62,aflplusplus-0-exid22,11686-11703
63,aflfast-0-exid21,11703-11707
64,aflfast-0-exid24,11703-11734
65,fairfuzz-0-exid20,11707-11723
66,fairfuzz-0-exid22,11723-11730
67,aflfast-0-exid20,11730-11734
68,aflfast-0-exid24,11850-11861
69,aflplusplus-0-exid24,11861-11870
70,aflfast-0-exid20,11870-11899
71,fairfuzz-0-exid22,11899-11913
72,aflfast-0-exid20,11913-11922
73,aflfast-0-exid20,11922-11929
74,aflfast-0-exid22,11922-11932
75,fairfuzz-0-exid20,11929-11932
76,aflfast-0-exid20,11957-11966
77,aflfast-0-exid23,11966-11977
78,aflfast-0-exid23,12652-12678
79,aflfast-0-exid21,12809-12817
80,aflfast-0-exid23,12817-12843
81,aflfast-0-exid20,12843-12853
82,aflplusplus-0-exid20,12853-12871
83,aflplusplus-0-exid22,1314-1379
84,aflplusplus-0-exid24,13148-13293
85,fairfuzz-0-exid22,13208-13210
86,aflplusplus-0-exid24,13210-13215
87,radamsa-0-exid24,13251-13285
88,aflplusplus-0-exid22,13285-13293
89,aflfast-0-exid20,13289-13579
90,radamsa-0-exid21,13313-13472
91,fairfuzz-0-exid21,13481-13526
92,radamsa-0-exid20,134935-134950
93,aflplusplus-0-exid20,134950-135791
94,aflfast-0-exid20,134954-134960
95,aflfast-0-exid20,134960-134965
96,aflplusplus-0-exid21,134960-135791
97,aflfast-0-exid21,134965-134970
98,aflfast-0-exid21,134965-135791
99,aflfast-0-exid24,134970-134975
100,aflfast-0-exid22,134970-135791
101,aflfast-0-exid21,134975-134980
102,aflfast-0-exid21,134975-135791
103,aflplusplus-0-exid20,134980-134985
104,aflfast-0-exid20,134980-135791
105,aflfast-0-exid20,134985-134989
106,aflfast-0-exid20,134985-135791
107,aflfast-0-exid21,134989-135003
108,aflfast-0-exid23,134989-135791
109,radamsa-0-exid20,134996-135791
110,aflfast-0-exid20,135003-135012
111,fairfuzz-0-exid24,135012-135024
112,aflfast-0-exid20,135012-135791
113,aflfast-0-exid21,135024-135031
114,aflfast-0-exid24,135024-135791
115,aflplusplus-0-exid22,135031-135036
116,aflfast-0-exid20,135031-135041
117,radamsa-0-exid24,135036-135041
118,aflfast-0-exid20,135036-135791
119,fairfuzz-0-exid24,135041-135043
120,aflplusplus-0-exid23,135043-135048
121,aflfast-0-exid20,135043-135791
122,aflfast-0-exid24,135060-135084
123,aflplusplus-0-exid21,135068-135075
124,aflplusplus-0-exid20,135075-135084
125,aflplusplus-0-exid23,135075-135791
126,aflfast-0-exid23,135084-135086
127,aflfast-0-exid20,135084-135088
128,aflfast-0-exid23,135084-135096
129,aflfast-0-exid20,135086-135088
130,aflfast-0-exid21,135088-135096
131,aflfast-0-exid20,135096-135101
132,aflfast-0-exid20,135096-135108
133,fairfuzz-0-exid20,135101-135108
134,fairfuzz-0-exid20,135108-135118
135,radamsa-0-exid20,135116-135130
136,aflplusplus-0-exid23,135118-135120
137,aflfast-0-exid21,135120-135130
138,aflplusplus-0-exid24,135130-135134
139,aflfast-0-exid21,135130-135285
140,fairfuzz-0-exid21,135134-135139
141,radamsa-0-exid22,135139-135143
142,aflfast-0-exid20,135139-135795
143,aflplusplus-0-exid22,135143-135182
144,aflfast-0-exid20,135182-135188
145,aflfast-0-exid20,135188-135237
146,aflfast-0-exid22,135227-135232
147,aflfast-0-exid20,135227-135791
