,discovery_time,crash_frames_hash,fuzzer_combination
0,340,cfe64e8c12ead6d6a7e77d80dd4488a9,fcb
1,340,a6340aaeb50a0ddb4c6dc0acc75e6918,fcb
2,340,5e542326cbfbab81c654ad4ae382c601,fcb
3,600,7dd47396c7428ef54901dfb92a40f21f,fcb
4,600,930734fc07970f3fba9c9d663b0f7969,fcb
5,610,e1c20d504bd2f23ad90478ace07ef2d9,fcb
6,610,4d6691919f8ba7cab2a6acc47a08f99f,fcb
7,653,5753a5974858eb4e519e9a7b8ad5d7f5,fcb
8,719,c66f6b9b2e449ed0a1adb1f484b79ef4,fcb
9,879,5548e2f6523c170094389ec479703fb5,fcb
10,944,de3c17b5588478084595932fecff940d,fcb
11,944,a4ec900ded63390cd946e1d386fc7cf1,fcb
12,1116,bf02ab0860118ad9ed702744f300a45c,fcb
13,1116,29240592ff7f5b635140c9b975245d84,fcb
14,1218,3b53cd9bd58d46c5884831e9de479c48,fca
15,1218,89b37f8d743fe97579c6f6e939d9f2f0,fca
16,1244,2a0a9d7aad2b24d6d1ae34abac41c7b4,fca
17,1274,73c275fe9fd32af0da7f9f04820f181e,fca
18,1274,8ee3ef2e3903cb0419f21d7fca0ce5f0,fca
19,1276,c286f4ef28c75d8ff7147c42affd4a73,fca
20,1279,374e048c6e3766ecc8c6379ee8a24480,fca
21,1316,f94bf39e476988554edf01ee7d30201a,fca
22,1380,2d5d5a1927f6bcb8ae6299c5c018cda0,fca
23,1407,96cd8901e455d1a19000f69f2549dd50,fca
24,1410,27b1f62cae8e95d2c7adad2da3be9a9f,fcb
25,1411,92aeacf93e08217a45d3976a945920a2,fca
