,discovery_time,crash_frames_hash,fuzzer_combination
0,111,a624478673cfe92eee6663ce2269898f,fca
1,342,8c74227eed4bf13418aa08e7cfce2860,fca
2,507,9b10153fa6aba9fd0610d154ebc4e3a8,fca
3,674,cab3706d97066819dfba2890bbbb9f35,fca
4,674,8bc4cb2c1925e638e963e3bcebe0b8bd,fca
5,808,88b3e326e558c761f470b4886a2ccdf8,fca
6,931,da8aa8e5018c941dffcbb6ce3b5de7ae,fcb
7,931,9f9bd9c143ac6d6990f2943468ea5d80,fcb
8,950,35c08ee29aae0fe5286f373333476a1d,fca
9,950,6dfecc019241e7ec348aebebfb30cde3,fca
10,950,ef787e2e8bafba066b528ecf2360d4ed,fca
11,950,9c0829efb9d72bda426f08748e69da5a,fca
12,952,e77dcbb13a1a1c7b6e674b8647f8e3d9,fca
13,1003,162d4bf896e713e3ee8c4fca075c1dbf,fca
14,1003,2d8284bab5079eeb6463eeb681157292,fca
15,1003,1a64c7cd0916afa1880d62753a44a050,fca
16,1005,b01a22729c2e0e02889ab33019016c5d,fca
17,1005,c661072ad7b8cf53655e3586fc8159c0,fca
18,1005,7cfe26c4a00ed20d343253adc9ca5327,fca
19,1005,88f2f8b97e80133fc2766f9be1af42ea,fca
20,1013,ff3ce482cff012abf921703bde3e8777,fca
21,1029,ee8067dcf7e8de116c61bb97d421f5d7,fca
