,discovery_time,crash_frames_hash
0,33,242466f34bd61f7c5b79a168dbd25c63
1,33,99fad7a3b490f7d3d7fc13b4db848e11
2,37,2240f99b7364454196a6e7fac2028d2b
3,38,9c74ce5d00fb534a6644db103f1bfe0b
4,82,b6805236842427b48c7aaccd83dca7b7
5,119,dc932f8b8003795cf9d4cf9e58604b99
6,137,ef18311e55235156d43317cf16f5eb92
7,174,bf39470c4385d389d7814248ff4d17c1
8,626,333b4b08bdbba43f4ade91fe58aa064e
11,192,0385fd953418b4a9a73109965ed568c1
13,265,e295cda911fd159412aecf974a33b406
27,861,ba127fb63aa0f674b7835337994a5827
28,861,c35e68ad11ee23588788f0dd3a2c0d73
39,1308,097576036382d7d2b774623b1844285b
87,46,5cb48614635b636e96efbb73c8add63f
123,37,d05f359b27234cc1572a4c4af1b79e43
