,discovery_time,crash_frames_hash
0,610,4d6691919f8ba7cab2a6acc47a08f99f
1,610,e1c20d504bd2f23ad90478ace07ef2d9
2,653,5753a5974858eb4e519e9a7b8ad5d7f5
3,719,c66f6b9b2e449ed0a1adb1f484b79ef4
4,1419,89b37f8d743fe97579c6f6e939d9f2f0
5,1419,c286f4ef28c75d8ff7147c42affd4a73
6,340,5e542326cbfbab81c654ad4ae382c601
7,340,a6340aaeb50a0ddb4c6dc0acc75e6918
8,340,cfe64e8c12ead6d6a7e77d80dd4488a9
9,600,930734fc07970f3fba9c9d663b0f7969
10,600,7dd47396c7428ef54901dfb92a40f21f
14,1410,27b1f62cae8e95d2c7adad2da3be9a9f
18,879,5548e2f6523c170094389ec479703fb5
19,1116,29240592ff7f5b635140c9b975245d84
20,1116,bf02ab0860118ad9ed702744f300a45c
23,944,a4ec900ded63390cd946e1d386fc7cf1
25,944,de3c17b5588478084595932fecff940d
