,discovery_time,crash_frames_hash
0,1158,a1b560744ee1ea725f93e162bb5dbfb0
1,191,3455c94f5911948817c1682bc761b386
2,229,2160b6f64ffa79a39ed40d0f57f41791
3,230,cf8259252433e737ae31d3e894fde531
5,1385,f2e26da42876d7fdc72ff5e32c975ab7
6,1415,4094935f26dfd9940c6e8ef55aadaaff
7,1423,d89e5ea71af7c234a501bbc3fbb50212
11,502,87ddda0ce59711829e57ff9a2ece7a5e
13,630,e6c4886679978b89805264b2f286fca5
23,293,592fca583cd3464b1dd6edc98ed7cca7
25,632,9419f91b38edd367d90296ecfee742e2
31,1225,b5a1b4efcb6f97ef399405fa0d9684a9
43,610,fbe1ad27f36080a52b2e31a4b2d35a43
