,discovery_time,crash_frames_hash
0,9,2d91054c9de94c5eca7ef99745635aa8
1,9,b71cb45c0e69aebbecc7a064fa470eeb
2,9,cd1441e8dfe39c370ba2732fdd1f4b4f
3,11,6128f51c6c406ea6fb7c22ab72995672
4,11,cba4c4a26a9acbe4942b5a0f31f84451
5,14,0f44695389213eaaa9d22f82e4a1bbdc
6,14,189d3af2d351e4a957a2cdee6427f4fd
7,15,76963e8d3021a3a3740288656624dc7e
8,15,e0c7e593bb81a6ff05eb77f65af7cc7c
9,18,6cd47e5aebb4297df5acaba2b6b80a23
10,18,884ec7d3390930225f967542efadb816
11,18,32792956b9c80ab5079b134198ca61b8
12,18,5130600714e96c95bd2bccd69d07f496
13,18,036970cadbf3539a826ad22b62f77d20
14,18,0ab214692ecb89468e279d02fe53320c
15,24,0c22f5df8527d37af8fb39cf84536a5f
16,24,eb5d682f5a89e229ebd2b7426817c68a
17,24,50b003deb4b331c44241db4cea752ee4
18,24,7dd30d6c4aa394cae217d6922a082550
19,25,20342dca7c121d150537a553601f2cff
20,25,7eb8a033fb93be1a166b929b057f47e8
21,25,85d525a5ed697ac02f7bf45f82035839
22,25,b684b91573dd0c7ddc4935ec8f3ba6a3
23,26,37e3e9076524a4b2ea46592e302a3160
24,26,a8096fe8a03d5c3886069f170d340f05
25,29,ab82a35ef635651378049cee2e629e6a
26,29,c7d2cebfec5264147deaa0c4941e6db3
27,31,3b34085a6c59f7df3b1f34b996a4eacc
28,31,96f96aaa3e6be22754adfddb27164944
29,32,82a52b099b0cb44ccb2ec4868c8c055f
30,32,8e3b5edd63978d4a20e0ae0d181fcd60
31,34,217e3f6c0ab4aacc1417e41707b79cd2
32,34,d68ef8a660bb62fd4346463a27e8b6bb
33,36,5ae32016c91ba99ef4545e0f2a6c42dd
34,36,e47d8c0bac54f00eadd6e1e2e3662c65
35,37,0646f8dc98605131cbd13c096e45cad3
36,37,e962321310000bd8f0df569f7feedb44
37,38,1de1adfe99291fcb6fac8e9ec1a1d520
38,38,881c889b0d0e954fcc9098fea94bdc84
39,41,5dbd59db9fbfa619db19e3ee161ea098
40,41,c764e6a661b1693be2e3fb7b9e59345a
41,42,8ca2bb21e0fddfc0f2e633747e876659
42,42,9dd67af08aad434e80ae8608a163eee9
43,49,4a436bc2ae0b651b32668457aab5f28a
44,49,a5405891c81691e1eec2684d72a85f21
45,52,66cecc259f05a8d3bfff1fc273c4224f
46,52,f8be52f2f55e4e3a6786e7a0c6d42ac4
47,60,071d504f8d1935191ea3c38b37a229f7
48,60,dc029a3e1ea5e57024c0900de085fbce
49,68,553da1631e4644a8233d72607b76b023
50,68,c23d49d464482eb996d08f509d802321
51,73,5d2f29e901a6016e7d55804ebb557c1a
