,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer
1028,6220,3059954276,mopt-0-exid2,mopt,3728,ac6ce99915024bea512b01968666619684b20672014f161d91442ba26109c5ca,crash,1028,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
377,6220,3059954276,mopt-0-exid2,mopt,3728,ac6ce99915024bea512b01968666619684b20672014f161d91442ba26109c5ca,crash,377,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
1215,6225,3059954276,mopt-0-exid2,mopt,3731,73536e0859e27d4525200da8988e0ae5514bdb4d00e54f51523d0fa51e97cdaf,crash,1215,SEGV,ef18311e55235156d43317cf16f5eb92,tsan
1039,6289,2428276054,symcc-0-exid2,symcc,3812,9d1e521bd573b20c849f7bf8144f5b246af86d52cf306b5fefae8509f3413129,crash,1039,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
398,6289,2428276054,symcc-0-exid2,symcc,3812,9d1e521bd573b20c849f7bf8144f5b246af86d52cf306b5fefae8509f3413129,crash,398,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
361,6442,1394977472,fairfuzz-0-exid2,fairfuzz,4054,1f00090efbbd8196d4e7662f0697d1a1383e63a2325dcc21ae8399e6d9a31988,crash,361,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
796,6689,1394977472,fairfuzz-0-exid2,fairfuzz,4504,ef39bae3f5d351527a0efb2ca9652ff3c9c2ecefed698f3741881675a6449b71,crash,796,SEGV,ef18311e55235156d43317cf16f5eb92,tsan
1145,6694,1394977472,fairfuzz-0-exid2,fairfuzz,4506,6da995705c37fe8aea1f965f210ac16ec8feae8443f33284613db160fcd14f24,crash,1145,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
789,6889,3059954276,mopt-0-exid2,mopt,4823,271e883368aeea9d0e3cef0b21d9276672e67133023d4a7def905754187f27fd,crash,789,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan
285,7594,3010690674,aflplusplus-0-exid2,aflplusplus,8153,94fa1f1faaae26f8553777a2bc4068129f934c1b7e3d996bb4ae69d2f74e36b3,crash,285,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
982,7605,2428276054,symcc-0-exid2,symcc,8162,f8c568245895a8bb3425f75831bf579d503a821e7d84552baccc2dddb681712e,crash,982,SEGV,ef18311e55235156d43317cf16f5eb92,tsan
1291,7615,1394977472,fairfuzz-0-exid2,fairfuzz,8205,75fc13b6b16473f45e66bf2f15da14cb828b3c800e9448b6aff39b244c42ed16,crash,1291,SEGV,b6805236842427b48c7aaccd83dca7b7,ubsan
925,7627,2428276054,symcc-0-exid2,symcc,8353,ae81e90ea70189c3f39d0cf6fdd946e375ab86a6bd3c0048a3e4a357e169319e,crash,925,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan
1216,7810,1394977472,fairfuzz-0-exid2,fairfuzz,8628,54a80cc9d5f80bb27054ec5b5bd99550f64e648334402e3fe3f6af6567a84158,crash,1216,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan
1292,7873,1394977472,fairfuzz-0-exid2,fairfuzz,8820,dc555a97631470ccbe66ae0528720107819a3084e3ac38d47d15cba8c4cd498c,crash,1292,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
772,7873,1394977472,fairfuzz-0-exid2,fairfuzz,8820,dc555a97631470ccbe66ae0528720107819a3084e3ac38d47d15cba8c4cd498c,crash,772,heap-use-after-free,bf39470c4385d389d7814248ff4d17c1,asan
1290,9458,2428276054,symcc-0-exid2,symcc,17846,db9d628f237abf31264badc235943a93721b3444110a87f0f9ae6bc25766583c,crash,1290,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
473,9458,2428276054,symcc-0-exid2,symcc,17846,db9d628f237abf31264badc235943a93721b3444110a87f0f9ae6bc25766583c,crash,473,heap-use-after-free,bf39470c4385d389d7814248ff4d17c1,asan
747,10758,3059954276,mopt-0-exid2,mopt,36648,0bcc28d5b053fab4ba46b0bb0e1c02e79abb03f757de1dc3cac642da3a4d398a,crash,747,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
1283,11183,3010690674,aflplusplus-0-exid2,aflplusplus,44235,e6ca256ed55ee16876e5db9f23f01c8e92f366653706dd969d483d792a59053c,crash,1283,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
811,11192,3010690674,aflplusplus-0-exid2,aflplusplus,44236,477cf322e252366d22570af6c683316a223f83e5032af55544208e588a51b54b,crash,811,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan
280,11781,3059954276,mopt-0-exid2,mopt,54733,fe4cad5a804619e62efebf741a38ca70231ddd0c0cc9188e24aea8707959731d,crash,280,heap-use-after-free,bf39470c4385d389d7814248ff4d17c1,asan
