,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer
538,6130,1685922205,afl-0-exid23,afl,11773,f97df8edaf9513fd106854029bf4b61b1947562f8fce01e2c0c5c5fba41e7d89,crash,538,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
133,6130,1685922205,afl-0-exid23,afl,11773,f97df8edaf9513fd106854029bf4b61b1947562f8fce01e2c0c5c5fba41e7d89,crash,133,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
762,6246,1685922205,afl-0-exid23,afl,12912,e96908a197885b17f31dec35d697ea3676983ae90d91d4ab40ab7ed5a425ffaf,crash,762,SEGV,ef18311e55235156d43317cf16f5eb92,tsan
713,6300,1386448761,fairfuzz-0-exid23,fairfuzz,13893,92081b8c7a004f812dd6410a2cdd1bfc9a71675838ac218fc62fd35c45f344be,crash,713,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
329,6300,1386448761,fairfuzz-0-exid23,fairfuzz,13893,92081b8c7a004f812dd6410a2cdd1bfc9a71675838ac218fc62fd35c45f344be,crash,329,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
795,6633,1685922205,afl-0-exid23,afl,16968,48440cdfcb50056a942e11857f8c2a09970ac016cce6d2ec51d87f5cdf0839d3,crash,795,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
351,6633,1685922205,afl-0-exid23,afl,16968,48440cdfcb50056a942e11857f8c2a09970ac016cce6d2ec51d87f5cdf0839d3,crash,351,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
707,6920,1685922205,afl-0-exid23,afl,22302,6fdf81e7feda21e97c9d315c0eab9d4ff0e8e3b73a019983ece7d0b8a6674cf0,crash,707,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan
520,7781,2960370732,aflplusplus-0-exid23,aflplusplus,51387,b3c34888d74d0709ee623485244f48ff944d5c877413b7852306062b7b9202eb,crash,520,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
113,7781,2960370732,aflplusplus-0-exid23,aflplusplus,51387,b3c34888d74d0709ee623485244f48ff944d5c877413b7852306062b7b9202eb,crash,113,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
678,7946,1386448761,fairfuzz-0-exid23,fairfuzz,58042,734f00e22424cd499afdf451e9fed6be487d339a32ecb572c18f311fcd16eba4,crash,678,SEGV,ef18311e55235156d43317cf16f5eb92,tsan
521,8185,237836456,aflfast-0-exid23,aflfast,76935,a251e13efd14812f153386d38ffa591c0c316a6d29b97e999551c09a2d2ded5e,crash,521,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
114,8185,237836456,aflfast-0-exid23,aflfast,76935,a251e13efd14812f153386d38ffa591c0c316a6d29b97e999551c09a2d2ded5e,crash,114,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
