,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer
108,1909,3145854643,mopt-0-exid4,mopt,613,e442c2864f1a981c863e0868d776bea611557e3ff31e74224817559cf7657916,crash,108,heap-buffer-overflow,8c74227eed4bf13418aa08e7cfce2860,asan
1005,5591,1391336914,fairfuzz-0-exid4,fairfuzz,2689,a61a6c9d5b4ff5a8ee3865b4710c36bf085583d05be1e92feeb5ea46bc8b8270,crash,1005,SEGV,31fdadb70cea93ae8e5fc42f7429577c,asan
3494,5591,1391336914,fairfuzz-0-exid4,fairfuzz,2689,a61a6c9d5b4ff5a8ee3865b4710c36bf085583d05be1e92feeb5ea46bc8b8270,crash,3494,SEGV,3eb5851e990e6e543e3861801339bdd6,tsan
2249,5591,1391336914,fairfuzz-0-exid4,fairfuzz,2689,a61a6c9d5b4ff5a8ee3865b4710c36bf085583d05be1e92feeb5ea46bc8b8270,crash,2249,SEGV,f0f342bb14e9e6e68dd08d6238202490,msan
1015,5672,2820883414,symcc-0-exid4,symcc,2721,c44d2a2b5a488993436d2c9709fbe5478e57ea42ddc5ccf61c2da8c8621c84ee,crash,1015,SEGV,31fdadb70cea93ae8e5fc42f7429577c,asan
3504,5672,2820883414,symcc-0-exid4,symcc,2721,c44d2a2b5a488993436d2c9709fbe5478e57ea42ddc5ccf61c2da8c8621c84ee,crash,3504,SEGV,3eb5851e990e6e543e3861801339bdd6,tsan
2259,5672,2820883414,symcc-0-exid4,symcc,2721,c44d2a2b5a488993436d2c9709fbe5478e57ea42ddc5ccf61c2da8c8621c84ee,crash,2259,SEGV,f0f342bb14e9e6e68dd08d6238202490,msan
490,5701,1391336914,fairfuzz-0-exid4,fairfuzz,2743,eea07799bb6639615501bbf70515f25929365c38d4dee852c4be2eb8a1291e40,crash,490,SEGV,40f1c3f1b305c9a217e4613dda5fe6f9,asan
1758,5701,1391336914,fairfuzz-0-exid4,fairfuzz,2743,eea07799bb6639615501bbf70515f25929365c38d4dee852c4be2eb8a1291e40,crash,1758,SEGV,6af674ab4d03f120df5b8d533dbfba29,msan
2998,5701,1391336914,fairfuzz-0-exid4,fairfuzz,2743,eea07799bb6639615501bbf70515f25929365c38d4dee852c4be2eb8a1291e40,crash,2998,SEGV,9998a4fe7585775b5b5fac75696a1ccc,tsan
3208,6269,2820883414,symcc-0-exid4,symcc,3074,fd0988f069222dd8798e4181ed377a6272b95f85df8568831d24ab75a06f14da,crash,3208,SEGV,0ff5d2c1e4d1f2abb970c81bbf93aff7,tsan
706,6269,2820883414,symcc-0-exid4,symcc,3074,fd0988f069222dd8798e4181ed377a6272b95f85df8568831d24ab75a06f14da,crash,706,SEGV,7b5bad529ef025686e8e057d89315614,asan
1966,6269,2820883414,symcc-0-exid4,symcc,3074,fd0988f069222dd8798e4181ed377a6272b95f85df8568831d24ab75a06f14da,crash,1966,SEGV,a68b23068d3f1d2f0ba0dc3c41286e6f,msan
