,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer
290,2499,2964439925,afl-0-exid24,afl,999,2282b08b438283ef3bb74d842a162300aa09062da625abb3064d31ff006c2445,crash,290,SEGV,6cd47e5aebb4297df5acaba2b6b80a23,asan
597,2499,2964439925,afl-0-exid24,afl,999,2282b08b438283ef3bb74d842a162300aa09062da625abb3064d31ff006c2445,crash,597,SEGV,884ec7d3390930225f967542efadb816,msan
489,2565,2964439925,afl-0-exid24,afl,1032,dd7dc62f3aa565fb66c73a5dffe0ec842e785d2188dbfd3f07d9d5b1e7123bc8,crash,489,SEGV,6128f51c6c406ea6fb7c22ab72995672,msan
147,2565,2964439925,afl-0-exid24,afl,1032,dd7dc62f3aa565fb66c73a5dffe0ec842e785d2188dbfd3f07d9d5b1e7123bc8,crash,147,SEGV,cba4c4a26a9acbe4942b5a0f31f84451,asan
384,2623,2964439925,afl-0-exid24,afl,1067,d6e733f3f6843eee475acac3026d986ddb52a29020f9613148f15889f2629164,crash,384,SEGV,0646f8dc98605131cbd13c096e45cad3,msan
10,2623,2964439925,afl-0-exid24,afl,1067,d6e733f3f6843eee475acac3026d986ddb52a29020f9613148f15889f2629164,crash,10,SEGV,e962321310000bd8f0df569f7feedb44,asan
47,3370,2964439925,afl-0-exid24,afl,1312,2cb05d1f85fc4747d7b82bd3a1da8908740af7939b12786102bd7db3ada667cd,crash,47,SEGV,036970cadbf3539a826ad22b62f77d20,asan
411,3370,2964439925,afl-0-exid24,afl,1312,2cb05d1f85fc4747d7b82bd3a1da8908740af7939b12786102bd7db3ada667cd,crash,411,SEGV,0ab214692ecb89468e279d02fe53320c,msan
446,3425,3198721294,fairfuzz-0-exid24,fairfuzz,1340,ea49fc53d8b67b80b7410eb89c65276d97f3b0195131f1daab81f6e8347daf06,crash,446,SEGV,6128f51c6c406ea6fb7c22ab72995672,msan
92,3425,3198721294,fairfuzz-0-exid24,fairfuzz,1340,ea49fc53d8b67b80b7410eb89c65276d97f3b0195131f1daab81f6e8347daf06,crash,92,SEGV,cba4c4a26a9acbe4942b5a0f31f84451,asan
125,3480,3198721294,fairfuzz-0-exid24,fairfuzz,1352,6c8ed037589497f896324df20cf250c981279a1004a4d115e8f19ab4dfc066f3,crash,125,SEGV,6cd47e5aebb4297df5acaba2b6b80a23,asan
470,3480,3198721294,fairfuzz-0-exid24,fairfuzz,1352,6c8ed037589497f896324df20cf250c981279a1004a4d115e8f19ab4dfc066f3,crash,470,SEGV,884ec7d3390930225f967542efadb816,msan
496,3482,3198721294,fairfuzz-0-exid24,fairfuzz,1354,067ff018394c61e1340fbe41273fd0664a4d20b2a622b9c1e83a5c06b7b07f74,crash,496,SEGV,0646f8dc98605131cbd13c096e45cad3,msan
156,3482,3198721294,fairfuzz-0-exid24,fairfuzz,1354,067ff018394c61e1340fbe41273fd0664a4d20b2a622b9c1e83a5c06b7b07f74,crash,156,SEGV,e962321310000bd8f0df569f7feedb44,asan
