,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
142,5041,1321721935,mopt-0-exid1,mopt,1735,664a2a0fa4bfcdf519ffc091a8314077eec8256f64f85732413164d5f5aebb30,crash,142,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan,fca,cflow
732,5644,1321721935,mopt-0-exid1,mopt,3191,2cb7b58fcb0dee4bc79df52c9c3184a2b3796c7a77e27bcfb9cb5aaa2a8210cc,crash,732,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan,fca,cflow
411,7913,1321721935,mopt-0-exid1,mopt,11564,d81b10b6a0c3d4ceec3e9bc7d5be0b08abc5e90273f0120e4d2bd4f64c0d3992,crash,411,heap-use-after-free,0385fd953418b4a9a73109965ed568c1,asan,fca,cflow
293,8286,1321721935,mopt-0-exid1,mopt,14598,eba32e0f60e987ba0f9970066e87ecd5b91113e2ae7b54d624a2a486860e6eca,crash,293,heap-buffer-overflow,333b4b08bdbba43f4ade91fe58aa064e,asan,fca,cflow
703,8359,385611560,symcc-0-exid1,symcc,15920,3b23a7b1131ebfacfa1a1b82f7729ecb439485418ceb43ceaddc1d87a4dae4f5,crash,703,SEGV,e295cda911fd159412aecf974a33b406,ubsan,fca,cflow
240,8941,1321721935,mopt-0-exid1,mopt,22194,e038ff7a8684440db8a9cb567bebf1a392ffc20a86cd7bc29b7e10ea41b72724,crash,240,heap-use-after-free,bf39470c4385d389d7814248ff4d17c1,asan,fca,cflow
639,10346,385611560,symcc-0-exid1,symcc,47170,9ccb3bccb72ac3e03738ea8e417a92c08945671b0767307fb83ebde25e956544,crash,639,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan,fca,cflow
328,10346,385611560,symcc-0-exid1,symcc,47170,9ccb3bccb72ac3e03738ea8e417a92c08945671b0767307fb83ebde25e956544,crash,328,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan,fca,cflow
561,10482,1321721935,mopt-0-exid1,mopt,47881,ea601e15c5ed7b5b3eb69965bd2c40e1ff7239b7dac83ee8d0b71701bcc67463,crash,561,SEGV,ef18311e55235156d43317cf16f5eb92,tsan,fca,cflow
676,10990,1321721935,mopt-0-exid1,mopt,59701,8987e0016cd045ee547a120e05c89727ec727f1013721a29231748d23644d699,crash,676,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan,fca,cflow
