,Unnamed: 0,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,49,1198,1517319579,mopt-0-exid0,mopt,550,799cd94678c91d1827531524a05eb19bbc84add22eb0d5bf9e9b97df860e024d,crash,49,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
1,12,1411,1517319579,mopt-0-exid0,mopt,724,8055aa98929339df412146612bcfa125cfaa6f4b82080e32e1fe1ed37e42e53f,crash,12,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
2,41,1517,1517319579,mopt-0-exid0,mopt,765,4e4c55b801c814825d4e6e1e567b51e7c5ff9d8b52020bfea87820a1f511d782,crash,41,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
3,4,1347,201321077,mopt-0-exid1,mopt,835,bb2dd4f1888ae54b6257ad55ab4558d4979da586e328f195cdbbedf98eb702ef,crash,4,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
4,18,1436,201321077,mopt-0-exid1,mopt,867,50d31b959c3f0e4114c7ef63612c6c4ffb127889092e752304c1966ba3f8114a,crash,18,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
5,38,1794,201321077,mopt-0-exid1,mopt,1248,ab335ebf45433f2eaf5fd4e907097553185133594823ce9ed6a09fca2d995918,crash,38,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
6,7,1046,3048850220,mopt-0-exid2,mopt,392,ab7a351ea3f1c7eff8e2205cca6791a996decaaff0ca8216409a1b58cc1b5ee9,crash,7,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
7,35,2824,3048850220,mopt-0-exid2,mopt,2374,70e520f982548b28a7993bbd9f6b8da68dceccf6c00079d8dfce04b05c691b32,crash,35,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
8,12,3413,3048850220,mopt-0-exid2,mopt,3695,b5faae90a9d6d8bdf9872237bd68f60aea619a6f97473354a282f907af2718d9,crash,12,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
9,27,1626,1843487068,mopt-0-exid3,mopt,801,dd3ff751861ec2c71e16f458634c1d555132a01b5820e4012fec4194d3978adf,crash,27,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
10,25,2456,1843487068,mopt-0-exid3,mopt,1413,37583a9b6190f8529359781cfe4c1c7e737b19fab00a82855fc0669dedc10d42,crash,25,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
11,48,3169,1843487068,mopt-0-exid3,mopt,2233,ecf546b6c4342a2ab257d4115fd46d195a5ea919121c8e65912894cd5b9d5149,crash,48,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
12,23,1273,850253383,mopt-0-exid4,mopt,451,56441d60c86b185dc8fcd541589018fe64788c4585b4707d10654f1b29b08c32,crash,23,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
13,29,1866,850253383,mopt-0-exid4,mopt,847,d861b53b5f24294e7531a7bfd2c2f81c6c1010509725b50b2dcf6117895847dd,crash,29,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
14,22,5176,850253383,mopt-0-exid4,mopt,7258,f28a76dad86f4b74cc15b5ca4fda282e7ab1eab7be50c0195e9429e1bbff9663,crash,22,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
15,9,1795,3188285508,mopt-0-exid0,mopt,1329,be389bce07a0bc2eedaac4c988a95366d2d22a411c66e500fa1c260a59395749,crash,9,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
16,14,2921,3188285508,mopt-0-exid0,mopt,3037,936af73e3e98ca019e76dc51544d8a59ae563f967b41725b633dd5107dca793b,crash,14,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
17,16,4869,3188285508,mopt-0-exid0,mopt,8698,63a7e0463a4a9339cbf756218b2bc795ae44bdd1b7e90c256a65c633713401cd,crash,16,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
18,3,1987,653457040,mopt-0-exid1,mopt,1383,10e81f68619c8e0ca259fc494f9aff499229645a1434eec20d575512a65fd87f,crash,3,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
19,9,2811,653457040,mopt-0-exid1,mopt,2657,f09a034a858c5201dafbf43788af549b3e492b79dc713365c35c7635513f9fd9,crash,9,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
20,18,2876,653457040,mopt-0-exid1,mopt,2826,31015049492f97bcbab2c5edf865f2ef3c2ed6ab92c4bdf12c471bf7dc57fc48,crash,18,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
21,40,933,2347702466,mopt-0-exid2,mopt,345,fb2ce0d8026acfecb28a64989df232ac28a2054b07ff410d87b3fa8d33ce6a2b,crash,40,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
22,19,2978,2347702466,mopt-0-exid2,mopt,2417,867bce70108000e047f9e746e996a642fc874a543f7df72694a76d2207bd777a,crash,19,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
23,14,3528,2347702466,mopt-0-exid2,mopt,3043,2d2db05c9a87f8311c1b58344cbff6d50b4a5cc335c66d6454b5510e75878884,crash,14,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
24,4,912,342241140,mopt-0-exid3,mopt,308,0d543fe502e7c1aef4b0ef9207d1b29b498b99755566d2249f5b116f8f93f10e,crash,4,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
25,13,1240,342241140,mopt-0-exid3,mopt,450,c2ba600d81e6fc417e554c11523733a6b637fe6412e6d023e0d34cfc4ae7c063,crash,13,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
26,19,7934,342241140,mopt-0-exid3,mopt,32225,7e39624254db56a95b1fde6572a0de6a81a43cf9d9fcd186601904576553132a,crash,19,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
27,13,2245,258517734,mopt-0-exid4,mopt,1120,18a291f4a570a862e983df39fdbef5e3c5731fd6cfa6e810a6750af0b0525184,crash,13,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
28,35,3124,258517734,mopt-0-exid4,mopt,2296,be72625529d87adc1366e20e7c4a704d8b4bfac0a8f15542bd17db9fdb040408,crash,35,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
29,41,5369,258517734,mopt-0-exid4,mopt,9925,a9fdb779c7afa60242743cd4a587676f956076ee34549ca4c1a0f8cd61f2a0c2,crash,41,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
30,20,1284,4041723024,mopt-0-exid0,mopt,676,5142b56ba86f8c7bdd373c7456c9129b4a1465281815d68482cf5dc110318594,crash,20,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
31,13,1299,4041723024,mopt-0-exid0,mopt,690,344947d4cbd35312ee0a71fd88035be5fa61dc00dc3a0245f08b0fac32f44750,crash,13,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
32,45,2852,4041723024,mopt-0-exid0,mopt,2457,28d65b4701c3e050eeed88778ed20bee98e3f08041c252bd932108d208b27075,crash,45,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
33,37,1455,2206026153,mopt-0-exid1,mopt,951,a2cf194149120d713bfa9ebdf6541dba3b00b13a707aadeb267347a0a28f3c7d,crash,37,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
34,2,1456,2206026153,mopt-0-exid1,mopt,953,d68184371850ea16b99600c633ec75618d124d7360aab3bf0e916780d19ec84f,crash,2,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
35,38,4741,2206026153,mopt-0-exid1,mopt,9524,aa73ab66c59232f39aadaa3e2faf19be77333beea052793598549e9689d1ca51,crash,38,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
36,5,959,1019147919,mopt-0-exid2,mopt,229,2cfcb856f823a284f0f92b33c5cd0349885e4663b509b09783a667b1b530f24d,crash,5,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
37,28,1054,1019147919,mopt-0-exid2,mopt,279,b21fd0eb31b0e542c258fb3f2f9a89d08efbee6864b9c256f005d3c40caffe29,crash,28,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
38,27,5686,1019147919,mopt-0-exid2,mopt,11464,d8bfb78bba28503b2332947dad67c799dda797a9b1ae62ab80f285b7662dfbde,crash,27,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
39,50,1015,3064972066,mopt-0-exid3,mopt,305,50c01e0210c5976054a7d865e549bd46e15b0b1940221772cb35763046155deb,crash,50,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
40,29,1133,3064972066,mopt-0-exid3,mopt,332,6f94dc3585458396d1f9a52e11cac2f5b51dc69b4d3855a23d4f94f7180790b5,crash,29,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
41,48,1990,3064972066,mopt-0-exid3,mopt,963,9359d0dae7b433a08195045aef0e8d5bdef2f246b7d8e23da393444123b5af8a,crash,48,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
42,9,1076,748744651,mopt-0-exid4,mopt,291,bfcaf1d25c1fd8c0e18e29cf35c4a2db5e5153f95f6ff819bd997a33581fb1eb,crash,9,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
43,28,3446,748744651,mopt-0-exid4,mopt,2617,018264ae0748c902d797a17b2e1076a77a9155219437bc4b029da0a6b4c1acce,crash,28,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
44,27,3941,748744651,mopt-0-exid4,mopt,3535,25a3bd4ec0711f2f0a36eb0253a1c1765b304ecb8fc964fab6f6e715d573dbff,crash,27,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
45,19,1338,2291253801,mopt-0-exid0,mopt,733,572ff04668c2a5a5e6fd8f87c3db09a1bf3a9286edbf529f540f466b9f64a846,crash,19,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
46,5,1963,2291253801,mopt-0-exid0,mopt,1546,63b665d648fb217f78ff8851a10e768e19b90b375cec4a62baad9419a2f26d73,crash,5,heap-buffer-overflow,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
47,17,3084,2291253801,mopt-0-exid0,mopt,3271,fbc87fd5e26e40f10acc2e681466ef956f443703baf707af6e297f7378373f18,crash,17,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
48,19,1076,832079167,mopt-0-exid1,mopt,417,7a1a6c609364a8a926f56506f951f0fdc853d20c60cc772262fe9eb38be93f1f,crash,19,heap-buffer-overflow,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
49,17,1786,832079167,mopt-0-exid1,mopt,1220,96b022b9336e6ee586c3513bfcafbb96a91350a5f69738e9a32a61ed6f44de62,crash,17,heap-buffer-overflow,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
