,Unnamed: 0,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,2,2824,2808446888,fairfuzz-0-exid20,fairfuzz,29806,6a74000a47233457670b13eec248fa2fb351047254ef51c819654295dcced132,crash,2,allocator,a1b560744ee1ea725f93e162bb5dbfb0,asan,fcb,mp42aac
1,3,888,161617363,aflplusplus-0-exid21,aflplusplus,1208,51eac270968d3577ddfaf00cc0138f6b843f829ff47c8e229b3f417fc27d37a6,crash,3,requested,87ddda0ce59711829e57ff9a2ece7a5e,asan,fcb,mp42aac
2,4,1435,2348926223,fairfuzz-0-exid21,fairfuzz,2992,cdc413a1a1ed98a40ae68b6cdeb8a1f663672567dcfb82b0784c6501b62fe9b7,crash,4,SEGV,9419f91b38edd367d90296ecfee742e2,asan,fcb,mp42aac
3,2,3105,2348926223,fairfuzz-0-exid21,fairfuzz,37500,115bda6e02398aeb080fcf01f827254308343f247c44940cdf9778ba71bec6b7,crash,2,allocator,a1b560744ee1ea725f93e162bb5dbfb0,asan,fcb,mp42aac
4,1,2145,1674062072,fairfuzz-0-exid22,fairfuzz,18299,caccec8fe106c61838d6f182e7130f2f4397978a076c5f9c6295f1dab91ad4c6,crash,1,allocator,a1b560744ee1ea725f93e162bb5dbfb0,asan,fcb,mp42aac
5,7,2264,877081597,afl-0-exid23,afl,21110,a2f1e87ce063f3ac30e60b5771d5c456dee4e73fa15cbcada51e8f8d7a8dc0f8,crash,7,requested,87ddda0ce59711829e57ff9a2ece7a5e,asan,fcb,mp42aac
6,8,2740,877081597,afl-0-exid23,afl,36430,cca72c489ade846f397abe3da8b764e1a1a3d25e86b0df4ea07abe199f758563,crash,8,heap-buffer-overflow,cf8259252433e737ae31d3e894fde531,asan,fcb,mp42aac
7,3,2745,877081597,afl-0-exid23,afl,36462,80da13c271eee86889df02a73707e276af98a77a7949b2be41215e324503d09a,crash,3,SEGV,d89e5ea71af7c234a501bbc3fbb50212,asan,fcb,mp42aac
8,5,2762,877081597,afl-0-exid23,afl,36526,efdb1af837a979efec5b33774477a2711502b400277b015519035823aa1ca4aa,crash,5,heap-buffer-overflow,592fca583cd3464b1dd6edc98ed7cca7,asan,fcb,mp42aac
9,1,2202,2915392942,fairfuzz-0-exid24,fairfuzz,31487,df8d46cb8e475a9038ca0e804d9196610cae56ea47ed9d26847ff867485b8c85,crash,1,allocator,a1b560744ee1ea725f93e162bb5dbfb0,asan,fcb,mp42aac
10,1,3575,2241904239,fairfuzz-0-exid20,fairfuzz,51750,6d9271e3238af97ed7d9cb555687d3c3eedbd9bbbf42640f75e8d031253606c6,crash,1,allocator,a1b560744ee1ea725f93e162bb5dbfb0,asan,fcb,mp42aac
11,1,973,3660845610,aflplusplus-0-exid21,aflplusplus,1965,810eb6514b9d72cdc980e58b529e637bf5e68ac9c6dd9933b70bd0963504507f,crash,1,requested,87ddda0ce59711829e57ff9a2ece7a5e,asan,fcb,mp42aac
12,2,3216,3212416642,fairfuzz-0-exid21,fairfuzz,29727,768d9fed76bf344a428aa3d683aaaa930178e2b33d05dc5e4a794912b6061bc2,crash,2,SEGV,9419f91b38edd367d90296ecfee742e2,asan,fcb,mp42aac
13,1,2688,3381806083,fairfuzz-0-exid22,fairfuzz,44126,6fff844d651fe90bbc77add86ae4fd6269e459be422d8bd770efdf358f6e5dfe,crash,1,requested,87ddda0ce59711829e57ff9a2ece7a5e,asan,fcb,mp42aac
