,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
3444,1742,3753075614,fairfuzz-0-exid0,fairfuzz,433,ade47ef927dacb2fc76812441d823ddc090bf4e2119fcdca4118f035729ca2c2,crash,3444,SEGV,82a52b099b0cb44ccb2ec4868c8c055f,tsan,fca,nm
968,1742,3753075614,fairfuzz-0-exid0,fairfuzz,433,ade47ef927dacb2fc76812441d823ddc090bf4e2119fcdca4118f035729ca2c2,crash,968,SEGV,8e3b5edd63978d4a20e0ae0d181fcd60,asan,fca,nm
2260,1742,3753075614,fairfuzz-0-exid0,fairfuzz,433,ade47ef927dacb2fc76812441d823ddc090bf4e2119fcdca4118f035729ca2c2,crash,2260,SEGV,8e3b5edd63978d4a20e0ae0d181fcd60,msan,fca,nm
1332,3782,1853449382,mopt-0-exid0,mopt,925,d9642500048342e3c12c81847571788c4f82f9a6ff485de88d6185a9492d16e0,crash,1332,heap-buffer-overflow,8c74227eed4bf13418aa08e7cfce2860,asan,fca,nm
1953,4171,3734445675,symcc-0-exid0,symcc,1076,35a297deed1ada6760a0a10b07abfabc2af4b7c2f36d5bff32d438cafb6bd2b8,crash,1953,SEGV,6128f51c6c406ea6fb7c22ab72995672,msan,fca,nm
3134,4171,3734445675,symcc-0-exid0,symcc,1076,35a297deed1ada6760a0a10b07abfabc2af4b7c2f36d5bff32d438cafb6bd2b8,crash,3134,SEGV,6128f51c6c406ea6fb7c22ab72995672,tsan,fca,nm
565,4171,3734445675,symcc-0-exid0,symcc,1076,35a297deed1ada6760a0a10b07abfabc2af4b7c2f36d5bff32d438cafb6bd2b8,crash,565,SEGV,cba4c4a26a9acbe4942b5a0f31f84451,asan,fca,nm
208,4179,3734445675,symcc-0-exid0,symcc,1078,309fa329b6643ae90497e8dd642de8907062767db3f3b2c495cafa104624f071,crash,208,SEGV,ab82a35ef635651378049cee2e629e6a,asan,fca,nm
1681,4179,3734445675,symcc-0-exid0,symcc,1078,309fa329b6643ae90497e8dd642de8907062767db3f3b2c495cafa104624f071,crash,1681,SEGV,c7d2cebfec5264147deaa0c4941e6db3,msan,fca,nm
2852,4179,3734445675,symcc-0-exid0,symcc,1078,309fa329b6643ae90497e8dd642de8907062767db3f3b2c495cafa104624f071,crash,2852,SEGV,c7d2cebfec5264147deaa0c4941e6db3,tsan,fca,nm
623,4180,3734445675,symcc-0-exid0,symcc,1078,6d1ad0e4239c12d97f2b361ca2ab4d69c55917c27e38ba199c150c1408197022,crash,623,SEGV,85d525a5ed697ac02f7bf45f82035839,asan,fca,nm
2001,4180,3734445675,symcc-0-exid0,symcc,1078,6d1ad0e4239c12d97f2b361ca2ab4d69c55917c27e38ba199c150c1408197022,crash,2001,SEGV,b684b91573dd0c7ddc4935ec8f3ba6a3,msan,fca,nm
3180,4180,3734445675,symcc-0-exid0,symcc,1078,6d1ad0e4239c12d97f2b361ca2ab4d69c55917c27e38ba199c150c1408197022,crash,3180,SEGV,b684b91573dd0c7ddc4935ec8f3ba6a3,tsan,fca,nm
2043,4285,3734445675,symcc-0-exid0,symcc,1109,2a38e97693762895bcea3a43ccaf3611e5f3592ec44321294cb8cc894e7292a7,crash,2043,SEGV,0646f8dc98605131cbd13c096e45cad3,msan,fca,nm
3222,4285,3734445675,symcc-0-exid0,symcc,1109,2a38e97693762895bcea3a43ccaf3611e5f3592ec44321294cb8cc894e7292a7,crash,3222,SEGV,0646f8dc98605131cbd13c096e45cad3,tsan,fca,nm
673,4285,3734445675,symcc-0-exid0,symcc,1109,2a38e97693762895bcea3a43ccaf3611e5f3592ec44321294cb8cc894e7292a7,crash,673,SEGV,e962321310000bd8f0df569f7feedb44,asan,fca,nm
1167,4479,3734445675,symcc-0-exid0,symcc,1166,9878414d7b59a75b6be0edba5393d0a586f72c3b921fa74ddf587a5a3a37130f,crash,1167,SEGV,38437eee2d9c701de96336291632678f,asan,fca,nm
2411,4479,3734445675,symcc-0-exid0,symcc,1166,9878414d7b59a75b6be0edba5393d0a586f72c3b921fa74ddf587a5a3a37130f,crash,2411,SEGV,e6d7a1d059817b81e9924cd15c91399b,msan,fca,nm
3601,4479,3734445675,symcc-0-exid0,symcc,1166,9878414d7b59a75b6be0edba5393d0a586f72c3b921fa74ddf587a5a3a37130f,crash,3601,SEGV,e6d7a1d059817b81e9924cd15c91399b,tsan,fca,nm
997,5017,3753075614,fairfuzz-0-exid0,fairfuzz,1368,49782e81b0aa325c2d897c2c06bdd1d317b0825608f781a559b1f397c1472195,crash,997,SEGV,76963e8d3021a3a3740288656624dc7e,asan,fca,nm
2285,5017,3753075614,fairfuzz-0-exid0,fairfuzz,1368,49782e81b0aa325c2d897c2c06bdd1d317b0825608f781a559b1f397c1472195,crash,2285,SEGV,e0c7e593bb81a6ff05eb77f65af7cc7c,msan,fca,nm
3469,5017,3753075614,fairfuzz-0-exid0,fairfuzz,1368,49782e81b0aa325c2d897c2c06bdd1d317b0825608f781a559b1f397c1472195,crash,3469,SEGV,e0c7e593bb81a6ff05eb77f65af7cc7c,tsan,fca,nm
304,5018,3753075614,fairfuzz-0-exid0,fairfuzz,1368,4a49d5fd203cebf86c5b00f30b4ddea16682a85cb6eb68b4b46c7a08d4c6f6cd,crash,304,SEGV,32792956b9c80ab5079b134198ca61b8,asan,fca,nm
1754,5018,3753075614,fairfuzz-0-exid0,fairfuzz,1368,4a49d5fd203cebf86c5b00f30b4ddea16682a85cb6eb68b4b46c7a08d4c6f6cd,crash,1754,SEGV,5130600714e96c95bd2bccd69d07f496,msan,fca,nm
2930,5018,3753075614,fairfuzz-0-exid0,fairfuzz,1368,4a49d5fd203cebf86c5b00f30b4ddea16682a85cb6eb68b4b46c7a08d4c6f6cd,crash,2930,SEGV,5130600714e96c95bd2bccd69d07f496,tsan,fca,nm
297,5027,3753075614,fairfuzz-0-exid0,fairfuzz,1369,cc1b4f884bb0c9c273a00b837dd4a1a3ee9a9c0b3d72cdf1405841132a6f75e6,crash,297,SEGV,6cd47e5aebb4297df5acaba2b6b80a23,asan,fca,nm
1749,5027,3753075614,fairfuzz-0-exid0,fairfuzz,1369,cc1b4f884bb0c9c273a00b837dd4a1a3ee9a9c0b3d72cdf1405841132a6f75e6,crash,1749,SEGV,884ec7d3390930225f967542efadb816,msan,fca,nm
2925,5027,3753075614,fairfuzz-0-exid0,fairfuzz,1369,cc1b4f884bb0c9c273a00b837dd4a1a3ee9a9c0b3d72cdf1405841132a6f75e6,crash,2925,SEGV,884ec7d3390930225f967542efadb816,tsan,fca,nm
112,5045,3753075614,fairfuzz-0-exid0,fairfuzz,1377,64038b83d908468236658fda125b813df172167f3d7421e8f354845906607fef,crash,112,SEGV,036970cadbf3539a826ad22b62f77d20,asan,fca,nm
1600,5045,3753075614,fairfuzz-0-exid0,fairfuzz,1377,64038b83d908468236658fda125b813df172167f3d7421e8f354845906607fef,crash,1600,SEGV,0ab214692ecb89468e279d02fe53320c,msan,fca,nm
2771,5045,3753075614,fairfuzz-0-exid0,fairfuzz,1377,64038b83d908468236658fda125b813df172167f3d7421e8f354845906607fef,crash,2771,SEGV,0ab214692ecb89468e279d02fe53320c,tsan,fca,nm
20,5567,3734445675,symcc-0-exid0,symcc,1505,f44423439062761ea0a629f2c81e697f67ebd42a643dfb2eca0d5afdebbea56b,crash,20,SEGV,3b34085a6c59f7df3b1f34b996a4eacc,asan,fca,nm
1530,5567,3734445675,symcc-0-exid0,symcc,1505,f44423439062761ea0a629f2c81e697f67ebd42a643dfb2eca0d5afdebbea56b,crash,1530,SEGV,3b34085a6c59f7df3b1f34b996a4eacc,msan,fca,nm
2698,5567,3734445675,symcc-0-exid0,symcc,1505,f44423439062761ea0a629f2c81e697f67ebd42a643dfb2eca0d5afdebbea56b,crash,2698,SEGV,96f96aaa3e6be22754adfddb27164944,tsan,fca,nm
2899,5700,3734445675,symcc-0-exid0,symcc,1580,89e3ec0361d038d78a85ab0e941ecbe3a44d9bd72913a3efae55f6ab157d3e3c,crash,2899,SEGV,20342dca7c121d150537a553601f2cff,tsan,fca,nm
265,5700,3734445675,symcc-0-exid0,symcc,1580,89e3ec0361d038d78a85ab0e941ecbe3a44d9bd72913a3efae55f6ab157d3e3c,crash,265,SEGV,7eb8a033fb93be1a166b929b057f47e8,asan,fca,nm
1725,5700,3734445675,symcc-0-exid0,symcc,1580,89e3ec0361d038d78a85ab0e941ecbe3a44d9bd72913a3efae55f6ab157d3e3c,crash,1725,SEGV,7eb8a033fb93be1a166b929b057f47e8,msan,fca,nm
815,6423,3734445675,symcc-0-exid0,symcc,1812,ce840f87b83b0fc0d46fee1658c44d5b6206289665514d37917c135aeb85505c,crash,815,SEGV,217e3f6c0ab4aacc1417e41707b79cd2,asan,fca,nm
2149,6423,3734445675,symcc-0-exid0,symcc,1812,ce840f87b83b0fc0d46fee1658c44d5b6206289665514d37917c135aeb85505c,crash,2149,SEGV,217e3f6c0ab4aacc1417e41707b79cd2,msan,fca,nm
3329,6423,3734445675,symcc-0-exid0,symcc,1812,ce840f87b83b0fc0d46fee1658c44d5b6206289665514d37917c135aeb85505c,crash,3329,SEGV,d68ef8a660bb62fd4346463a27e8b6bb,tsan,fca,nm
1426,6950,3734445675,symcc-0-exid0,symcc,2057,811b510cb55f43ebdcc80ebf192254d3e7549ca61fceefdee4ee8fe01a801e9d,crash,1426,SEGV,01b500657eb3eed1b45b5347a3832f6e,asan,fca,nm
2610,6950,3734445675,symcc-0-exid0,symcc,2057,811b510cb55f43ebdcc80ebf192254d3e7549ca61fceefdee4ee8fe01a801e9d,crash,2610,SEGV,01b500657eb3eed1b45b5347a3832f6e,msan,fca,nm
