,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
4546,1157,897957299,aflfast-0-exid23,aflfast,441,05b3be86f14a6e52f2ddedcf3c2b4ead5a73cc551c31bc538dd628a74245939e,crash,4546,SEGV,20342dca7c121d150537a553601f2cff,tsan,fcb,nm
1410,1157,897957299,aflfast-0-exid23,aflfast,441,05b3be86f14a6e52f2ddedcf3c2b4ead5a73cc551c31bc538dd628a74245939e,crash,1410,SEGV,7eb8a033fb93be1a166b929b057f47e8,asan,fcb,nm
2965,1157,897957299,aflfast-0-exid23,aflfast,441,05b3be86f14a6e52f2ddedcf3c2b4ead5a73cc551c31bc538dd628a74245939e,crash,2965,SEGV,7eb8a033fb93be1a166b929b057f47e8,msan,fcb,nm
789,1342,897957299,aflfast-0-exid23,aflfast,467,fc298880bd023cb90ea1548d20c37c9673e0dcda4aa6a83528cba079e7387725,crash,789,SEGV,3b34085a6c59f7df3b1f34b996a4eacc,asan,fcb,nm
2378,1342,897957299,aflfast-0-exid23,aflfast,467,fc298880bd023cb90ea1548d20c37c9673e0dcda4aa6a83528cba079e7387725,crash,2378,SEGV,3b34085a6c59f7df3b1f34b996a4eacc,msan,fcb,nm
3946,1342,897957299,aflfast-0-exid23,aflfast,467,fc298880bd023cb90ea1548d20c37c9673e0dcda4aa6a83528cba079e7387725,crash,3946,SEGV,96f96aaa3e6be22754adfddb27164944,tsan,fcb,nm
4142,3448,3016578682,afl-0-exid23,afl,1068,554516fa875fb4f51eac122c899c06c0ffd67dae8861102d69c9eb78a45ffd1c,crash,4142,SEGV,070ba31683323066fe5594bc96ae71d1,tsan,fcb,nm
990,3448,3016578682,afl-0-exid23,afl,1068,554516fa875fb4f51eac122c899c06c0ffd67dae8861102d69c9eb78a45ffd1c,crash,990,SEGV,cc17b0041b6531a93c4bfa99cf98050a,asan,fcb,nm
2568,3448,3016578682,afl-0-exid23,afl,1068,554516fa875fb4f51eac122c899c06c0ffd67dae8861102d69c9eb78a45ffd1c,crash,2568,SEGV,cc17b0041b6531a93c4bfa99cf98050a,msan,fcb,nm
4638,3952,1576010180,fairfuzz-0-exid23,fairfuzz,1258,26f360391989caabf417edefdfc3187a8a5fe013fb7db8470da348b9cdaae904,crash,4638,SEGV,0f44695389213eaaa9d22f82e4a1bbdc,tsan,fcb,nm
