,crash_id,discovery_time,fuzzer
944,bug944,4,mopt-0-exid4
401,bug401,30,symcc-0-exid4
2924,bug2924,30,symcc-0-exid4
1715,bug1715,30,symcc-0-exid4
2686,bug2686,36,symcc-0-exid4
144,bug144,36,symcc-0-exid4
156,bug156,36,symcc-0-exid4
2698,bug2698,36,symcc-0-exid4
246,bug246,46,fairfuzz-0-exid4
2779,bug2779,46,fairfuzz-0-exid4
2212,bug2212,46,symcc-0-exid4
965,bug965,46,symcc-0-exid4
218,bug218,46,symcc-0-exid4
1552,bug1552,46,symcc-0-exid4
3024,bug3024,57,fairfuzz-0-exid4
1812,bug1812,57,fairfuzz-0-exid4
513,bug513,57,fairfuzz-0-exid4
3036,bug3036,60,symcc-0-exid4
525,bug525,60,symcc-0-exid4
942,bug942,73,fairfuzz-0-exid4
3409,bug3409,73,fairfuzz-0-exid4
2160,bug2160,75,fairfuzz-0-exid4
904,bug904,75,fairfuzz-0-exid4
1075,bug1075,97,mopt-0-exid4
1303,bug1303,98,symcc-0-exid4
3733,bug3733,98,symcc-0-exid4
1885,bug1885,101,fairfuzz-0-exid4
593,bug593,101,fairfuzz-0-exid4
1134,bug1134,101,fairfuzz-0-exid4
2351,bug2351,101,fairfuzz-0-exid4
279,bug279,102,fairfuzz-0-exid4
1610,bug1610,102,fairfuzz-0-exid4
874,bug874,105,symcc-0-exid4
2133,bug2133,105,symcc-0-exid4
534,bug534,106,fairfuzz-0-exid4
3044,bug3044,106,fairfuzz-0-exid4
656,bug656,114,fairfuzz-0-exid4
3156,bug3156,114,fairfuzz-0-exid4
1298,bug1298,114,symcc-0-exid4
2506,bug2506,114,symcc-0-exid4
3138,bug3138,114,fairfuzz-0-exid4
635,bug635,114,fairfuzz-0-exid4
2877,bug2877,114,fairfuzz-0-exid4
351,bug351,114,fairfuzz-0-exid4
3670,bug3670,114,fairfuzz-0-exid4
1238,bug1238,114,fairfuzz-0-exid4
2794,bug2794,114,symcc-0-exid4
261,bug261,114,symcc-0-exid4
3155,bug3155,125,symcc-0-exid4
655,bug655,125,symcc-0-exid4
505,bug505,132,mopt-0-exid4
303,bug303,148,fairfuzz-0-exid4
2834,bug2834,148,fairfuzz-0-exid4
2792,bug2792,158,symcc-0-exid4
259,bug259,158,symcc-0-exid4
883,bug883,158,fairfuzz-0-exid4
3356,bug3356,158,fairfuzz-0-exid4
1071,bug1071,172,mopt-0-exid4
1007,bug1007,181,fairfuzz-0-exid4
2249,bug2249,181,fairfuzz-0-exid4
214,bug214,182,mopt-0-exid4
3509,bug3509,182,fairfuzz-0-exid4
1053,bug1053,182,fairfuzz-0-exid4
2366,bug2366,197,symcc-0-exid4
1150,bug1150,197,symcc-0-exid4
1349,bug1349,219,symcc-0-exid4
3775,bug3775,219,symcc-0-exid4
2551,bug2551,219,symcc-0-exid4
3655,bug3655,234,mopt-0-exid4
1222,bug1222,234,mopt-0-exid4
658,bug658,238,symcc-0-exid4
1081,bug1081,240,symcc-0-exid4
3532,bug3532,240,symcc-0-exid4
142,bug142,240,symcc-0-exid4
2684,bug2684,240,symcc-0-exid4
3357,bug3357,270,fairfuzz-0-exid4
884,bug884,270,fairfuzz-0-exid4
1361,bug1361,271,fairfuzz-0-exid4
8,bug8,271,fairfuzz-0-exid4
113,bug113,272,fairfuzz-0-exid4
1455,bug1455,272,fairfuzz-0-exid4
46,bug46,274,fairfuzz-0-exid4
1425,bug1425,279,symcc-0-exid4
80,bug80,279,symcc-0-exid4
3107,bug3107,299,fairfuzz-0-exid4
604,bug604,299,fairfuzz-0-exid4
2993,bug2993,301,fairfuzz-0-exid4
477,bug477,301,fairfuzz-0-exid4
3754,bug3754,314,symcc-0-exid4
1326,bug1326,314,symcc-0-exid4
1327,bug1327,320,fairfuzz-0-exid4
3755,bug3755,320,fairfuzz-0-exid4
334,bug334,322,mopt-0-exid4
1658,bug1658,322,mopt-0-exid4
2864,bug2864,322,mopt-0-exid4
3115,bug3115,337,mopt-0-exid4
612,bug612,337,mopt-0-exid4
70,bug70,343,fairfuzz-0-exid4
1417,bug1417,343,fairfuzz-0-exid4
2816,bug2816,403,fairfuzz-0-exid4
283,bug283,403,fairfuzz-0-exid4
3691,bug3691,411,symcc-0-exid4
1260,bug1260,411,symcc-0-exid4
3311,bug3311,411,mopt-0-exid4
831,bug831,411,mopt-0-exid4
736,bug736,432,fairfuzz-0-exid4
3224,bug3224,432,fairfuzz-0-exid4
742,bug742,453,aflplusplus-0-exid4
2017,bug2017,453,aflplusplus-0-exid4
155,bug155,459,symcc-0-exid4
2697,bug2697,459,symcc-0-exid4
2296,bug2296,470,symcc-0-exid4
1063,bug1063,470,symcc-0-exid4
3306,bug3306,473,symcc-0-exid4
823,bug823,473,symcc-0-exid4
2093,bug2093,473,symcc-0-exid4
1197,bug1197,487,symcc-0-exid4
3633,bug3633,487,symcc-0-exid4
381,bug381,488,fairfuzz-0-exid4
2907,bug2907,488,fairfuzz-0-exid4
3254,bug3254,490,mopt-0-exid4
766,bug766,490,mopt-0-exid4
849,bug849,492,fairfuzz-0-exid4
3328,bug3328,492,fairfuzz-0-exid4
2911,bug2911,495,mopt-0-exid4
385,bug385,495,mopt-0-exid4
1464,bug1464,495,mopt-0-exid4
2665,bug2665,495,mopt-0-exid4
3783,bug3783,495,mopt-0-exid4
122,bug122,495,mopt-0-exid4
1046,bug1046,534,mopt-0-exid4
2282,bug2282,534,mopt-0-exid4
620,bug620,565,fairfuzz-0-exid4
1910,bug1910,565,fairfuzz-0-exid4
3756,bug3756,614,symcc-0-exid4
1328,bug1328,614,symcc-0-exid4
239,bug239,734,symcc-0-exid4
1573,bug1573,734,symcc-0-exid4
3785,bug3785,734,symcc-0-exid4
2773,bug2773,734,symcc-0-exid4
1343,bug1343,741,mopt-0-exid4
1299,bug1299,797,mopt-0-exid4
3789,bug3789,813,mopt-0-exid4
1642,bug1642,844,mopt-0-exid4
316,bug316,844,mopt-0-exid4
2847,bug2847,844,mopt-0-exid4
2852,bug2852,874,fairfuzz-0-exid4
818,bug818,933,mopt-0-exid4
3301,bug3301,933,mopt-0-exid4
842,bug842,941,mopt-0-exid4
700,bug700,948,mopt-0-exid4
643,bug643,979,mopt-0-exid4
3764,bug3764,1065,mopt-0-exid4
1336,bug1336,1065,mopt-0-exid4
2562,bug2562,1152,mopt-0-exid4
6,bug6,1152,mopt-0-exid4
2346,bug2346,1226,mopt-0-exid4
3363,bug3363,1319,mopt-0-exid4
891,bug891,1319,mopt-0-exid4
2147,bug2147,1319,mopt-0-exid4
2663,bug2663,1324,mopt-0-exid4
120,bug120,1324,mopt-0-exid4
39,bug39,1361,fairfuzz-0-exid4
2592,bug2592,1361,fairfuzz-0-exid4
3792,bug3792,1384,symcc-0-exid4
3507,bug3507,1384,symcc-0-exid4
3663,bug3663,1395,symcc-0-exid4
1230,bug1230,1395,symcc-0-exid4
