,crash_id,discovery_time,fuzzer
1118,bug1118,13,fairfuzz-0-exid22
2878,bug2878,13,fairfuzz-0-exid22
1991,bug1991,13,fairfuzz-0-exid22
1056,bug1056,13,fairfuzz-0-exid22
2832,bug2832,13,fairfuzz-0-exid22
2474,bug2474,17,fairfuzz-0-exid22
534,bug534,17,fairfuzz-0-exid22
1122,bug1122,17,fairfuzz-0-exid22
2881,bug2881,17,fairfuzz-0-exid22
256,bug256,26,fairfuzz-0-exid22
1443,bug1443,26,fairfuzz-0-exid22
1487,bug1487,26,fairfuzz-0-exid22
317,bug317,26,fairfuzz-0-exid22
1575,bug1575,26,fairfuzz-0-exid22
452,bug452,26,fairfuzz-0-exid22
942,bug942,27,fairfuzz-0-exid22
1871,bug1871,27,fairfuzz-0-exid22
2639,bug2639,28,fairfuzz-0-exid22
785,bug785,28,fairfuzz-0-exid22
467,bug467,28,fairfuzz-0-exid22
2421,bug2421,28,fairfuzz-0-exid22
2593,bug2593,32,fairfuzz-0-exid22
719,bug719,32,fairfuzz-0-exid22
376,bug376,32,fairfuzz-0-exid22
2363,bug2363,32,fairfuzz-0-exid22
324,bug324,33,afl-0-exid22
2321,bug2321,33,afl-0-exid22
2838,bug2838,33,fairfuzz-0-exid22
1066,bug1066,33,fairfuzz-0-exid22
2571,bug2571,38,afl-0-exid22
48,bug48,41,afl-0-exid22
2129,bug2129,41,afl-0-exid22
21,bug21,45,fairfuzz-0-exid22
2112,bug2112,45,fairfuzz-0-exid22
2737,bug2737,50,afl-0-exid22
926,bug926,50,afl-0-exid22
903,bug903,51,afl-0-exid22
2720,bug2720,51,afl-0-exid22
2181,bug2181,52,afl-0-exid22
129,bug129,52,afl-0-exid22
1570,bug1570,53,fairfuzz-0-exid22
444,bug444,53,fairfuzz-0-exid22
1158,bug1158,53,fairfuzz-0-exid22
2909,bug2909,53,fairfuzz-0-exid22
1198,bug1198,54,afl-0-exid22
2043,bug2043,54,afl-0-exid22
526,bug526,54,afl-0-exid22
1623,bug1623,54,afl-0-exid22
351,bug351,59,fairfuzz-0-exid22
2340,bug2340,59,fairfuzz-0-exid22
2489,bug2489,73,fairfuzz-0-exid22
567,bug567,73,fairfuzz-0-exid22
2357,bug2357,75,afl-0-exid22
369,bug369,75,afl-0-exid22
339,bug339,75,fairfuzz-0-exid22
1503,bug1503,75,fairfuzz-0-exid22
2136,bug2136,83,aflfast-0-exid22
64,bug64,83,aflfast-0-exid22
533,bug533,83,fairfuzz-0-exid22
2473,bug2473,83,fairfuzz-0-exid22
2525,bug2525,91,aflplusplus-0-exid22
621,bug621,91,aflplusplus-0-exid22
1673,bug1673,91,aflplusplus-0-exid22
2603,bug2603,98,fairfuzz-0-exid22
729,bug729,98,fairfuzz-0-exid22
1682,bug1682,102,aflplusplus-0-exid22
634,bug634,102,aflplusplus-0-exid22
2131,bug2131,112,aflplusplus-0-exid22
51,bug51,112,aflplusplus-0-exid22
1402,bug1402,128,aflplusplus-0-exid22
2225,bug2225,128,aflplusplus-0-exid22
195,bug195,128,aflplusplus-0-exid22
492,bug492,128,aflplusplus-0-exid22
2443,bug2443,128,aflplusplus-0-exid22
1217,bug1217,138,afl-0-exid22
2055,bug2055,138,afl-0-exid22
2988,bug2988,179,afl-0-exid22
1270,bug1270,179,afl-0-exid22
2305,bug2305,190,afl-0-exid22
299,bug299,190,afl-0-exid22
2051,bug2051,261,aflplusplus-0-exid22
1210,bug1210,261,aflplusplus-0-exid22
331,bug331,282,aflfast-0-exid22
2327,bug2327,282,aflfast-0-exid22
2062,bug2062,308,aflplusplus-0-exid22
1226,bug1226,308,aflplusplus-0-exid22
244,bug244,310,aflplusplus-0-exid22
1435,bug1435,310,aflplusplus-0-exid22
943,bug943,320,afl-0-exid22
1872,bug1872,320,afl-0-exid22
2782,bug2782,343,aflplusplus-0-exid22
992,bug992,343,aflplusplus-0-exid22
2551,bug2551,408,afl-0-exid22
659,bug659,408,afl-0-exid22
2612,bug2612,424,afl-0-exid22
743,bug743,424,afl-0-exid22
869,bug869,429,aflplusplus-0-exid22
1819,bug1819,429,aflplusplus-0-exid22
938,bug938,429,aflplusplus-0-exid22
1868,bug1868,429,aflplusplus-0-exid22
242,bug242,504,fairfuzz-0-exid22
2260,bug2260,504,fairfuzz-0-exid22
110,bug110,511,fairfuzz-0-exid22
2169,bug2169,511,fairfuzz-0-exid22
2738,bug2738,524,fairfuzz-0-exid22
927,bug927,524,fairfuzz-0-exid22
2733,bug2733,537,afl-0-exid22
920,bug920,537,afl-0-exid22
2253,bug2253,546,fairfuzz-0-exid22
230,bug230,546,fairfuzz-0-exid22
711,bug711,549,fairfuzz-0-exid22
2588,bug2588,549,fairfuzz-0-exid22
1098,bug1098,675,aflfast-0-exid22
2863,bug2863,675,aflfast-0-exid22
281,bug281,678,aflfast-0-exid22
2289,bug2289,678,aflfast-0-exid22
