,fuzzer,edge,fuzzer_combination,benchmark
0,afl-0-exid20,10016-10021,fcb,cflow
1,afl-0-exid21,10021-10030,fcb,cflow
2,afl-0-exid21,1004-2468,fcb,cflow
3,aflplusplus-0-exid22,10040-10046,fcb,cflow
4,afl-0-exid23,10040-10071,fcb,cflow
5,fairfuzz-0-exid22,10040-10083,fcb,cflow
6,afl-0-exid22,10040-10086,fcb,cflow
7,afl-0-exid22,10044-10046,fcb,cflow
8,afl-0-exid22,10046-10101,fcb,cflow
9,aflfast-0-exid21,10054-10056,fcb,cflow
10,aflfast-0-exid22,10056-10064,fcb,cflow
11,aflfast-0-exid20,10062-10036,fcb,cflow
12,aflfast-0-exid21,10064-10062,fcb,cflow
13,afl-0-exid20,1007-1011,fcb,cflow
14,aflplusplus-0-exid22,10071-10078,fcb,cflow
15,fairfuzz-0-exid21,10083-10101,fcb,cflow
16,fairfuzz-0-exid22,10086-10101,fcb,cflow
17,afl-0-exid21,10104-10112,fcb,cflow
18,afl-0-exid20,10108-10116,fcb,cflow
19,afl-0-exid20,1011-1025,fcb,cflow
20,afl-0-exid20,10112-10116,fcb,cflow
21,afl-0-exid20,10112-10222,fcb,cflow
22,afl-0-exid22,10116-10119,fcb,cflow
23,afl-0-exid22,10119-10127,fcb,cflow
24,afl-0-exid20,10119-10157,fcb,cflow
25,afl-0-exid20,10127-10132,fcb,cflow
26,afl-0-exid23,10127-10135,fcb,cflow
27,afl-0-exid20,10127-10138,fcb,cflow
28,afl-0-exid20,10127-10142,fcb,cflow
29,afl-0-exid20,10127-10147,fcb,cflow
30,afl-0-exid20,10132-10138,fcb,cflow
31,afl-0-exid21,10135-10142,fcb,cflow
32,afl-0-exid20,10138-10147,fcb,cflow
33,afl-0-exid22,10142-10147,fcb,cflow
34,afl-0-exid21,10142-10153,fcb,cflow
35,afl-0-exid20,10147-10127,fcb,cflow
36,afl-0-exid20,10147-10157,fcb,cflow
37,afl-0-exid22,10153-10168,fcb,cflow
38,afl-0-exid22,10157-10222,fcb,cflow
39,afl-0-exid21,1025-2468,fcb,cflow
40,afl-0-exid20,1028-1032,fcb,cflow
41,afl-0-exid23,10289-10298,fcb,cflow
42,afl-0-exid20,10289-10306,fcb,cflow
43,afl-0-exid20,10289-10320,fcb,cflow
44,fairfuzz-0-exid24,10294-10320,fcb,cflow
45,aflplusplus-0-exid24,10298-10303,fcb,cflow
46,aflfast-0-exid20,10298-10320,fcb,cflow
47,afl-0-exid20,10306-10325,fcb,cflow
48,afl-0-exid20,1032-1046,fcb,cflow
49,afl-0-exid20,10320-10289,fcb,cflow
50,afl-0-exid20,10331-10367,fcb,cflow
51,aflfast-0-exid24,10331-10496,fcb,cflow
52,afl-0-exid20,10331-10500,fcb,cflow
53,aflplusplus-0-exid23,10331-10508,fcb,cflow
54,fairfuzz-0-exid22,10361-10508,fcb,cflow
55,afl-0-exid20,10367-10508,fcb,cflow
56,aflfast-0-exid23,10396-10404,fcb,cflow
57,afl-0-exid20,10404-10404,fcb,cflow
58,afl-0-exid20,10415-10421,fcb,cflow
59,aflplusplus-0-exid21,10415-10424,fcb,cflow
60,afl-0-exid20,10421-10503,fcb,cflow
61,afl-0-exid21,10452-10459,fcb,cflow
62,aflplusplus-0-exid20,10452-10466,fcb,cflow
63,afl-0-exid24,10459-10459,fcb,cflow
64,fairfuzz-0-exid20,10459-10503,fcb,cflow
65,afl-0-exid22,1046-2468,fcb,cflow
66,aflplusplus-0-exid24,10466-10475,fcb,cflow
67,afl-0-exid20,1049-1053,fcb,cflow
68,afl-0-exid20,10500-10503,fcb,cflow
69,afl-0-exid24,10525-10532,fcb,cflow
70,afl-0-exid20,1053-1067,fcb,cflow
71,fairfuzz-0-exid24,10532-10542,fcb,cflow
72,afl-0-exid20,10542-10553,fcb,cflow
73,aflfast-0-exid20,10542-10559,fcb,cflow
74,afl-0-exid20,10542-10564,fcb,cflow
75,afl-0-exid21,10542-10569,fcb,cflow
76,aflfast-0-exid22,10542-10574,fcb,cflow
77,aflfast-0-exid21,10542-10609,fcb,cflow
78,afl-0-exid24,10542-10616,fcb,cflow
79,afl-0-exid20,10553-10631,fcb,cflow
80,aflfast-0-exid20,10559-10631,fcb,cflow
81,afl-0-exid20,10564-10631,fcb,cflow
82,fairfuzz-0-exid21,10574-10609,fcb,cflow
83,aflfast-0-exid20,10616-10638,fcb,cflow
84,fairfuzz-0-exid23,10634-10525,fcb,cflow
85,afl-0-exid20,10645-10688,fcb,cflow
86,aflplusplus-0-exid20,10660-10664,fcb,cflow
87,afl-0-exid20,10660-10688,fcb,cflow
88,afl-0-exid24,10664-10671,fcb,cflow
89,afl-0-exid21,1067-2468,fcb,cflow
90,aflfast-0-exid23,10675-10688,fcb,cflow
91,aflplusplus-0-exid21,10693-10700,fcb,cflow
92,aflfast-0-exid21,10693-10728,fcb,cflow
93,afl-0-exid20,1070-1074,fcb,cflow
94,afl-0-exid23,10700-10728,fcb,cflow
95,aflplusplus-0-exid22,10704-10715,fcb,cflow
96,afl-0-exid21,10711-10715,fcb,cflow
97,afl-0-exid21,10715-10728,fcb,cflow
98,afl-0-exid21,1074-1088,fcb,cflow
99,afl-0-exid20,10741-10754,fcb,cflow
100,afl-0-exid20,10754-10741,fcb,cflow
101,afl-0-exid20,10754-10760,fcb,cflow
102,aflfast-0-exid21,10763-10793,fcb,cflow
103,aflfast-0-exid23,10798-10911,fcb,cflow
104,aflfast-0-exid20,10810-10813,fcb,cflow
105,aflplusplus-0-exid22,10815-10819,fcb,cflow
106,afl-0-exid20,10815-10904,fcb,cflow
107,aflfast-0-exid24,10819-10904,fcb,cflow
108,afl-0-exid20,1088-2468,fcb,cflow
109,fairfuzz-0-exid24,10904-10911,fcb,cflow
110,afl-0-exid21,1091-1095,fcb,cflow
111,aflfast-0-exid24,10940-10953,fcb,cflow
112,fairfuzz-0-exid24,10949-10956,fcb,cflow
113,afl-0-exid20,1095-1109,fcb,cflow
114,aflplusplus-0-exid23,10953-10956,fcb,cflow
115,fairfuzz-0-exid21,10968-10971,fcb,cflow
116,afl-0-exid20,10968-10975,fcb,cflow
117,afl-0-exid22,10971-10978,fcb,cflow
118,afl-0-exid22,10975-10993,fcb,cflow
119,afl-0-exid20,10985-10989,fcb,cflow
120,afl-0-exid20,10985-10993,fcb,cflow
121,afl-0-exid20,10989-10993,fcb,cflow
122,afl-0-exid20,10993-11116,fcb,cflow
123,aflplusplus-0-exid20,11004-11011,fcb,cflow
124,afl-0-exid20,11004-11017,fcb,cflow
125,fairfuzz-0-exid22,11011-11026,fcb,cflow
126,afl-0-exid20,11017-11004,fcb,cflow
127,afl-0-exid20,11017-11023,fcb,cflow
128,afl-0-exid21,11026-11033,fcb,cflow
129,afl-0-exid20,11033-11037,fcb,cflow
130,afl-0-exid20,11037-11045,fcb,cflow
131,afl-0-exid20,11037-11050,fcb,cflow
132,afl-0-exid20,11045-11076,fcb,cflow
133,afl-0-exid20,11050-11058,fcb,cflow
134,afl-0-exid20,11058-11069,fcb,cflow
135,aflfast-0-exid20,11064-11069,fcb,cflow
136,aflplusplus-0-exid21,11069-11076,fcb,cflow
137,afl-0-exid20,1109-2468,fcb,cflow
138,afl-0-exid21,1112-1116,fcb,cflow
139,afl-0-exid21,11120-11127,fcb,cflow
140,afl-0-exid24,11127-11138,fcb,cflow
141,aflfast-0-exid21,11138-11147,fcb,cflow
142,afl-0-exid20,11138-11301,fcb,cflow
143,afl-0-exid21,11147-11153,fcb,cflow
144,aflplusplus-0-exid21,11147-11183,fcb,cflow
145,afl-0-exid20,11147-11281,fcb,cflow
146,afl-0-exid23,11153-11162,fcb,cflow
147,afl-0-exid20,1116-1130,fcb,cflow
148,afl-0-exid20,11162-11167,fcb,cflow
149,afl-0-exid20,11167-11178,fcb,cflow
150,afl-0-exid20,11178-11301,fcb,cflow
151,fairfuzz-0-exid21,11183-11192,fcb,cflow
152,aflplusplus-0-exid22,11197-11208,fcb,cflow
153,aflfast-0-exid24,11208-11220,fcb,cflow
154,afl-0-exid20,11220-11225,fcb,cflow
155,afl-0-exid20,11220-11281,fcb,cflow
156,afl-0-exid20,11225-11229,fcb,cflow
157,afl-0-exid20,11225-11253,fcb,cflow
158,afl-0-exid22,11229-11234,fcb,cflow
159,afl-0-exid20,11234-11240,fcb,cflow
160,afl-0-exid20,11240-11247,fcb,cflow
161,afl-0-exid20,11247-11234,fcb,cflow
162,afl-0-exid21,11247-11295,fcb,cflow
163,afl-0-exid24,11253-11262,fcb,cflow
164,afl-0-exid22,11262-11267,fcb,cflow
165,afl-0-exid20,11267-11278,fcb,cflow
166,afl-0-exid21,11278-11295,fcb,cflow
167,afl-0-exid20,11281-11286,fcb,cflow
168,afl-0-exid20,11286-11301,fcb,cflow
169,afl-0-exid20,11295-11147,fcb,cflow
170,aflfast-0-exid20,11295-11301,fcb,cflow
171,afl-0-exid21,1130-2468,fcb,cflow
172,afl-0-exid22,11307-11314,fcb,cflow
173,aflplusplus-0-exid20,11307-11326,fcb,cflow
174,afl-0-exid21,11314-11341,fcb,cflow
175,afl-0-exid21,11326-11341,fcb,cflow
176,afl-0-exid23,1133-1137,fcb,cflow
177,aflfast-0-exid21,11379-11388,fcb,cflow
178,afl-0-exid21,11388-11392,fcb,cflow
179,afl-0-exid22,11392-11411,fcb,cflow
180,afl-0-exid20,11411-11388,fcb,cflow
181,fairfuzz-0-exid20,11418-11426,fcb,cflow
182,afl-0-exid20,11485-11618,fcb,cflow
183,afl-0-exid20,11501-11553,fcb,cflow
184,aflfast-0-exid22,11501-11612,fcb,cflow
185,afl-0-exid20,11506-11518,fcb,cflow
186,fairfuzz-0-exid23,11515-11518,fcb,cflow
187,afl-0-exid20,11537-11550,fcb,cflow
188,aflfast-0-exid23,1154-1158,fcb,cflow
189,afl-0-exid22,11550-11608,fcb,cflow
190,aflfast-0-exid23,11553-11561,fcb,cflow
191,afl-0-exid20,11563-11568,fcb,cflow
192,afl-0-exid20,11563-11572,fcb,cflow
193,aflfast-0-exid22,11563-11577,fcb,cflow
194,afl-0-exid22,11568-11577,fcb,cflow
195,afl-0-exid21,11572-11577,fcb,cflow
196,afl-0-exid21,11572-11583,fcb,cflow
197,aflfast-0-exid22,11577-11563,fcb,cflow
198,aflfast-0-exid20,11577-11583,fcb,cflow
199,aflfast-0-exid21,1158-1172,fcb,cflow
200,afl-0-exid20,11583-11592,fcb,cflow
201,afl-0-exid20,11592-11597,fcb,cflow
202,aflfast-0-exid20,11597-11608,fcb,cflow
203,aflfast-0-exid21,11612-11618,fcb,cflow
204,afl-0-exid23,11618-11633,fcb,cflow
205,afl-0-exid22,11638-11645,fcb,cflow
206,aflfast-0-exid21,11638-11716,fcb,cflow
207,afl-0-exid21,11645-11650,fcb,cflow
208,afl-0-exid20,11645-11653,fcb,cflow
209,aflfast-0-exid21,11650-11653,fcb,cflow
210,afl-0-exid21,11653-11661,fcb,cflow
211,fairfuzz-0-exid23,11661-11666,fcb,cflow
212,aflfast-0-exid24,11666-11677,fcb,cflow
213,afl-0-exid20,11677-11682,fcb,cflow
214,afl-0-exid24,11677-11710,fcb,cflow
215,afl-0-exid20,11677-11714,fcb,cflow
216,afl-0-exid20,11677-11716,fcb,cflow
217,aflfast-0-exid22,11682-11691,fcb,cflow
218,afl-0-exid24,11691-11696,fcb,cflow
219,afl-0-exid21,11696-11707,fcb,cflow
220,afl-0-exid22,11707-11714,fcb,cflow
221,afl-0-exid20,11710-11714,fcb,cflow
222,aflfast-0-exid22,11714-11716,fcb,cflow
223,aflfast-0-exid20,1172-2468,fcb,cflow
224,afl-0-exid20,11721-11730,fcb,cflow
225,aflfast-0-exid21,11721-11748,fcb,cflow
226,afl-0-exid20,11730-11737,fcb,cflow
227,afl-0-exid21,11730-11742,fcb,cflow
228,afl-0-exid20,11737-11742,fcb,cflow
229,afl-0-exid20,11737-11753,fcb,cflow
230,afl-0-exid20,11742-11730,fcb,cflow
231,afl-0-exid20,11742-11748,fcb,cflow
232,aflfast-0-exid23,11748-11753,fcb,cflow
233,fairfuzz-0-exid23,1175-1179,fcb,cflow
234,afl-0-exid22,11753-11781,fcb,cflow
235,aflfast-0-exid21,1196-1200,fcb,cflow
236,afl-0-exid21,1200-1214,fcb,cflow
237,afl-0-exid24,121-125,fcb,cflow
238,aflfast-0-exid20,1214-2468,fcb,cflow
239,afl-0-exid21,1217-1221,fcb,cflow
240,afl-0-exid22,1221-1235,fcb,cflow
241,afl-0-exid23,12321-12330,fcb,cflow
242,afl-0-exid21,1235-2468,fcb,cflow
243,afl-0-exid20,1238-1242,fcb,cflow
244,afl-0-exid20,1242-1256,fcb,cflow
245,afl-0-exid20,12466-12475,fcb,cflow
246,afl-0-exid24,12471-12475,fcb,cflow
247,aflfast-0-exid20,12475-12485,fcb,cflow
248,afl-0-exid24,12485-12500,fcb,cflow
249,aflfast-0-exid23,125-168,fcb,cflow
250,afl-0-exid20,12518-12521,fcb,cflow
251,fairfuzz-0-exid24,12518-12548,fcb,cflow
252,aflfast-0-exid23,12521-12531,fcb,cflow
253,fairfuzz-0-exid22,12531-12538,fcb,cflow
254,afl-0-exid21,12538-12543,fcb,cflow
255,aflfast-0-exid22,12543-12548,fcb,cflow
256,afl-0-exid20,12558-12566,fcb,cflow
257,afl-0-exid20,1256-2468,fcb,cflow
258,afl-0-exid20,12566-12575,fcb,cflow
259,aflplusplus-0-exid23,1259-1263,fcb,cflow
260,aflfast-0-exid21,12590-12604,fcb,cflow
261,afl-0-exid20,12617-12675,fcb,cflow
262,afl-0-exid21,12619-12626,fcb,cflow
263,afl-0-exid20,12626-12632,fcb,cflow
264,fairfuzz-0-exid21,1263-1277,fcb,cflow
265,afl-0-exid20,12632-12638,fcb,cflow
266,afl-0-exid20,12638-12675,fcb,cflow
267,afl-0-exid22,12647-12660,fcb,cflow
268,fairfuzz-0-exid22,12660-12666,fcb,cflow
