,discovery_id,fuzzer,block_source,block_target
1,1,symcc-0-exid2,25644,25991
2,2,symcc-0-exid2,11379,11418
3,3,fairfuzz-0-exid2,8327,8319
4,4,symcc-0-exid2,13398,13372
5,5,fairfuzz-0-exid2,10949,10956
8,8,mopt-0-exid2,125,168
9,9,symcc-0-exid2,29852,29859
10,10,fairfuzz-0-exid2,5403,5607
11,11,mopt-0-exid2,10350,10361
14,14,mopt-0-exid2,1200,1214
15,15,symcc-0-exid2,10459,10503
16,16,fairfuzz-0-exid2,12543,12548
18,18,symcc-0-exid2,13296,13302
19,19,fairfuzz-0-exid2,13212,13212
20,20,mopt-0-exid2,29852,29859
21,21,symcc-0-exid2,8939,8960
22,22,fairfuzz-0-exid2,10815,10904
24,24,symcc-0-exid2,12734,12740
25,25,fairfuzz-0-exid2,9597,9611
26,26,mopt-0-exid2,28796,29001
27,27,symcc-0-exid2,9792,9796
28,28,fairfuzz-0-exid2,9780,9787
29,29,mopt-0-exid2,6033,6038
32,32,mopt-0-exid2,10815,10904
35,35,mopt-0-exid2,12812,12830
36,36,symcc-0-exid2,2058,2067
37,37,fairfuzz-0-exid2,9546,9553
38,38,mopt-0-exid2,11033,11050
46,46,fairfuzz-0-exid2,11572,11583
47,47,mopt-0-exid2,2097,2102
48,48,symcc-0-exid2,2201,2201
49,49,fairfuzz-0-exid2,10968,10975
50,50,mopt-0-exid2,11612,11618
51,51,symcc-0-exid2,1825,1829
52,52,fairfuzz-0-exid2,2115,2129
53,53,mopt-0-exid2,11563,11572
55,55,fairfuzz-0-exid2,10985,10993
56,56,aflplusplus-0-exid2,8386,8390
57,57,mopt-0-exid2,2201,2201
59,59,symcc-0-exid2,10968,10975
60,60,aflplusplus-0-exid2,10286,10289
61,61,mopt-0-exid2,9785,9787
63,63,symcc-0-exid2,10985,10993
64,64,aflplusplus-0-exid2,280,1445
68,68,aflplusplus-0-exid2,12485,12500
71,71,symcc-0-exid2,9099,9111
72,72,aflplusplus-0-exid2,28792,28796
73,73,mopt-0-exid2,1095,1109
74,74,symcc-0-exid2,2398,2412
76,76,mopt-0-exid2,3134,3153
78,78,aflplusplus-0-exid2,9532,9593
