,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid20,182,185
2,2,fairfuzz-0-exid20,280,337
3,3,fairfuzz-0-exid20,12918,12931
4,4,fairfuzz-0-exid20,9856,9861
5,5,fairfuzz-0-exid20,12485,12500
8,8,fairfuzz-0-exid20,10459,10503
9,9,fairfuzz-0-exid20,12538,12543
11,11,fairfuzz-0-exid20,6045,6045
12,12,afl-0-exid20,25477,25495
13,13,fairfuzz-0-exid20,11069,11076
14,14,afl-0-exid20,9532,9593
16,16,afl-0-exid20,5665,5669
17,17,fairfuzz-0-exid20,2158,2169
18,18,afl-0-exid20,337,343
19,19,fairfuzz-0-exid20,2144,2158
20,20,afl-0-exid20,12638,12675
22,22,afl-0-exid20,10985,10989
24,24,afl-0-exid20,375,341
25,25,fairfuzz-0-exid20,11597,11608
26,26,afl-0-exid20,10108,10116
27,27,fairfuzz-0-exid20,8884,9219
28,28,afl-0-exid20,280,611
29,29,fairfuzz-0-exid20,1737,341
33,33,fairfuzz-0-exid20,2129,2144
34,34,afl-0-exid20,13388,13398
35,35,fairfuzz-0-exid20,2102,2115
36,36,afl-0-exid20,579,2468
37,37,fairfuzz-0-exid20,9780,9785
38,38,afl-0-exid20,11501,11553
39,39,fairfuzz-0-exid20,9823,9838
40,40,afl-0-exid20,10968,10975
42,42,afl-0-exid20,9219,9227
43,43,aflplusplus-0-exid20,11307,11326
46,46,aflplusplus-0-exid20,9820,9838
48,48,afl-0-exid20,2398,2441
49,49,aflplusplus-0-exid20,9532,9593
54,54,afl-0-exid20,2158,2089
55,55,aflplusplus-0-exid20,8367,8375
56,56,fairfuzz-0-exid20,6084,6137
58,58,aflplusplus-0-exid20,593,597
60,60,afl-0-exid20,9157,9169
61,61,aflplusplus-0-exid20,10064,10062
64,64,aflfast-0-exid20,2612,2619
67,67,aflfast-0-exid20,13212,13231
69,69,afl-0-exid20,2102,2115
70,70,aflplusplus-0-exid20,6038,6045
71,71,aflfast-0-exid20,11064,11069
73,73,afl-0-exid20,11563,11572
74,74,aflplusplus-0-exid20,11295,11301
75,75,aflfast-0-exid20,10062,10036
78,78,aflplusplus-0-exid20,280,575
79,79,aflfast-0-exid20,29859,29872
82,82,aflplusplus-0-exid20,1196,1200
83,83,aflfast-0-exid20,28769,28774
85,85,afl-0-exid20,10367,10508
86,86,aflfast-0-exid20,10815,10904
90,90,fairfuzz-0-exid20,8884,9176
92,92,aflfast-0-exid20,1214,2468
93,93,fairfuzz-0-exid20,10989,10993
96,96,aflfast-0-exid20,12740,12789
97,97,fairfuzz-0-exid20,8884,9136
98,98,afl-0-exid20,9785,9787
99,99,aflfast-0-exid20,10298,10320
101,101,afl-0-exid20,280,1049
103,103,fairfuzz-0-exid20,1095,1109
104,104,afl-0-exid20,2398,2412
105,105,aflfast-0-exid20,575,579
108,108,fairfuzz-0-exid20,11563,11568
113,113,afl-0-exid20,10660,10688
120,120,afl-0-exid20,3134,3134
125,125,fairfuzz-0-exid20,11278,11295
130,130,afl-0-exid20,734,738
132,132,afl-0-exid20,1095,1109
134,134,afl-0-exid20,815,2468
137,137,fairfuzz-0-exid20,2412,2427
138,138,afl-0-exid20,11225,11253
144,144,afl-0-exid20,1825,1829
145,145,aflplusplus-0-exid20,3118,3121
147,147,afl-0-exid20,1326,1340
148,148,aflplusplus-0-exid20,11563,11572
150,150,afl-0-exid20,280,881
151,151,aflplusplus-0-exid20,10331,10367
154,154,aflplusplus-0-exid20,11618,11633
157,157,aflplusplus-0-exid20,280,797
158,158,fairfuzz-0-exid20,28893,28896
159,159,afl-0-exid20,280,1719
160,160,aflplusplus-0-exid20,280,1719
164,164,fairfuzz-0-exid20,280,881
166,166,aflplusplus-0-exid20,734,738
168,168,aflfast-0-exid20,9219,9227
169,169,afl-0-exid20,280,1217
171,171,fairfuzz-0-exid20,280,1807
174,174,aflplusplus-0-exid20,3099,3099
175,175,fairfuzz-0-exid20,927,941
178,178,aflplusplus-0-exid20,9780,9785
179,179,fairfuzz-0-exid20,1221,1235
184,184,aflfast-0-exid20,797,801
191,191,fairfuzz-0-exid20,10542,10564
196,196,aflfast-0-exid20,9096,9099
199,199,fairfuzz-0-exid20,9010,9031
203,203,fairfuzz-0-exid20,280,1049
204,204,aflfast-0-exid20,923,927
208,208,aflfast-0-exid20,6078,6084
209,209,aflplusplus-0-exid20,280,293
212,212,aflfast-0-exid20,8884,9136
215,215,fairfuzz-0-exid20,1410,2468
216,216,aflfast-0-exid20,280,1049
217,217,aflplusplus-0-exid20,7361,7361
219,219,fairfuzz-0-exid20,3153,3159
225,225,aflplusplus-0-exid20,12566,12575
227,227,fairfuzz-0-exid20,12558,12566
228,228,aflfast-0-exid20,752,2468
232,232,aflfast-0-exid20,1091,1095
236,236,aflfast-0-exid20,9802,9838
242,242,afl-0-exid20,8292,8390
256,256,aflfast-0-exid20,11501,11553
259,259,fairfuzz-0-exid20,11411,11388
264,264,aflfast-0-exid20,9176,9188
268,268,aflfast-0-exid20,9780,9785
270,270,afl-0-exid20,10542,10564
275,275,fairfuzz-0-exid20,3099,3118
276,276,aflfast-0-exid20,9780,9823
278,278,afl-0-exid20,11537,11550
280,280,aflfast-0-exid20,11537,11550
281,281,aflplusplus-0-exid20,5655,5659
284,284,aflfast-0-exid20,1235,2468
285,285,afl-0-exid20,10645,10688
288,288,aflfast-0-exid20,899,2468
291,291,fairfuzz-0-exid20,9807,9820
293,293,afl-0-exid20,3159,3246
297,297,afl-0-exid20,10421,10503
300,300,aflfast-0-exid20,11240,11247
312,312,aflfast-0-exid20,2217,2229
316,316,aflfast-0-exid20,10367,10508
320,320,aflfast-0-exid20,1719,1723
322,322,aflplusplus-0-exid20,10645,10688
324,324,aflfast-0-exid20,2188,2217
325,325,afl-0-exid20,12617,12675
328,328,aflfast-0-exid20,2158,2089
344,344,aflfast-0-exid20,10421,10503
347,347,fairfuzz-0-exid20,2667,2675
348,348,aflfast-0-exid20,2115,2129
350,350,aflplusplus-0-exid20,9136,9139
354,354,aflplusplus-0-exid20,10500,10503
357,357,afl-0-exid20,28885,28893
362,362,aflplusplus-0-exid20,11537,11550
363,363,fairfuzz-0-exid20,11138,11301
364,364,aflfast-0-exid20,12938,12931
365,365,afl-0-exid20,9802,9838
379,379,fairfuzz-0-exid20,1070,1074
380,380,afl-0-exid20,3159,3159
384,384,afl-0-exid20,3001,3012
387,387,fairfuzz-0-exid20,836,2468
391,391,fairfuzz-0-exid20,7902,7908
396,396,afl-0-exid20,9785,9838
400,400,afl-0-exid20,6078,6084
404,404,afl-0-exid20,28917,28926
418,418,aflfast-0-exid20,10645,10688
424,424,afl-0-exid20,12566,12575
427,427,fairfuzz-0-exid20,1610,1614
435,435,fairfuzz-0-exid20,9802,9838
438,438,aflfast-0-exid20,3255,3433
446,446,aflfast-0-exid20,10660,10688
448,448,aflplusplus-0-exid20,12938,12931
453,453,afl-0-exid20,1866,341
465,465,aflfast-0-exid20,986,990
466,466,fairfuzz-0-exid20,11004,11017
467,467,aflplusplus-0-exid20,2115,2158
468,468,afl-0-exid20,3012,3121
471,471,aflplusplus-0-exid20,1781,341
474,474,fairfuzz-0-exid20,280,533
479,479,aflplusplus-0-exid20,2172,2184
485,485,aflfast-0-exid20,1242,1256
488,488,aflfast-0-exid20,780,794
498,498,aflplusplus-0-exid20,11253,11262
499,499,afl-0-exid20,1614,1628
500,500,fairfuzz-0-exid20,9573,9583
502,502,aflplusplus-0-exid20,2217,2367
507,507,afl-0-exid20,1116,1130
513,513,fairfuzz-0-exid20,10645,10688
514,514,aflplusplus-0-exid20,11281,11286
516,516,aflfast-0-exid20,2129,2144
528,528,fairfuzz-0-exid20,1403,2468
529,529,aflfast-0-exid20,9566,9573
530,530,aflplusplus-0-exid20,2201,2201
533,533,aflfast-0-exid20,9010,9031
540,540,fairfuzz-0-exid20,1322,1326
548,548,fairfuzz-0-exid20,10415,10421
558,558,aflplusplus-0-exid20,11050,11058
563,563,afl-0-exid20,280,1070
566,566,aflplusplus-0-exid20,9802,9838
568,568,aflfast-0-exid20,10331,10500
580,580,aflfast-0-exid20,836,2468
584,584,aflfast-0-exid20,755,759
591,591,afl-0-exid20,1347,1361
593,593,aflfast-0-exid20,280,902
597,597,aflfast-0-exid20,280,1280
600,600,aflfast-0-exid20,1610,1614
601,601,afl-0-exid20,1811,341
610,610,aflplusplus-0-exid20,9785,9838
611,611,aflfast-0-exid20,2372,2385
624,624,fairfuzz-0-exid20,3118,3121
639,639,afl-0-exid20,1389,1403
645,645,fairfuzz-0-exid20,8813,8824
653,653,fairfuzz-0-exid20,8292,8390
659,659,aflfast-0-exid20,11485,11618
663,663,afl-0-exid20,11485,11618
668,668,aflfast-0-exid20,2089,2102
673,673,fairfuzz-0-exid20,1116,1130
675,675,afl-0-exid20,467,481
707,707,aflfast-0-exid20,11411,11388
709,709,afl-0-exid20,1410,2468
714,714,aflplusplus-0-exid20,990,1004
715,715,fairfuzz-0-exid20,1781,341
718,718,aflplusplus-0-exid20,533,537
727,727,fairfuzz-0-exid20,293,297
736,736,afl-0-exid20,713,717
745,745,aflfast-0-exid20,11568,11577
750,750,aflplusplus-0-exid20,1256,2468
751,751,fairfuzz-0-exid20,12617,12675
754,754,aflplusplus-0-exid20,280,776
757,757,afl-0-exid20,11411,11388
763,763,fairfuzz-0-exid20,280,1848
764,764,afl-0-exid20,11058,11069
766,766,aflplusplus-0-exid20,1361,2468
769,769,aflfast-0-exid20,3159,3159
775,775,aflfast-0-exid20,3134,3134
794,794,fairfuzz-0-exid20,2683,2675
797,797,fairfuzz-0-exid20,28910,28917
798,798,afl-0-exid20,11004,11017
834,834,aflfast-0-exid20,2412,2427
838,838,aflfast-0-exid20,2102,2115
841,841,fairfuzz-0-exid20,1361,2468
853,853,afl-0-exid20,8025,8043
855,855,aflfast-0-exid20,1028,1032
858,858,aflfast-0-exid20,9817,9820
868,868,aflfast-0-exid20,280,1807
878,878,afl-0-exid20,11225,11229
879,879,fairfuzz-0-exid20,10331,10500
887,887,afl-0-exid20,11286,11301
902,902,fairfuzz-0-exid20,28926,28910
907,907,aflfast-0-exid20,11572,11577
909,909,afl-0-exid20,11506,11518
913,913,aflfast-0-exid20,11506,11518
933,933,afl-0-exid20,293,297
944,944,aflfast-0-exid20,11138,11301
946,946,afl-0-exid20,1298,2468
950,950,aflfast-0-exid20,11058,11069
955,955,afl-0-exid20,2733,2836
970,970,afl-0-exid20,3121,3153
976,976,afl-0-exid20,2683,2675
993,993,fairfuzz-0-exid20,11281,11286
995,995,aflplusplus-0-exid20,773,2468
1021,1021,fairfuzz-0-exid20,2726,2833
1022,1022,aflplusplus-0-exid20,11411,11388
1024,1024,aflfast-0-exid20,280,1385
1028,1028,aflfast-0-exid20,1130,2468
1038,1038,aflfast-0-exid20,1326,1340
1041,1041,aflfast-0-exid20,12617,12675
1047,1047,aflplusplus-0-exid20,280,818
1048,1048,aflfast-0-exid20,1361,2468
1055,1055,aflplusplus-0-exid20,280,902
1059,1059,aflplusplus-0-exid20,280,1280
1063,1063,aflplusplus-0-exid20,9573,9583
1064,1064,aflfast-0-exid20,2692,2701
1068,1068,fairfuzz-0-exid20,2028,341
1074,1074,fairfuzz-0-exid20,3099,3099
1093,1093,afl-0-exid20,11247,11234
1094,1094,aflfast-0-exid20,280,293
1096,1096,afl-0-exid20,12938,12931
1097,1097,aflfast-0-exid20,1829,1843
1099,1099,afl-0-exid20,7361,7361
1102,1102,afl-0-exid20,818,822
1108,1108,afl-0-exid20,3099,3099
1109,1109,aflfast-0-exid20,10306,10325
1112,1112,aflfast-0-exid20,1866,341
1114,1114,afl-0-exid20,3034,3037
1129,1129,afl-0-exid20,10289,10306
1135,1135,fairfuzz-0-exid20,13296,13289
1149,1149,afl-0-exid20,10016,10021
1158,1158,afl-0-exid20,10542,10553
1167,1167,afl-0-exid20,1242,1256
1172,1172,fairfuzz-0-exid20,7361,7361
1175,1175,fairfuzz-0-exid20,3037,3095
1178,1178,fairfuzz-0-exid20,11225,11229
1188,1188,afl-0-exid20,10289,10320
1190,1190,fairfuzz-0-exid20,12938,12931
1195,1195,aflfast-0-exid20,280,1007
1211,1211,afl-0-exid20,10112,10116
1216,1216,fairfuzz-0-exid20,10306,10325
1222,1222,fairfuzz-0-exid20,1256,2468
1227,1227,aflfast-0-exid20,3001,3012
1228,1228,fairfuzz-0-exid20,10016,10021
1244,1244,afl-0-exid20,11037,11050
1245,1245,aflfast-0-exid20,8813,8824
1253,1253,fairfuzz-0-exid20,10289,10320
1260,1260,afl-0-exid20,11037,11045
1266,1266,afl-0-exid20,10147,10127
1283,1283,afl-0-exid20,9900,9897
1284,1284,fairfuzz-0-exid20,755,759
1286,1286,afl-0-exid20,10147,10157
1290,1290,fairfuzz-0-exid20,986,990
1291,1291,aflfast-0-exid20,9785,9838
1299,1299,fairfuzz-0-exid20,9897,10101
1300,1300,aflfast-0-exid20,280,1406
1304,1304,afl-0-exid20,10127,10142
1321,1321,aflfast-0-exid20,11147,11281
1323,1323,fairfuzz-0-exid20,10542,10553
1336,1336,fairfuzz-0-exid20,11037,11050
1344,1344,afl-0-exid20,755,759
