,discovery_id,fuzzer,block_source,block_target
1,1,symcc-0-exid2,60348,60597
2,2,symcc-0-exid2,34488,34547
4,4,symcc-0-exid2,26958,26981
5,5,symcc-0-exid2,26682,26792
6,6,symcc-0-exid2,28656,28658
7,7,mopt-0-exid2,59761,59768
8,8,fairfuzz-0-exid2,53598,53644
9,9,symcc-0-exid2,25007,25259
10,10,mopt-0-exid2,23182,23202
11,11,fairfuzz-0-exid2,39903,39951
12,12,symcc-0-exid2,1383,1390
15,15,symcc-0-exid2,25296,25451
16,16,mopt-0-exid2,25124,25131
17,17,fairfuzz-0-exid2,25081,25093
18,18,symcc-0-exid2,16374,16407
19,19,mopt-0-exid2,25999,26001
20,20,fairfuzz-0-exid2,1471,1481
22,22,mopt-0-exid2,25513,25519
23,23,fairfuzz-0-exid2,25513,25519
25,25,mopt-0-exid2,25007,25259
26,26,fairfuzz-0-exid2,27101,27109
28,28,mopt-0-exid2,1424,1439
29,29,fairfuzz-0-exid2,15850,15875
31,31,mopt-0-exid2,28624,29119
32,32,fairfuzz-0-exid2,25296,25451
33,33,symcc-0-exid2,25243,25247
34,34,mopt-0-exid2,16374,16407
35,35,fairfuzz-0-exid2,16374,16407
36,36,symcc-0-exid2,28376,28379
39,39,symcc-0-exid2,25598,25607
49,49,mopt-0-exid2,27567,27574
50,50,fairfuzz-0-exid2,25224,25227
52,52,mopt-0-exid2,28344,28350
53,53,fairfuzz-0-exid2,28344,28350
54,54,symcc-0-exid2,34391,34481
55,55,mopt-0-exid2,26080,26090
56,56,fairfuzz-0-exid2,25598,25607
57,57,symcc-0-exid2,38399,38408
65,65,aflplusplus-0-exid2,25275,25283
69,69,aflplusplus-0-exid2,25430,25309
71,71,symcc-0-exid2,40076,40092
72,72,mopt-0-exid2,34391,34481
73,73,aflplusplus-0-exid2,26981,28475
74,74,fairfuzz-0-exid2,29773,29790
76,76,mopt-0-exid2,25323,25584
77,77,aflplusplus-0-exid2,27567,27574
78,78,fairfuzz-0-exid2,25323,25584
79,79,symcc-0-exid2,25323,25584
80,80,mopt-0-exid2,38673,38750
81,81,aflplusplus-0-exid2,24806,24821
82,82,fairfuzz-0-exid2,37107,37120
83,83,symcc-0-exid2,30263,30267
85,85,aflplusplus-0-exid2,27357,27178
87,87,symcc-0-exid2,25694,25699
89,89,aflplusplus-0-exid2,27471,27477
91,91,symcc-0-exid2,23743,23743
93,93,aflplusplus-0-exid2,35959,36116
95,95,symcc-0-exid2,45877,45884
96,96,mopt-0-exid2,28848,29108
97,97,aflplusplus-0-exid2,35818,35841
98,98,fairfuzz-0-exid2,26138,26160
99,99,symcc-0-exid2,30270,30272
101,101,aflplusplus-0-exid2,36399,36427
103,103,symcc-0-exid2,34421,34457
104,104,aflplusplus-0-exid2,1390,1412
105,105,fairfuzz-0-exid2,25147,25577
107,107,aflplusplus-0-exid2,25330,25430
108,108,fairfuzz-0-exid2,30253,30263
111,111,fairfuzz-0-exid2,25723,25799
112,112,symcc-0-exid2,25147,25577
114,114,fairfuzz-0-exid2,24007,24024
115,115,symcc-0-exid2,25928,25945
116,116,fairfuzz-0-exid2,29725,30324
119,119,fairfuzz-0-exid2,30272,30324
