,fuzzer,edge,fuzzer_combination,benchmark
0,aflplusplus-0-exid2,10006-10012,fca,libpng
1,aflplusplus-0-exid3,10012-10025,fca,libpng
2,aflplusplus-0-exid1,10025-10032,fca,libpng
3,aflplusplus-0-exid0,10032-10041,fca,libpng
4,aflplusplus-0-exid1,10032-10060,fca,libpng
5,aflplusplus-0-exid0,10041-10060,fca,libpng
6,aflplusplus-0-exid1,10186-10200,fca,libpng
7,aflplusplus-0-exid2,10186-10207,fca,libpng
8,aflplusplus-0-exid0,10200-10207,fca,libpng
9,mopt-0-exid2,10200-10213,fca,libpng
10,aflplusplus-0-exid0,10207-10277,fca,libpng
11,fairfuzz-0-exid0,10213-10220,fca,libpng
12,aflplusplus-0-exid0,10220-10231,fca,libpng
13,aflplusplus-0-exid1,10220-10237,fca,libpng
14,aflplusplus-0-exid0,10231-10275,fca,libpng
15,aflplusplus-0-exid0,10237-10245,fca,libpng
16,aflplusplus-0-exid0,10237-10250,fca,libpng
17,aflplusplus-0-exid0,10245-10289,fca,libpng
18,aflplusplus-0-exid0,10250-10257,fca,libpng
19,aflplusplus-0-exid0,10250-10273,fca,libpng
20,aflplusplus-0-exid1,10257-10273,fca,libpng
21,aflplusplus-0-exid2,10273-10289,fca,libpng
22,aflplusplus-0-exid0,10275-10277,fca,libpng
23,aflplusplus-0-exid0,10277-10289,fca,libpng
24,aflplusplus-0-exid0,10308-10330,fca,libpng
25,aflplusplus-0-exid0,10308-10339,fca,libpng
26,aflplusplus-0-exid0,10308-10384,fca,libpng
27,fairfuzz-0-exid3,10319-10324,fca,libpng
28,aflplusplus-0-exid0,10330-10411,fca,libpng
29,aflplusplus-0-exid0,10339-10411,fca,libpng
30,aflplusplus-0-exid0,1036-1056,fca,libpng
31,aflplusplus-0-exid0,10384-10411,fca,libpng
32,aflplusplus-0-exid0,10411-10416,fca,libpng
33,aflplusplus-0-exid0,105-132,fca,libpng
34,mopt-0-exid3,11505-11509,fca,libpng
35,fairfuzz-0-exid3,11535-11544,fca,libpng
36,symcc-0-exid2,11606-11618,fca,libpng
37,aflplusplus-0-exid0,11680-11687,fca,libpng
38,fairfuzz-0-exid2,12086-12093,fca,libpng
