,discovery_id,fuzzer,block_source,block_target
1,1,mopt-0-exid2,65285,65305
2,2,mopt-0-exid2,56647,56649
3,3,mopt-0-exid2,57744,57761
4,4,symcc-0-exid2,58022,58027
5,5,mopt-0-exid2,19092,19136
6,6,symcc-0-exid2,6708,6715
7,7,fairfuzz-0-exid2,17612,17625
8,8,mopt-0-exid2,147,150
9,9,symcc-0-exid2,10200,10213
10,10,fairfuzz-0-exid2,56864,56873
11,11,mopt-0-exid2,48326,48336
12,12,symcc-0-exid2,60245,60257
13,13,fairfuzz-0-exid2,10220,10237
14,14,mopt-0-exid2,455,836
15,15,symcc-0-exid2,392,397
16,16,fairfuzz-0-exid2,30018,30037
17,17,mopt-0-exid2,5,27
18,18,symcc-0-exid2,48942,48973
19,19,fairfuzz-0-exid2,147,150
20,20,mopt-0-exid2,58194,58198
21,21,symcc-0-exid2,150,839
22,22,fairfuzz-0-exid2,12703,12725
23,23,mopt-0-exid2,5103,5110
28,28,fairfuzz-0-exid2,49160,49166
29,29,mopt-0-exid2,60789,60804
30,30,symcc-0-exid2,48876,48910
31,31,fairfuzz-0-exid2,492,497
32,32,mopt-0-exid2,48952,48973
33,33,symcc-0-exid2,47988,48000
34,34,fairfuzz-0-exid2,48876,48910
35,35,mopt-0-exid2,48876,48910
36,36,symcc-0-exid2,5,27
37,37,fairfuzz-0-exid2,48942,48973
39,39,symcc-0-exid2,48952,48973
42,42,symcc-0-exid2,48415,48422
43,43,fairfuzz-0-exid2,48322,48326
46,46,fairfuzz-0-exid2,19454,19476
47,47,mopt-0-exid2,682,836
48,48,symcc-0-exid2,26850,26852
49,49,fairfuzz-0-exid2,5096,5103
50,50,mopt-0-exid2,48845,48867
51,51,symcc-0-exid2,682,836
53,53,aflplusplus-0-exid2,27265,27269
54,54,mopt-0-exid2,57809,57835
55,55,symcc-0-exid2,49160,49166
56,56,fairfuzz-0-exid2,132,845
57,57,aflplusplus-0-exid2,60278,60295
58,58,mopt-0-exid2,51332,51336
59,59,symcc-0-exid2,105,132
60,60,fairfuzz-0-exid2,5203,5210
61,61,aflplusplus-0-exid2,6453,6456
62,62,mopt-0-exid2,48406,48422
63,63,symcc-0-exid2,48322,48326
64,64,fairfuzz-0-exid2,5128,5135
65,65,aflplusplus-0-exid2,10273,10289
66,66,mopt-0-exid2,53119,53126
67,67,symcc-0-exid2,46799,46773
68,68,fairfuzz-0-exid2,12758,12765
69,69,aflplusplus-0-exid2,147,150
72,72,fairfuzz-0-exid2,51277,51286
73,73,aflplusplus-0-exid2,49160,49166
74,74,mopt-0-exid2,48093,48099
75,75,symcc-0-exid2,57955,57967
76,76,fairfuzz-0-exid2,12654,12665
77,77,aflplusplus-0-exid2,484,490
79,79,symcc-0-exid2,5300,5304
80,80,fairfuzz-0-exid2,46773,46804
81,81,aflplusplus-0-exid2,7684,7691
82,82,symcc-0-exid2,48361,48365
83,83,fairfuzz-0-exid2,60789,60804
84,84,mopt-0-exid2,48124,48140
85,85,aflplusplus-0-exid2,12758,12765
87,87,fairfuzz-0-exid2,48149,48169
88,88,mopt-0-exid2,46749,46773
90,90,symcc-0-exid2,5135,5142
91,91,fairfuzz-0-exid2,58194,58198
93,93,aflplusplus-0-exid2,7535,7564
94,94,symcc-0-exid2,58288,58293
97,97,aflplusplus-0-exid2,56713,56720
99,99,fairfuzz-0-exid2,48365,48372
100,100,mopt-0-exid2,57967,57987
102,102,symcc-0-exid2,5232,5236
105,105,aflplusplus-0-exid2,48118,48124
108,108,mopt-0-exid2,58205,58313
109,109,aflplusplus-0-exid2,56675,56677
113,113,aflplusplus-0-exid2,56695,56702
114,114,symcc-0-exid2,48365,48372
116,116,mopt-0-exid2,46510,46541
117,117,aflplusplus-0-exid2,5199,5203
119,119,fairfuzz-0-exid2,48966,48973
121,121,aflplusplus-0-exid2,51332,51336
123,123,fairfuzz-0-exid2,46700,46703
126,126,symcc-0-exid2,60789,60804
127,127,fairfuzz-0-exid2,46510,46541
128,128,mopt-0-exid2,46510,46534
129,129,aflplusplus-0-exid2,51433,51444
130,130,symcc-0-exid2,46845,46850
134,134,symcc-0-exid2,5035,5039
137,137,aflplusplus-0-exid2,48124,48140
138,138,symcc-0-exid2,53208,53224
139,139,fairfuzz-0-exid2,49138,49140
143,143,fairfuzz-0-exid2,51433,51444
144,144,mopt-0-exid2,48365,48372
147,147,fairfuzz-0-exid2,26447,26457
149,149,aflplusplus-0-exid2,60825,60830
151,151,symcc-0-exid2,48832,48845
152,152,mopt-0-exid2,26447,26457
153,153,aflplusplus-0-exid2,48406,48422
157,157,aflplusplus-0-exid2,48365,48372
161,161,aflplusplus-0-exid2,48280,48313
165,165,aflplusplus-0-exid2,28416,28429
167,167,symcc-0-exid2,58205,58305
170,170,fairfuzz-0-exid2,48124,48140
171,171,symcc-0-exid2,4990,4997
173,173,aflplusplus-0-exid2,5841,5881
176,176,aflplusplus-0-exid2,46462,46505
177,177,fairfuzz-0-exid2,57955,57967
182,182,mopt-0-exid2,40942,40946
184,184,fairfuzz-0-exid2,48280,48313
185,185,symcc-0-exid2,48313,48320
189,189,aflplusplus-0-exid2,7545,7564
192,192,aflplusplus-0-exid2,5103,5110
193,193,fairfuzz-0-exid2,46560,46568
197,197,mopt-0-exid2,32264,32289
198,198,symcc-0-exid2,46603,46610
201,201,symcc-0-exid2,53119,53126
202,202,aflplusplus-0-exid2,7524,7564
204,204,symcc-0-exid2,5071,5110
205,205,aflplusplus-0-exid2,56734,56737
207,207,symcc-0-exid2,28377,28390
210,210,fairfuzz-0-exid2,48347,48385
211,211,symcc-0-exid2,57959,57967
214,214,symcc-0-exid2,26526,26530
215,215,aflplusplus-0-exid2,5991,5997
216,216,fairfuzz-0-exid2,62542,62550
219,219,fairfuzz-0-exid2,28403,28416
221,221,aflplusplus-0-exid2,5949,5979
225,225,aflplusplus-0-exid2,48149,48169
227,227,symcc-0-exid2,48149,48169
228,228,aflplusplus-0-exid2,5871,5881
229,229,mopt-0-exid2,61521,61531
233,233,mopt-0-exid2,46933,46941
234,234,fairfuzz-0-exid2,47332,47335
238,238,symcc-0-exid2,57868,57890
239,239,aflplusplus-0-exid2,652,672
243,243,aflplusplus-0-exid2,49105,49109
247,247,fairfuzz-0-exid2,26526,26530
255,255,mopt-0-exid2,46568,46582
259,259,mopt-0-exid2,47121,47123
260,260,aflplusplus-0-exid2,7754,7765
261,261,fairfuzz-0-exid2,53119,53126
264,264,aflplusplus-0-exid2,57959,57967
268,268,aflplusplus-0-exid2,46568,46582
269,269,fairfuzz-0-exid2,5153,5174
270,270,symcc-0-exid2,62519,62535
273,273,mopt-0-exid2,58305,58329
274,274,symcc-0-exid2,48016,48031
275,275,aflplusplus-0-exid2,6428,6433
276,276,fairfuzz-0-exid2,48832,48845
278,278,symcc-0-exid2,74,82
281,281,mopt-0-exid2,48000,48016
282,282,aflplusplus-0-exid2,58194,58198
284,284,fairfuzz-0-exid2,47098,47119
289,289,aflplusplus-0-exid2,7647,7701
296,296,aflplusplus-0-exid2,10339,10411
297,297,symcc-0-exid2,12630,12635
301,301,symcc-0-exid2,26447,26457
303,303,symcc-0-exid2,50528,50540
304,304,aflplusplus-0-exid2,6182,6192
305,305,symcc-0-exid2,57897,57904
310,310,mopt-0-exid2,74,82
313,313,fairfuzz-0-exid2,57959,57967
318,318,aflplusplus-0-exid2,6005,6078
321,321,aflplusplus-0-exid2,5829,6254
322,322,mopt-0-exid2,48313,48320
323,323,aflplusplus-0-exid2,12768,12773
325,325,aflplusplus-0-exid2,57955,57967
