,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid23,28734,28752
2,2,fairfuzz-0-exid23,57424,57444
3,3,fairfuzz-0-exid23,58367,58380
4,4,fairfuzz-0-exid23,7722,7748
5,5,afl-0-exid23,61476,61503
6,6,fairfuzz-0-exid23,12490,12513
7,7,afl-0-exid23,56954,56959
8,8,fairfuzz-0-exid23,48952,48973
9,9,afl-0-exid23,57424,57444
10,10,fairfuzz-0-exid23,150,839
11,11,afl-0-exid23,28273,28286
12,12,fairfuzz-0-exid23,469,474
13,13,afl-0-exid23,12231,12240
14,14,fairfuzz-0-exid23,48942,48973
15,15,afl-0-exid23,48876,48910
17,17,afl-0-exid23,150,839
18,18,fairfuzz-0-exid23,5203,5210
19,19,afl-0-exid23,12670,12690
21,21,afl-0-exid23,49160,49166
23,23,afl-0-exid23,502,522
24,24,fairfuzz-0-exid23,51325,51330
25,25,afl-0-exid23,12744,12768
27,27,afl-0-exid23,26818,26831
28,28,fairfuzz-0-exid23,105,132
29,29,afl-0-exid23,58194,58198
30,30,fairfuzz-0-exid23,48357,48101
31,31,afl-0-exid23,58283,58293
32,32,fairfuzz-0-exid23,26447,26457
33,33,afl-0-exid23,48326,48336
34,34,fairfuzz-0-exid23,5,27
36,36,fairfuzz-0-exid23,5284,5298
37,37,afl-0-exid23,53208,53224
38,38,aflplusplus-0-exid23,29470,29488
39,39,fairfuzz-0-exid23,48322,48326
40,40,afl-0-exid23,46708,46738
41,41,aflplusplus-0-exid23,55076,55083
42,42,fairfuzz-0-exid23,48876,48910
44,44,aflplusplus-0-exid23,6464,6515
47,47,aflplusplus-0-exid23,9403,9412
48,48,fairfuzz-0-exid23,5160,5174
49,49,afl-0-exid23,57955,57967
50,50,aflplusplus-0-exid23,150,839
51,51,fairfuzz-0-exid23,5146,5181
52,52,afl-0-exid23,12758,12765
53,53,aflplusplus-0-exid23,49160,49166
55,55,afl-0-exid23,105,132
56,56,aflplusplus-0-exid23,48322,48326
59,59,aflplusplus-0-exid23,7624,7631
60,60,fairfuzz-0-exid23,58194,58198
62,62,aflfast-0-exid23,26884,26886
63,63,aflplusplus-0-exid23,12751,12758
65,65,afl-0-exid23,4990,4997
67,67,aflfast-0-exid23,57744,57761
68,68,fairfuzz-0-exid23,26844,26850
69,69,afl-0-exid23,5192,5199
70,70,aflplusplus-0-exid23,56476,56695
71,71,aflfast-0-exid23,28474,28476
72,72,fairfuzz-0-exid23,60789,60804
73,73,afl-0-exid23,49147,49156
74,74,aflplusplus-0-exid23,56713,56720
75,75,aflfast-0-exid23,9476,9567
77,77,afl-0-exid23,28377,28390
79,79,aflfast-0-exid23,150,839
82,82,aflplusplus-0-exid23,46598,46603
83,83,fairfuzz-0-exid23,48124,48140
84,84,aflfast-0-exid23,12231,12240
85,85,afl-0-exid23,26852,26854
86,86,aflplusplus-0-exid23,56548,56675
87,87,fairfuzz-0-exid23,49140,49147
88,88,aflfast-0-exid23,12725,12830
89,89,afl-0-exid23,48365,48372
90,90,aflplusplus-0-exid23,5284,5298
92,92,aflfast-0-exid23,58194,58198
93,93,aflplusplus-0-exid23,51176,51273
95,95,fairfuzz-0-exid23,12640,12654
96,96,aflfast-0-exid23,12744,12768
97,97,aflplusplus-0-exid23,46667,46700
99,99,fairfuzz-0-exid23,17957,17965
100,100,aflfast-0-exid23,48942,48973
101,101,aflplusplus-0-exid23,51433,51444
104,104,aflfast-0-exid23,51407,51425
108,108,aflfast-0-exid23,51433,51444
109,109,aflplusplus-0-exid23,48124,48140
110,110,afl-0-exid23,48093,48099
111,111,fairfuzz-0-exid23,46582,46589
116,116,aflfast-0-exid23,12751,12758
117,117,aflplusplus-0-exid23,60825,60830
118,118,afl-0-exid23,5153,5174
121,121,aflplusplus-0-exid23,48406,48422
123,123,fairfuzz-0-exid23,48326,48347
124,124,aflfast-0-exid23,49109,49117
125,125,aflplusplus-0-exid23,48365,48372
127,127,fairfuzz-0-exid23,46873,46845
128,128,aflfast-0-exid23,479,492
129,129,aflplusplus-0-exid23,48280,48313
130,130,afl-0-exid23,57967,57987
132,132,aflfast-0-exid23,490,492
133,133,afl-0-exid23,48149,48169
134,134,aflplusplus-0-exid23,28390,28403
135,135,fairfuzz-0-exid23,28429,28442
137,137,afl-0-exid23,5181,5188
144,144,aflfast-0-exid23,19454,19476
145,145,afl-0-exid23,46778,46799
146,146,aflplusplus-0-exid23,5841,5881
147,147,fairfuzz-0-exid23,53119,53126
150,150,aflplusplus-0-exid23,46845,46850
156,156,aflfast-0-exid23,4965,4990
158,158,aflplusplus-0-exid23,6320,6416
161,161,afl-0-exid23,46462,46505
166,166,aflplusplus-0-exid23,7545,7564
168,168,aflfast-0-exid23,48124,48140
169,169,afl-0-exid23,48966,48973
170,170,aflplusplus-0-exid23,5103,5110
172,172,aflfast-0-exid23,5035,5039
176,176,aflfast-0-exid23,5096,5103
177,177,afl-0-exid23,5039,5046
180,180,aflfast-0-exid23,58293,58300
184,184,aflfast-0-exid23,5114,5135
186,186,aflplusplus-0-exid23,56734,56737
187,187,fairfuzz-0-exid23,19476,19509
188,188,aflfast-0-exid23,58205,58305
189,189,afl-0-exid23,19435,19440
192,192,aflfast-0-exid23,5203,5210
196,196,aflfast-0-exid23,5284,5298
197,197,afl-0-exid23,48357,48101
200,200,aflfast-0-exid23,5188,5192
202,202,aflplusplus-0-exid23,7524,7564
204,204,aflfast-0-exid23,19662,19674
207,207,fairfuzz-0-exid23,48280,48313
214,214,aflplusplus-0-exid23,5949,5979
215,215,fairfuzz-0-exid23,48832,48845
216,216,aflfast-0-exid23,57955,57967
217,217,afl-0-exid23,48124,48140
218,218,aflplusplus-0-exid23,48149,48169
219,219,aflfast-0-exid23,57959,57967
222,222,aflplusplus-0-exid23,5871,5881
223,223,aflfast-0-exid23,57967,57987
226,226,aflplusplus-0-exid23,672,682
227,227,aflfast-0-exid23,55028,55038
231,231,aflfast-0-exid23,48966,48973
237,237,afl-0-exid23,48832,48845
241,241,aflplusplus-0-exid23,49109,49117
242,242,aflfast-0-exid23,55632,55654
245,245,aflfast-0-exid23,55654,55711
248,248,fairfuzz-0-exid23,57959,57967
254,254,aflplusplus-0-exid23,56387,56711
256,256,afl-0-exid23,53119,53126
258,258,aflplusplus-0-exid23,57959,57967
265,265,aflfast-0-exid23,55647,55654
271,271,aflplusplus-0-exid23,6433,6443
272,272,aflfast-0-exid23,55108,55113
274,274,aflfast-0-exid23,55113,55403
275,275,fairfuzz-0-exid23,53208,53224
277,277,afl-0-exid23,62527,62540
279,279,aflplusplus-0-exid23,58194,58198
281,281,aflfast-0-exid23,55178,55403
283,283,afl-0-exid23,57825,57835
284,284,aflfast-0-exid23,54516,54520
285,285,aflplusplus-0-exid23,6090,6182
287,287,aflfast-0-exid23,54520,54603
290,290,aflfast-0-exid23,48149,48169
293,293,aflfast-0-exid23,48313,48320
294,294,aflplusplus-0-exid23,10308,10339
296,296,aflfast-0-exid23,48101,48106
302,302,aflfast-0-exid23,48066,48093
303,303,aflplusplus-0-exid23,5991,5997
305,305,aflfast-0-exid23,57825,57835
307,307,afl-0-exid23,10308,10339
308,308,aflfast-0-exid23,48832,48845
310,310,afl-0-exid23,57868,57890
314,314,afl-0-exid23,48000,48016
317,317,afl-0-exid23,26423,26433
319,319,aflplusplus-0-exid23,7647,7701
325,325,aflplusplus-0-exid23,5812,5821
326,326,fairfuzz-0-exid23,57825,57835
328,328,aflplusplus-0-exid23,12768,12773
329,329,afl-0-exid23,26447,26457
331,331,aflplusplus-0-exid23,57955,57967
333,333,aflplusplus-0-exid23,57967,57987
334,334,aflfast-0-exid23,48230,48241
