,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid1,366544,366615
2,2,fairfuzz-0-exid1,37212,37252
3,3,fairfuzz-0-exid1,55909,55916
4,4,fairfuzz-0-exid1,129742,130054
5,5,symcc-0-exid1,6799,6808
6,6,fairfuzz-0-exid1,11809,11818
7,7,mopt-0-exid1,372785,372812
8,8,symcc-0-exid1,36386,36405
9,9,fairfuzz-0-exid1,374109,374119
10,10,mopt-0-exid1,7492,7502
11,11,symcc-0-exid1,18814,18823
12,12,mopt-0-exid1,417269,417286
13,13,fairfuzz-0-exid1,38465,38472
14,14,symcc-0-exid1,3279,3301
15,15,mopt-0-exid1,3699,3714
16,16,fairfuzz-0-exid1,38520,38552
17,17,symcc-0-exid1,5215,5236
18,18,mopt-0-exid1,33291,33301
19,19,fairfuzz-0-exid1,374981,374999
20,20,symcc-0-exid1,11201,11214
22,22,fairfuzz-0-exid1,10124,10138
23,23,symcc-0-exid1,21459,21468
24,24,mopt-0-exid1,272594,272609
25,25,fairfuzz-0-exid1,21436,21452
26,26,symcc-0-exid1,7811,7832
27,27,mopt-0-exid1,19406,19410
29,29,symcc-0-exid1,48899,48901
30,30,mopt-0-exid1,93055,93101
31,31,fairfuzz-0-exid1,396773,396792
32,32,symcc-0-exid1,3309,3317
33,33,mopt-0-exid1,9985,9999
34,34,fairfuzz-0-exid1,118060,118064
35,35,symcc-0-exid1,8745,8755
36,36,mopt-0-exid1,72701,72709
37,37,fairfuzz-0-exid1,21298,21303
39,39,mopt-0-exid1,150752,150785
41,41,symcc-0-exid1,24337,24343
44,44,symcc-0-exid1,13572,13582
47,47,symcc-0-exid1,32356,32409
48,48,mopt-0-exid1,376688,376700
50,50,symcc-0-exid1,374382,374392
51,51,mopt-0-exid1,3699,3705
53,53,aflplusplus-0-exid1,421673,421692
55,55,mopt-0-exid1,374530,374535
56,56,aflplusplus-0-exid1,21878,21892
57,57,fairfuzz-0-exid1,373939,374002
58,58,symcc-0-exid1,52120,52146
60,60,aflplusplus-0-exid1,370322,370332
61,61,fairfuzz-0-exid1,128423,128432
62,62,symcc-0-exid1,54397,54416
63,63,mopt-0-exid1,149543,149645
64,64,aflplusplus-0-exid1,372719,372731
66,66,symcc-0-exid1,6316,6326
68,68,aflplusplus-0-exid1,9545,9599
69,69,symcc-0-exid1,10427,10447
70,70,mopt-0-exid1,35782,35805
72,72,fairfuzz-0-exid1,410493,410496
73,73,symcc-0-exid1,46338,46353
75,75,aflplusplus-0-exid1,85990,86012
76,76,fairfuzz-0-exid1,13508,13515
78,78,mopt-0-exid1,375124,375128
81,81,symcc-0-exid1,12380,12394
83,83,aflplusplus-0-exid1,22458,22512
84,84,fairfuzz-0-exid1,108788,108800
85,85,symcc-0-exid1,141047,141053
86,86,mopt-0-exid1,128423,128432
92,92,aflplusplus-0-exid1,372719,372748
93,93,symcc-0-exid1,84421,84444
94,94,mopt-0-exid1,417533,417544
96,96,aflplusplus-0-exid1,21708,21734
97,97,symcc-0-exid1,152564,152608
100,100,aflplusplus-0-exid1,149527,149537
101,101,symcc-0-exid1,138752,138775
102,102,mopt-0-exid1,33305,33342
105,105,symcc-0-exid1,270179,270183
108,108,aflplusplus-0-exid1,42097,42212
109,109,symcc-0-exid1,30496,30521
111,111,fairfuzz-0-exid1,33405,33458
113,113,symcc-0-exid1,368908,368924
115,115,fairfuzz-0-exid1,86563,86581
117,117,symcc-0-exid1,9325,9332
119,119,fairfuzz-0-exid1,33344,33301
121,121,symcc-0-exid1,17976,17980
123,123,fairfuzz-0-exid1,374355,374361
126,126,mopt-0-exid1,415,423
127,127,fairfuzz-0-exid1,269166,269208
129,129,symcc-0-exid1,86563,86581
133,133,symcc-0-exid1,11338,11364
134,134,mopt-0-exid1,38824,38912
137,137,symcc-0-exid1,33615,33622
