,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid20,128004,128010
2,2,fairfuzz-0-exid20,85404,85410
3,3,fairfuzz-0-exid20,5838,5853
4,4,fairfuzz-0-exid20,85656,85665
5,5,afl-0-exid20,14283,14300
6,6,fairfuzz-0-exid20,370708,370734
7,7,afl-0-exid20,10701,10707
8,8,fairfuzz-0-exid20,21428,21436
9,9,afl-0-exid20,130074,130079
10,10,fairfuzz-0-exid20,275035,275037
11,11,afl-0-exid20,3705,3722
12,12,fairfuzz-0-exid20,5088,5097
13,13,afl-0-exid20,13557,13563
14,14,fairfuzz-0-exid20,21320,21298
15,15,afl-0-exid20,392504,392576
16,16,fairfuzz-0-exid20,371153,371164
17,17,afl-0-exid20,84490,84495
18,18,fairfuzz-0-exid20,374808,374810
19,19,afl-0-exid20,274351,274373
21,21,afl-0-exid20,396773,396792
25,25,afl-0-exid20,84560,84571
27,27,afl-0-exid20,86237,86247
28,28,fairfuzz-0-exid20,19310,19343
29,29,afl-0-exid20,33305,33342
30,30,fairfuzz-0-exid20,377115,377124
31,31,afl-0-exid20,374002,374006
33,33,afl-0-exid20,103852,103860
34,34,fairfuzz-0-exid20,128712,129101
36,36,fairfuzz-0-exid20,417166,417176
37,37,afl-0-exid20,275035,275037
39,39,afl-0-exid20,112562,112399
40,40,fairfuzz-0-exid20,84466,84484
41,41,afl-0-exid20,84495,84580
42,42,fairfuzz-0-exid20,32416,32619
44,44,aflplusplus-0-exid20,392578,392580
46,46,afl-0-exid20,28607,28623
47,47,aflplusplus-0-exid20,372549,372768
48,48,fairfuzz-0-exid20,84551,84560
49,49,afl-0-exid20,32123,32615
50,50,aflplusplus-0-exid20,828,848
51,51,fairfuzz-0-exid20,70635,70656
52,52,afl-0-exid20,11732,11759
53,53,aflplusplus-0-exid20,33291,33301
54,54,fairfuzz-0-exid20,33301,33305
55,55,afl-0-exid20,16124,16131
56,56,aflplusplus-0-exid20,392407,392411
57,57,fairfuzz-0-exid20,374002,374006
58,58,afl-0-exid20,374549,374574
59,59,aflplusplus-0-exid20,374771,374794
60,60,fairfuzz-0-exid20,11809,11854
62,62,aflplusplus-0-exid20,76044,76072
63,63,fairfuzz-0-exid20,374574,374582
65,65,aflplusplus-0-exid20,421931,421974
66,66,aflfast-0-exid20,274175,274208
68,68,afl-0-exid20,154483,154499
69,69,aflplusplus-0-exid20,374203,374216
70,70,aflfast-0-exid20,396771,396131
71,71,fairfuzz-0-exid20,38916,38933
72,72,afl-0-exid20,419938,419951
73,73,aflfast-0-exid20,3798,3803
75,75,afl-0-exid20,38916,38923
76,76,aflplusplus-0-exid20,102537,102615
77,77,aflfast-0-exid20,126313,126332
79,79,afl-0-exid20,154539,154542
81,81,aflfast-0-exid20,85714,85725
85,85,aflfast-0-exid20,5382,5387
86,86,fairfuzz-0-exid20,76143,76162
88,88,aflplusplus-0-exid20,5088,5097
91,91,afl-0-exid20,10574,10600
92,92,aflplusplus-0-exid20,372695,372707
93,93,aflfast-0-exid20,24928,24933
96,96,aflplusplus-0-exid20,379065,379074
97,97,aflfast-0-exid20,21588,21513
98,98,fairfuzz-0-exid20,42340,42342
103,103,afl-0-exid20,269166,269208
104,104,aflplusplus-0-exid20,374291,374357
105,105,aflfast-0-exid20,21816,21825
106,106,fairfuzz-0-exid20,367786,367803
108,108,aflplusplus-0-exid20,3670,3688
109,109,aflfast-0-exid20,22458,22512
112,112,aflplusplus-0-exid20,409137,409143
114,114,fairfuzz-0-exid20,133280,133295
119,119,afl-0-exid20,42390,42435
122,122,fairfuzz-0-exid20,3825,3841
123,123,afl-0-exid20,22427,22437
128,128,aflplusplus-0-exid20,22458,22512
130,130,afl-0-exid20,283530,283544
134,134,afl-0-exid20,366731,366755
137,137,afl-0-exid20,55340,55349
141,141,afl-0-exid20,22556,22727
145,145,afl-0-exid20,4687,4689
147,147,aflfast-0-exid20,371404,371424
149,149,afl-0-exid20,52104,52120
