,fuzzer,edge,fuzzer_combination,benchmark
0,afl-0-exid20,10007-10059,fcb,lua
1,aflplusplus-0-exid23,10027-10059,fcb,lua
2,fairfuzz-0-exid24,10059-10061,fcb,lua
3,aflplusplus-0-exid24,10071-10097,fcb,lua
4,aflplusplus-0-exid20,10097-10105,fcb,lua
5,afl-0-exid23,101-110,fcb,lua
6,afl-0-exid20,10105-10120,fcb,lua
7,afl-0-exid20,10120-10143,fcb,lua
8,aflfast-0-exid24,10140-10143,fcb,lua
9,aflfast-0-exid20,10165-10172,fcb,lua
10,aflfast-0-exid22,10205-10237,fcb,lua
11,afl-0-exid23,10205-10243,fcb,lua
12,afl-0-exid22,10237-10469,fcb,lua
13,afl-0-exid20,10243-10466,fcb,lua
14,afl-0-exid20,10252-10270,fcb,lua
15,aflplusplus-0-exid20,10252-10297,fcb,lua
16,afl-0-exid21,10252-10334,fcb,lua
17,afl-0-exid20,10252-10373,fcb,lua
18,afl-0-exid20,10252-10445,fcb,lua
19,afl-0-exid20,10252-10456,fcb,lua
20,aflfast-0-exid20,10270-10284,fcb,lua
21,afl-0-exid23,10284-10469,fcb,lua
22,afl-0-exid20,10334-10469,fcb,lua
23,afl-0-exid22,10373-10383,fcb,lua
24,afl-0-exid20,10383-10387,fcb,lua
25,aflplusplus-0-exid23,10383-10395,fcb,lua
26,afl-0-exid21,10387-10407,fcb,lua
27,afl-0-exid20,10407-10443,fcb,lua
28,afl-0-exid22,10443-10461,fcb,lua
29,afl-0-exid20,10445-10469,fcb,lua
30,afl-0-exid20,10456-10461,fcb,lua
31,aflfast-0-exid21,10461-10466,fcb,lua
32,afl-0-exid21,10466-10469,fcb,lua
33,afl-0-exid20,10476-10490,fcb,lua
34,afl-0-exid20,10490-10503,fcb,lua
35,afl-0-exid22,10510-10548,fcb,lua
36,afl-0-exid23,10548-10556,fcb,lua
37,aflfast-0-exid23,10556-10559,fcb,lua
38,afl-0-exid23,10559-10564,fcb,lua
39,fairfuzz-0-exid21,10564-10613,fcb,lua
40,afl-0-exid22,10564-10629,fcb,lua
41,afl-0-exid20,10586-10608,fcb,lua
42,afl-0-exid24,10629-10634,fcb,lua
43,afl-0-exid20,10641-10674,fcb,lua
44,afl-0-exid20,10659-10674,fcb,lua
45,fairfuzz-0-exid21,10677-10697,fcb,lua
46,aflfast-0-exid20,10702-10709,fcb,lua
47,fairfuzz-0-exid20,10782-10803,fcb,lua
48,afl-0-exid20,10818-10830,fcb,lua
49,afl-0-exid20,10843-10874,fcb,lua
50,afl-0-exid20,10865-10874,fcb,lua
51,afl-0-exid21,10865-10881,fcb,lua
52,afl-0-exid20,10874-10881,fcb,lua
53,afl-0-exid20,10928-10950,fcb,lua
54,afl-0-exid21,10950-10966,fcb,lua
55,fairfuzz-0-exid20,10959-10966,fcb,lua
56,afl-0-exid24,110-112,fcb,lua
57,afl-0-exid21,11002-11021,fcb,lua
58,afl-0-exid20,11002-11028,fcb,lua
59,afl-0-exid21,11021-11028,fcb,lua
60,aflfast-0-exid21,11088-11105,fcb,lua
61,afl-0-exid21,11088-11116,fcb,lua
62,afl-0-exid20,11105-11116,fcb,lua
63,afl-0-exid20,11105-11123,fcb,lua
64,afl-0-exid20,11116-11123,fcb,lua
65,afl-0-exid20,11152-11176,fcb,lua
66,afl-0-exid20,11152-11184,fcb,lua
67,afl-0-exid22,11176-11186,fcb,lua
68,afl-0-exid21,11184-11186,fcb,lua
69,aflfast-0-exid20,11186-11192,fcb,lua
70,afl-0-exid22,11186-11201,fcb,lua
71,aflfast-0-exid23,11192-11206,fcb,lua
72,afl-0-exid20,11201-11206,fcb,lua
73,afl-0-exid20,11218-11273,fcb,lua
74,afl-0-exid21,11273-11283,fcb,lua
75,afl-0-exid20,11273-11298,fcb,lua
76,aflplusplus-0-exid20,11273-11340,fcb,lua
77,afl-0-exid20,11273-11367,fcb,lua
78,afl-0-exid20,11273-11372,fcb,lua
79,afl-0-exid20,11273-11379,fcb,lua
80,afl-0-exid20,11273-11390,fcb,lua
81,afl-0-exid20,11273-11460,fcb,lua
82,aflfast-0-exid23,11278-11288,fcb,lua
83,afl-0-exid20,11283-11288,fcb,lua
84,afl-0-exid20,11298-11498,fcb,lua
85,afl-0-exid21,11340-11350,fcb,lua
86,aflfast-0-exid20,11350-11357,fcb,lua
87,fairfuzz-0-exid23,11359-11364,fcb,lua
88,afl-0-exid24,11364-11479,fcb,lua
89,afl-0-exid22,11367-11377,fcb,lua
90,afl-0-exid20,11372-11377,fcb,lua
91,afl-0-exid20,11377-11384,fcb,lua
92,afl-0-exid20,11379-11384,fcb,lua
93,afl-0-exid20,11384-11479,fcb,lua
94,afl-0-exid20,11390-11479,fcb,lua
95,afl-0-exid20,11460-11470,fcb,lua
96,afl-0-exid20,11470-11479,fcb,lua
97,aflfast-0-exid24,11479-11498,fcb,lua
98,afl-0-exid24,11565-11575,fcb,lua
99,aflfast-0-exid23,1157-1169,fcb,lua
100,aflfast-0-exid20,11673-11932,fcb,lua
101,aflfast-0-exid23,11678-11686,fcb,lua
102,aflfast-0-exid20,1169-1182,fcb,lua
103,aflfast-0-exid22,11806-11818,fcb,lua
104,fairfuzz-0-exid21,11825-11853,fcb,lua
105,aflfast-0-exid21,1188-1199,fcb,lua
106,afl-0-exid20,12166-12186,fcb,lua
107,fairfuzz-0-exid24,12166-12197,fcb,lua
108,afl-0-exid20,12186-12205,fcb,lua
