,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid2,18743,18793
2,2,fairfuzz-0-exid2,12135,12245
3,3,symcc-0-exid2,39806,39827
4,4,fairfuzz-0-exid2,70577,70609
5,5,symcc-0-exid2,46567,46588
6,6,fairfuzz-0-exid2,70255,70416
7,7,symcc-0-exid2,60606,60642
8,8,fairfuzz-0-exid2,20989,21064
9,9,symcc-0-exid2,21458,21462
10,10,fairfuzz-0-exid2,67994,68028
11,11,mopt-0-exid2,66305,66477
12,12,symcc-0-exid2,80162,80168
13,13,fairfuzz-0-exid2,89366,89377
14,14,mopt-0-exid2,74441,74461
15,15,symcc-0-exid2,43501,43558
16,16,fairfuzz-0-exid2,92740,92752
17,17,mopt-0-exid2,26431,26517
18,18,symcc-0-exid2,84351,84375
19,19,fairfuzz-0-exid2,58906,58921
20,20,mopt-0-exid2,57008,57011
21,21,symcc-0-exid2,45975,46003
22,22,fairfuzz-0-exid2,86373,86393
23,23,mopt-0-exid2,85491,85523
24,24,symcc-0-exid2,31292,31309
25,25,mopt-0-exid2,68721,68732
26,26,symcc-0-exid2,92981,92986
27,27,mopt-0-exid2,53989,54009
28,28,mopt-0-exid2,46003,55719
29,29,mopt-0-exid2,90945,90958
30,30,mopt-0-exid2,50869,50890
31,31,aflplusplus-0-exid2,38586,38603
32,32,aflplusplus-0-exid2,93005,93010
33,33,aflplusplus-0-exid2,47770,47796
34,34,aflplusplus-0-exid2,93994,94005
35,35,aflplusplus-0-exid2,67582,67604
36,36,aflplusplus-0-exid2,73419,73437
37,37,aflplusplus-0-exid2,35237,35255
38,38,aflplusplus-0-exid2,35333,35326
39,39,aflplusplus-0-exid2,55346,45504
40,40,aflplusplus-0-exid2,53974,53981
41,41,aflplusplus-0-exid2,975,995
42,42,aflplusplus-0-exid2,26659,26674
43,43,aflplusplus-0-exid2,71981,71994
45,45,aflplusplus-0-exid2,72463,72490
50,50,aflplusplus-0-exid2,73039,73049
56,56,aflplusplus-0-exid2,11192,11206
57,57,aflplusplus-0-exid2,71981,72022
59,59,aflplusplus-0-exid2,27832,27844
65,65,aflplusplus-0-exid2,46948,46980
69,69,aflplusplus-0-exid2,6853,6860
