,fuzzer,edge
11757,afl-0-exid20,10007-10059
4774,afl-0-exid22,10007-10059
9353,afl-0-exid24,10007-10059
38755,aflfast-0-exid21,10007-10059
6298,aflfast-0-exid22,10007-10059
39435,aflfast-0-exid22,10007-10059
42941,aflfast-0-exid23,10007-10059
36135,aflplusplus-0-exid20,10007-10059
26862,aflplusplus-0-exid21,10007-10059
29135,aflplusplus-0-exid22,10007-10059
42948,aflplusplus-0-exid23,10007-10059
33544,aflplusplus-0-exid24,10007-10059
45243,aflplusplus-0-exid24,10007-10059
23812,fairfuzz-0-exid20,10007-10059
2661,fairfuzz-0-exid21,10007-10059
14178,fairfuzz-0-exid21,10007-10059
39552,fairfuzz-0-exid22,10007-10059
9356,fairfuzz-0-exid24,10007-10059
32610,fairfuzz-0-exid24,10007-10059
30092,aflplusplus-0-exid23,10027-10059
32519,fairfuzz-0-exid24,10059-10061
32536,aflplusplus-0-exid24,10071-10097
11637,aflplusplus-0-exid20,10097-10105
18619,aflplusplus-0-exid23,10097-10105
18892,afl-0-exid23,101-110
9706,afl-0-exid24,101-110
12860,aflfast-0-exid20,101-110
24542,aflfast-0-exid20,101-110
36051,aflfast-0-exid20,101-110
5795,aflfast-0-exid22,101-110
10407,aflfast-0-exid24,101-110
37265,aflplusplus-0-exid21,101-110
16478,aflplusplus-0-exid22,101-110
28070,aflplusplus-0-exid22,101-110
11999,fairfuzz-0-exid20,101-110
39659,fairfuzz-0-exid22,101-110
23333,afl-0-exid20,10105-10120
14089,afl-0-exid21,10105-10120
37252,afl-0-exid21,10105-10120
44146,afl-0-exid24,10105-10120
44046,aflfast-0-exid24,10105-10120
1185,aflplusplus-0-exid20,10105-10120
40573,aflplusplus-0-exid22,10105-10120
8004,aflplusplus-0-exid23,10105-10120
19639,aflplusplus-0-exid23,10105-10120
10449,aflplusplus-0-exid24,10105-10120
188,fairfuzz-0-exid20,10105-10120
37292,fairfuzz-0-exid21,10105-10120
28076,fairfuzz-0-exid22,10105-10120
6978,fairfuzz-0-exid23,10105-10120
