,discovery_id,fuzzer,block_source,block_target
1,1,afl-0-exid21,71760,71766
2,2,afl-0-exid21,55719,48446
3,3,afl-0-exid21,37256,37212
4,4,fairfuzz-0-exid21,40488,40503
5,5,afl-0-exid21,10865,10881
6,6,fairfuzz-0-exid21,47279,47300
7,7,afl-0-exid21,3414,3683
8,8,fairfuzz-0-exid21,68561,68581
9,9,afl-0-exid21,18923,18925
10,10,fairfuzz-0-exid21,15491,15533
11,11,afl-0-exid21,7847,7852
12,12,fairfuzz-0-exid21,62223,62261
13,13,afl-0-exid21,35326,35333
14,14,fairfuzz-0-exid21,73323,73354
15,15,afl-0-exid21,58379,58384
16,16,fairfuzz-0-exid21,55375,55390
17,17,afl-0-exid21,92626,92645
18,18,fairfuzz-0-exid21,46003,55719
19,19,fairfuzz-0-exid21,38552,38563
20,20,fairfuzz-0-exid21,89608,89621
21,21,aflplusplus-0-exid21,26490,26497
22,22,aflplusplus-0-exid21,84379,84386
23,23,aflplusplus-0-exid21,21237,21239
24,24,aflplusplus-0-exid21,61950,61968
25,25,aflplusplus-0-exid21,71981,72514
26,26,aflfast-0-exid21,86554,86571
27,27,aflplusplus-0-exid21,74118,74150
28,28,aflfast-0-exid21,55719,53128
29,29,aflplusplus-0-exid21,30673,30680
30,30,aflfast-0-exid21,84386,84457
31,31,aflplusplus-0-exid21,35326,35333
32,32,aflfast-0-exid21,46003,55719
33,33,aflplusplus-0-exid21,55346,45504
34,34,aflfast-0-exid21,26456,26513
35,35,aflplusplus-0-exid21,41856,41877
36,36,aflfast-0-exid21,15491,15524
37,37,aflfast-0-exid21,94051,94062
38,38,aflfast-0-exid21,35873,35883
39,39,aflfast-0-exid21,32851,32926
40,40,aflfast-0-exid21,2539,2549
41,41,aflplusplus-0-exid21,75363,75387
42,42,aflplusplus-0-exid21,26674,26891
43,43,aflplusplus-0-exid21,71994,71999
45,45,aflplusplus-0-exid21,72490,72496
50,50,aflplusplus-0-exid21,73062,73082
55,55,aflplusplus-0-exid21,11152,11176
56,56,aflplusplus-0-exid21,71981,72022
58,58,aflplusplus-0-exid21,75286,75309
63,63,aflplusplus-0-exid21,46948,46980
67,67,afl-0-exid21,73571,73596
68,68,aflplusplus-0-exid21,6839,6853
69,69,afl-0-exid21,31617,31623
