,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid24,49752,50460
9,9,afl-0-exid24,49752,50369
21,21,aflplusplus-0-exid24,110,130
26,26,aflfast-0-exid24,14464,14475
37,37,aflplusplus-0-exid24,4342,4359
41,41,aflplusplus-0-exid24,130,137
43,43,aflplusplus-0-exid24,53544,53546
45,45,aflplusplus-0-exid24,52469,52744
47,47,aflplusplus-0-exid24,26581,26583
48,48,aflplusplus-0-exid24,43621,43631
50,50,aflplusplus-0-exid24,27952,27954
51,51,aflplusplus-0-exid24,53613,53615
54,54,aflplusplus-0-exid24,50997,50974
55,55,fairfuzz-0-exid24,38488,38522
56,56,aflplusplus-0-exid24,77658,77666
57,57,fairfuzz-0-exid24,52061,52188
59,59,aflplusplus-0-exid24,26815,26817
60,60,aflplusplus-0-exid24,6699,6701
61,61,fairfuzz-0-exid24,141,148
62,62,fairfuzz-0-exid24,24974,24985
66,66,aflplusplus-0-exid24,38434,38457
67,67,fairfuzz-0-exid24,1023,1032
68,68,aflplusplus-0-exid24,20450,20472
71,71,fairfuzz-0-exid24,46666,46718
72,72,aflplusplus-0-exid24,77597,77695
74,74,afl-0-exid24,52055,52061
76,76,afl-0-exid24,24974,24985
78,78,afl-0-exid24,50974,51002
80,80,afl-0-exid24,51994,52006
81,81,aflplusplus-0-exid24,117013,117022
85,85,aflplusplus-0-exid24,20505,20509
87,87,aflplusplus-0-exid24,18057,18085
92,92,fairfuzz-0-exid24,52014,52018
96,96,aflplusplus-0-exid24,119352,119368
99,99,aflplusplus-0-exid24,52488,52744
101,101,aflplusplus-0-exid24,26496,26504
102,102,fairfuzz-0-exid24,6992,7022
103,103,afl-0-exid24,118243,118265
107,107,afl-0-exid24,2984,2999
108,108,fairfuzz-0-exid24,119578,119685
110,110,afl-0-exid24,52051,52061
112,112,aflplusplus-0-exid24,81596,81601
113,113,afl-0-exid24,20480,20509
114,114,fairfuzz-0-exid24,27930,27932
117,117,aflplusplus-0-exid24,17976,18089
118,118,afl-0-exid24,7187,7210
121,121,aflplusplus-0-exid24,28118,28120
