,fuzzer,edge,fuzzer_combination,benchmark
0,aflfast-0-exid20,10111-10128,fcb,nm
1,fairfuzz-0-exid21,10128-10134,fcb,nm
2,afl-0-exid23,10134-10144,fcb,nm
3,aflplusplus-0-exid22,10144-10154,fcb,nm
4,aflfast-0-exid20,10154-10162,fcb,nm
5,afl-0-exid23,10162-10193,fcb,nm
6,afl-0-exid24,10162-10563,fcb,nm
7,afl-0-exid21,10175-10187,fcb,nm
8,afl-0-exid20,10175-10578,fcb,nm
9,afl-0-exid22,1018-1042,fcb,nm
10,fairfuzz-0-exid22,10187-10578,fcb,nm
11,afl-0-exid23,10193-10215,fcb,nm
12,afl-0-exid22,1021-1031,fcb,nm
13,aflfast-0-exid20,10215-10221,fcb,nm
14,aflplusplus-0-exid20,10215-10262,fcb,nm
15,afl-0-exid21,10221-10223,fcb,nm
16,afl-0-exid22,10223-10235,fcb,nm
17,aflplusplus-0-exid21,10235-10245,fcb,nm
18,afl-0-exid20,10245-10250,fcb,nm
19,afl-0-exid20,10245-10257,fcb,nm
20,afl-0-exid20,10250-10351,fcb,nm
21,afl-0-exid24,10257-10351,fcb,nm
22,afl-0-exid22,10262-10264,fcb,nm
23,afl-0-exid21,10264-10276,fcb,nm
24,aflfast-0-exid20,10276-10287,fcb,nm
25,afl-0-exid24,10287-10293,fcb,nm
26,aflfast-0-exid20,10293-10299,fcb,nm
27,afl-0-exid20,10299-10307,fcb,nm
28,afl-0-exid23,10299-10331,fcb,nm
29,aflplusplus-0-exid21,10307-10313,fcb,nm
30,afl-0-exid20,10307-10331,fcb,nm
31,afl-0-exid23,1031-1035,fcb,nm
32,aflfast-0-exid24,1031-1038,fcb,nm
33,aflfast-0-exid20,10313-10336,fcb,nm
34,afl-0-exid22,10331-10347,fcb,nm
35,afl-0-exid21,10336-10344,fcb,nm
36,aflfast-0-exid21,10344-10351,fcb,nm
37,afl-0-exid20,10347-10351,fcb,nm
38,afl-0-exid20,1035-1038,fcb,nm
39,afl-0-exid20,10351-10366,fcb,nm
40,aflplusplus-0-exid23,10351-10563,fcb,nm
41,afl-0-exid21,10366-10366,fcb,nm
42,afl-0-exid20,10366-10378,fcb,nm
43,afl-0-exid23,10378-10485,fcb,nm
44,afl-0-exid21,10385-10420,fcb,nm
45,fairfuzz-0-exid21,10400-10400,fcb,nm
46,aflplusplus-0-exid21,10400-10420,fcb,nm
47,fairfuzz-0-exid21,1042-1049,fcb,nm
48,afl-0-exid24,1042-919,fcb,nm
49,aflfast-0-exid21,10420-10478,fcb,nm
50,aflfast-0-exid21,10427-10427,fcb,nm
51,afl-0-exid21,10427-10478,fcb,nm
52,afl-0-exid22,104344-104352,fcb,nm
53,afl-0-exid20,104344-104621,fcb,nm
54,afl-0-exid20,104352-104357,fcb,nm
55,afl-0-exid20,104352-104621,fcb,nm
56,afl-0-exid20,104357-104364,fcb,nm
57,afl-0-exid21,104357-104367,fcb,nm
58,afl-0-exid23,104364-104621,fcb,nm
59,aflfast-0-exid21,104367-104384,fcb,nm
60,afl-0-exid21,104367-104618,fcb,nm
61,afl-0-exid24,104384-104391,fcb,nm
62,aflfast-0-exid24,104384-104618,fcb,nm
63,fairfuzz-0-exid21,104391-104399,fcb,nm
64,aflplusplus-0-exid24,104399-104406,fcb,nm
65,afl-0-exid21,104399-104618,fcb,nm
66,afl-0-exid21,104406-104618,fcb,nm
67,fairfuzz-0-exid24,104416-104429,fcb,nm
68,afl-0-exid21,104429-104433,fcb,nm
69,afl-0-exid21,104429-104618,fcb,nm
70,aflfast-0-exid21,104433-104441,fcb,nm
71,afl-0-exid24,104441-104445,fcb,nm
72,aflplusplus-0-exid21,104445-104612,fcb,nm
73,afl-0-exid21,104612-104399,fcb,nm
74,afl-0-exid20,104618-104621,fcb,nm
75,aflfast-0-exid21,10478-10485,fcb,nm
76,aflfast-0-exid21,10485-10500,fcb,nm
77,aflplusplus-0-exid21,1049-1060,fcb,nm
78,afl-0-exid23,10500-10504,fcb,nm
79,afl-0-exid20,10500-10527,fcb,nm
80,afl-0-exid20,10504-10504,fcb,nm
81,afl-0-exid21,10504-10514,fcb,nm
82,afl-0-exid20,10514-10527,fcb,nm
83,aflfast-0-exid22,10527-10532,fcb,nm
84,aflfast-0-exid20,10527-10563,fcb,nm
85,afl-0-exid20,10532-10538,fcb,nm
86,afl-0-exid24,10538-10538,fcb,nm
87,afl-0-exid22,10538-10548,fcb,nm
88,afl-0-exid20,10548-10589,fcb,nm
89,afl-0-exid20,10563-10162,fcb,nm
90,aflfast-0-exid22,10563-10175,fcb,nm
91,afl-0-exid22,10589-10589,fcb,nm
92,afl-0-exid21,10589-10599,fcb,nm
93,afl-0-exid20,10599-10532,fcb,nm
94,afl-0-exid22,10599-10563,fcb,nm
95,aflfast-0-exid23,1060-1084,fcb,nm
96,afl-0-exid20,10727-10748,fcb,nm
97,afl-0-exid21,10748-10762,fcb,nm
98,aflfast-0-exid21,1087-1254,fcb,nm
99,afl-0-exid23,10947-10955,fcb,nm
100,afl-0-exid20,10947-10965,fcb,nm
101,afl-0-exid21,10955-10970,fcb,nm
102,aflplusplus-0-exid23,10965-10970,fcb,nm
103,afl-0-exid22,114458-114676,fcb,nm
104,fairfuzz-0-exid24,11630-11636,fcb,nm
105,afl-0-exid21,11636-11641,fcb,nm
106,afl-0-exid20,11641-11636,fcb,nm
