,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid1,285011,285023
2,2,fairfuzz-0-exid1,22197,23148
3,3,fairfuzz-0-exid1,137264,137283
4,4,symcc-0-exid1,22180,23148
5,5,mopt-0-exid1,12762,12765
6,6,fairfuzz-0-exid1,148697,149772
7,7,symcc-0-exid1,22172,22183
8,8,mopt-0-exid1,13289,13579
10,10,symcc-0-exid1,5221,5225
11,11,mopt-0-exid1,22172,22183
13,13,symcc-0-exid1,176787,176791
15,15,fairfuzz-0-exid1,134954,135791
18,18,fairfuzz-0-exid1,24497,24521
19,19,symcc-0-exid1,137264,137283
20,20,mopt-0-exid1,137264,137283
22,22,symcc-0-exid1,22211,23148
23,23,mopt-0-exid1,134935,134954
24,24,fairfuzz-0-exid1,22183,22187
25,25,symcc-0-exid1,134954,135791
26,26,mopt-0-exid1,46370,46389
27,27,fairfuzz-0-exid1,148700,148708
28,28,symcc-0-exid1,46370,46389
29,29,fairfuzz-0-exid1,27229,27236
30,30,symcc-0-exid1,27236,27244
31,31,fairfuzz-0-exid1,27137,27142
32,32,symcc-0-exid1,27236,28134
33,33,mopt-0-exid1,177629,177878
34,34,symcc-0-exid1,26591,26596
35,35,mopt-0-exid1,27236,27244
36,36,fairfuzz-0-exid1,24497,24505
37,37,symcc-0-exid1,148700,148708
38,38,symcc-0-exid1,24497,24521
39,39,fairfuzz-0-exid1,285681,285734
40,40,symcc-0-exid1,27133,27137
41,41,fairfuzz-0-exid1,27279,27285
42,42,fairfuzz-0-exid1,149523,149772
43,43,aflplusplus-0-exid1,16817,16856
44,44,aflplusplus-0-exid1,176798,176806
45,45,mopt-0-exid1,134954,134960
46,46,aflplusplus-0-exid1,5335,5338
47,47,aflplusplus-0-exid1,27133,27137
48,48,symcc-0-exid1,134954,134960
49,49,aflplusplus-0-exid1,24559,24562
50,50,aflplusplus-0-exid1,5228,5247
51,51,mopt-0-exid1,24497,24521
53,53,symcc-0-exid1,177622,177629
54,54,aflplusplus-0-exid1,27252,27260
55,55,aflplusplus-0-exid1,27236,28134
56,56,symcc-0-exid1,22200,22211
57,57,aflplusplus-0-exid1,22197,23148
58,58,aflplusplus-0-exid1,5221,5225
59,59,aflplusplus-0-exid1,134935,134954
60,60,symcc-0-exid1,24513,24521
63,63,aflplusplus-0-exid1,149505,149516
65,65,aflplusplus-0-exid1,27244,28134
66,66,aflplusplus-0-exid1,134960,135791
68,68,fairfuzz-0-exid1,27244,28134
69,69,symcc-0-exid1,46395,47226
70,70,mopt-0-exid1,27133,27137
71,71,mopt-0-exid1,27236,28134
72,72,aflplusplus-0-exid1,24505,24521
73,73,aflplusplus-0-exid1,24497,24521
74,74,mopt-0-exid1,24505,24521
75,75,symcc-0-exid1,25973,25987
76,76,aflplusplus-0-exid1,22200,22211
77,77,symcc-0-exid1,27252,27260
78,78,symcc-0-exid1,23152,23163
80,80,symcc-0-exid1,27252,28134
81,81,fairfuzz-0-exid1,46395,47226
82,82,fairfuzz-0-exid1,27157,27162
83,83,symcc-0-exid1,24505,24521
84,84,symcc-0-exid1,137293,137305
85,85,symcc-0-exid1,46395,46400
87,87,symcc-0-exid1,26552,26557
88,88,symcc-0-exid1,19318,19322
90,90,symcc-0-exid1,10223,10235
91,91,symcc-0-exid1,139569,139582
92,92,symcc-0-exid1,26086,27068
94,94,aflplusplus-0-exid1,27252,28134
96,96,symcc-0-exid1,139549,139554
98,98,symcc-0-exid1,138686,138693
100,100,symcc-0-exid1,23152,22211
101,101,fairfuzz-0-exid1,27252,28134
102,102,symcc-0-exid1,23207,23218
103,103,fairfuzz-0-exid1,18648,18653
105,105,fairfuzz-0-exid1,24513,24521
106,106,symcc-0-exid1,177642,177646
107,107,fairfuzz-0-exid1,26039,27101
108,108,symcc-0-exid1,9153,9169
109,109,fairfuzz-0-exid1,148708,148716
110,110,symcc-0-exid1,5228,5247
111,111,fairfuzz-0-exid1,137293,137305
112,112,symcc-0-exid1,139649,139691
113,113,fairfuzz-0-exid1,448,458
115,115,fairfuzz-0-exid1,138437,138464
116,116,symcc-0-exid1,139544,139549
117,117,fairfuzz-0-exid1,26541,26552
119,119,fairfuzz-0-exid1,134960,134965
121,121,fairfuzz-0-exid1,22200,22211
122,122,symcc-0-exid1,137543,137546
123,123,fairfuzz-0-exid1,139560,139582
124,124,symcc-0-exid1,139496,139518
126,126,symcc-0-exid1,138780,138788
127,127,fairfuzz-0-exid1,138660,138667
128,128,fairfuzz-0-exid1,5242,5247
129,129,aflplusplus-0-exid1,22200,23152
130,130,fairfuzz-0-exid1,23163,22211
131,131,fairfuzz-0-exid1,27313,28129
141,141,symcc-0-exid1,148716,149497
144,144,fairfuzz-0-exid1,27316,28121
145,145,symcc-0-exid1,27316,28121
146,146,fairfuzz-0-exid1,139544,139549
148,148,fairfuzz-0-exid1,139699,139704
149,149,fairfuzz-0-exid1,143962,143968
150,150,aflplusplus-0-exid1,46395,47226
151,151,fairfuzz-0-exid1,139496,139518
152,152,aflplusplus-0-exid1,23163,22211
154,154,fairfuzz-0-exid1,139708,139712
155,155,fairfuzz-0-exid1,138788,138793
156,156,symcc-0-exid1,23207,22211
157,157,symcc-0-exid1,285596,285613
158,158,mopt-0-exid1,22187,22211
159,159,symcc-0-exid1,138703,138759
160,160,symcc-0-exid1,148734,149497
161,161,symcc-0-exid1,26534,27048
162,162,symcc-0-exid1,25990,26046
163,163,symcc-0-exid1,25990,27068
164,164,symcc-0-exid1,139691,139717
