,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid24,21107,21125
2,2,fairfuzz-0-exid24,148693,148697
3,3,fairfuzz-0-exid24,22172,22183
5,5,afl-0-exid24,12992,12995
6,6,fairfuzz-0-exid24,46370,46389
7,7,afl-0-exid24,5225,5338
9,9,afl-0-exid24,148693,148697
10,10,fairfuzz-0-exid24,26585,26591
11,11,afl-0-exid24,22197,23148
13,13,afl-0-exid24,137264,137283
14,14,fairfuzz-0-exid24,177611,177622
15,15,afl-0-exid24,46389,47226
16,16,fairfuzz-0-exid24,26083,27101
17,17,afl-0-exid24,27157,27162
20,20,afl-0-exid24,27236,28134
21,21,afl-0-exid24,46389,46395
22,22,fairfuzz-0-exid24,27137,27142
23,23,fairfuzz-0-exid24,46395,47226
24,24,afl-0-exid24,22211,23148
25,25,aflplusplus-0-exid24,284931,284940
26,26,aflplusplus-0-exid24,176806,177607
27,27,afl-0-exid24,28121,28134
28,28,aflplusplus-0-exid24,539,547
29,29,aflplusplus-0-exid24,27133,27137
30,30,aflplusplus-0-exid24,24497,24505
31,31,aflfast-0-exid24,13853,13868
32,32,aflplusplus-0-exid24,5228,5247
34,34,afl-0-exid24,22187,22211
35,35,aflplusplus-0-exid24,27345,28121
36,36,aflplusplus-0-exid24,27236,28134
37,37,aflfast-0-exid24,27101,27105
38,38,aflfast-0-exid24,27297,27313
39,39,aflfast-0-exid24,27137,27142
40,40,afl-0-exid24,27244,28134
41,41,fairfuzz-0-exid24,148708,149501
42,42,fairfuzz-0-exid24,27337,27345
43,43,aflfast-0-exid24,176798,176806
44,44,aflplusplus-0-exid24,22197,23148
45,45,aflplusplus-0-exid24,5212,5221
46,46,aflplusplus-0-exid24,137283,137305
48,48,afl-0-exid24,24497,24521
49,49,aflfast-0-exid24,148689,148693
51,51,aflfast-0-exid24,24489,24581
52,52,aflplusplus-0-exid24,134954,135791
53,53,aflfast-0-exid24,22172,22183
54,54,aflplusplus-0-exid24,46370,46389
55,55,aflfast-0-exid24,137283,137305
57,57,aflplusplus-0-exid24,27244,28134
58,58,aflfast-0-exid24,46370,46389
59,59,fairfuzz-0-exid24,24497,24521
60,60,aflplusplus-0-exid24,22187,22200
61,61,aflfast-0-exid24,24497,24521
63,63,afl-0-exid24,27137,27142
64,64,fairfuzz-0-exid24,24505,24521
65,65,aflfast-0-exid24,27236,28134
66,66,fairfuzz-0-exid24,27236,28134
67,67,aflfast-0-exid24,27316,28121
68,68,aflfast-0-exid24,22211,23148
69,69,afl-0-exid24,149516,149523
70,70,afl-0-exid24,148700,148708
71,71,aflplusplus-0-exid24,26050,26075
73,73,afl-0-exid24,24497,24505
74,74,afl-0-exid24,24541,24553
75,75,aflplusplus-0-exid24,24497,24521
76,76,aflfast-0-exid24,134954,134960
77,77,aflplusplus-0-exid24,23174,23185
78,78,fairfuzz-0-exid24,22211,23148
79,79,aflfast-0-exid24,24513,24521
80,80,afl-0-exid24,24513,24521
81,81,fairfuzz-0-exid24,27244,28134
82,82,aflplusplus-0-exid24,23152,22211
83,83,aflfast-0-exid24,26083,27101
84,84,aflfast-0-exid24,27244,28134
85,85,aflfast-0-exid24,22200,22211
86,86,aflfast-0-exid24,22200,23152
87,87,aflplusplus-0-exid24,27252,28134
88,88,aflplusplus-0-exid24,134960,135791
89,89,aflfast-0-exid24,27252,28134
90,90,aflfast-0-exid24,24505,24521
92,92,afl-0-exid24,27252,28134
93,93,afl-0-exid24,23163,23174
94,94,aflplusplus-0-exid24,23163,22211
95,95,afl-0-exid24,345,349
97,97,aflplusplus-0-exid24,177622,177629
98,98,afl-0-exid24,27316,28121
102,102,afl-0-exid24,5242,5247
103,103,fairfuzz-0-exid24,10144,10154
104,104,aflfast-0-exid24,23174,23185
105,105,afl-0-exid24,22200,22211
107,107,afl-0-exid24,23163,22211
115,115,fairfuzz-0-exid24,26046,27068
116,116,afl-0-exid24,26189,26142
117,117,afl-0-exid24,10257,10351
118,118,fairfuzz-0-exid24,13060,13559
119,119,fairfuzz-0-exid24,24513,24521
120,120,fairfuzz-0-exid24,26174,26189
121,121,fairfuzz-0-exid24,22187,22200
122,122,afl-0-exid24,137293,137305
123,123,fairfuzz-0-exid24,5228,5247
124,124,fairfuzz-0-exid24,27252,28134
125,125,fairfuzz-0-exid24,23152,22211
126,126,fairfuzz-0-exid24,23207,22211
127,127,fairfuzz-0-exid24,5279,5283
128,128,fairfuzz-0-exid24,6002,6006
129,129,afl-0-exid24,13822,13837
130,130,aflplusplus-0-exid24,22214,23148
133,133,fairfuzz-0-exid24,26226,26237
135,135,fairfuzz-0-exid24,26391,26418
136,136,fairfuzz-0-exid24,26119,27101
138,138,fairfuzz-0-exid24,26003,26034
141,141,fairfuzz-0-exid24,26102,26109
145,145,fairfuzz-0-exid24,26448,26453
149,149,fairfuzz-0-exid24,26391,26414
151,151,fairfuzz-0-exid24,26341,26360
152,152,fairfuzz-0-exid24,26267,26292
153,153,fairfuzz-0-exid24,26386,26391
157,157,fairfuzz-0-exid24,26523,26534
158,158,fairfuzz-0-exid24,26256,26237
161,161,fairfuzz-0-exid24,26341,26312
162,162,fairfuzz-0-exid24,13167,13178
163,163,afl-0-exid24,26034,26039
164,164,aflplusplus-0-exid24,24513,24521
167,167,fairfuzz-0-exid24,25990,27068
168,168,fairfuzz-0-exid24,26357,27101
171,171,fairfuzz-0-exid24,26529,26534
175,175,afl-0-exid24,26046,27068
177,177,fairfuzz-0-exid24,26391,27068
185,185,aflfast-0-exid24,10162,10563
187,187,fairfuzz-0-exid24,26128,26142
