,fuzzer,edge
51887,aflplusplus-0-exid0,100008-100019
21374,aflplusplus-0-exid1,100008-100019
60393,aflplusplus-0-exid2,100008-100019
27020,aflplusplus-0-exid3,100008-100019
32014,aflplusplus-0-exid4,100008-100019
52401,fairfuzz-0-exid0,100008-100019
55210,fairfuzz-0-exid1,100008-100019
24422,fairfuzz-0-exid2,100008-100019
58286,fairfuzz-0-exid2,100008-100019
66090,fairfuzz-0-exid4,100008-100019
18369,mopt-0-exid0,100008-100019
19279,symcc-0-exid0,100008-100019
51981,symcc-0-exid0,100008-100019
41906,symcc-0-exid2,100008-100019
61818,symcc-0-exid3,100008-100019
17313,symcc-0-exid0,100008-100036
41502,symcc-0-exid2,100008-100036
19401,aflplusplus-0-exid0,100019-100022
14123,aflplusplus-0-exid3,100019-100022
47557,aflplusplus-0-exid4,100019-100022
901,fairfuzz-0-exid0,100019-100022
34596,fairfuzz-0-exid0,100019-100022
21573,fairfuzz-0-exid1,100019-100022
37929,fairfuzz-0-exid1,100019-100022
12136,fairfuzz-0-exid3,100019-100022
867,mopt-0-exid0,100019-100022
12209,mopt-0-exid3,100019-100022
44815,mopt-0-exid3,100019-100022
47673,mopt-0-exid4,100019-100022
37934,symcc-0-exid1,100019-100022
8028,symcc-0-exid2,100019-100022
60314,symcc-0-exid2,100019-100022
14082,symcc-0-exid3,100019-100022
26709,symcc-0-exid3,100019-100022
15729,symcc-0-exid4,100019-100022
31916,symcc-0-exid4,100019-100022
47570,symcc-0-exid4,100019-100022
1194,aflplusplus-0-exid0,100022-100032
7977,aflplusplus-0-exid2,100022-100032
25040,aflplusplus-0-exid2,100022-100032
13403,aflplusplus-0-exid3,100022-100032
45012,aflplusplus-0-exid3,100022-100032
14990,aflplusplus-0-exid4,100022-100032
66277,aflplusplus-0-exid4,100022-100032
18361,fairfuzz-0-exid0,100022-100032
41892,fairfuzz-0-exid2,100022-100032
44851,fairfuzz-0-exid3,100022-100032
61529,fairfuzz-0-exid3,100022-100032
15191,fairfuzz-0-exid4,100022-100032
30446,fairfuzz-0-exid4,100022-100032
47796,fairfuzz-0-exid4,100022-100032
51872,mopt-0-exid0,100022-100032
21497,mopt-0-exid1,100022-100032
8224,mopt-0-exid2,100022-100032
42162,mopt-0-exid2,100022-100032
58334,mopt-0-exid2,100022-100032
26810,mopt-0-exid3,100022-100032
15022,mopt-0-exid4,100022-100032
31055,mopt-0-exid4,100022-100032
66187,mopt-0-exid4,100022-100032
36904,symcc-0-exid0,100022-100032
21380,symcc-0-exid1,100022-100032
55006,symcc-0-exid1,100022-100032
24239,symcc-0-exid2,100022-100032
13425,symcc-0-exid3,100022-100032
44431,symcc-0-exid3,100022-100032
69374,symcc-0-exid4,100022-100032
