,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid1,129601,129605
2,2,fairfuzz-0-exid1,253811,254886
3,3,fairfuzz-0-exid1,129605,129697
4,4,mopt-0-exid1,300696,300704
5,5,fairfuzz-0-exid1,127299,127313
6,6,mopt-0-exid1,241764,241781
8,8,mopt-0-exid1,253807,253811
9,9,fairfuzz-0-exid1,242397,242419
10,10,mopt-0-exid1,129605,129697
11,11,fairfuzz-0-exid1,153200,153217
12,12,mopt-0-exid1,153200,153217
14,14,symcc-0-exid1,115902,115966
16,16,fairfuzz-0-exid1,282743,282992
17,17,symcc-0-exid1,253811,254886
18,18,fairfuzz-0-exid1,132249,132253
19,19,symcc-0-exid1,127288,127299
20,20,fairfuzz-0-exid1,129613,129637
22,22,symcc-0-exid1,241781,242351
23,23,fairfuzz-0-exid1,127299,127303
25,25,fairfuzz-0-exid1,129613,129621
27,27,mopt-0-exid1,282736,282743
28,28,symcc-0-exid1,127327,128264
29,29,symcc-0-exid1,127303,127327
30,30,symcc-0-exid1,131174,131199
32,32,symcc-0-exid1,254619,254630
33,33,fairfuzz-0-exid1,127303,127316
34,34,symcc-0-exid1,132217,132221
35,35,symcc-0-exid1,129613,129637
36,36,mopt-0-exid1,127327,128264
37,37,fairfuzz-0-exid1,132352,133250
38,38,symcc-0-exid1,129621,129637
39,39,symcc-0-exid1,132345,132352
40,40,aflplusplus-0-exid1,253774,253803
41,41,symcc-0-exid1,132253,132258
42,42,aflplusplus-0-exid1,110498,110511
43,43,aflplusplus-0-exid1,253814,253822
44,44,fairfuzz-0-exid1,132360,132368
45,45,aflplusplus-0-exid1,132382,132395
46,46,fairfuzz-0-exid1,129621,129629
47,47,aflplusplus-0-exid1,132253,132258
48,48,aflplusplus-0-exid1,110479,110498
49,49,aflplusplus-0-exid1,131673,131696
51,51,aflplusplus-0-exid1,153200,153217
52,52,mopt-0-exid1,132352,133250
53,53,aflplusplus-0-exid1,253811,254886
54,54,aflplusplus-0-exid1,129605,129697
56,56,aflplusplus-0-exid1,129613,129637
57,57,fairfuzz-0-exid1,131673,131696
58,58,symcc-0-exid1,241781,241787
59,59,aflplusplus-0-exid1,282736,282743
60,60,fairfuzz-0-exid1,128268,128279
61,61,aflplusplus-0-exid1,240074,240905
62,62,aflplusplus-0-exid1,132352,133250
63,63,aflplusplus-0-exid1,132368,133250
64,64,symcc-0-exid1,132401,132413
65,65,symcc-0-exid1,127316,127327
67,67,symcc-0-exid1,132360,133250
