,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid23,123640,123648
2,2,fairfuzz-0-exid23,110476,110589
3,3,afl-0-exid23,119277,119299
4,4,fairfuzz-0-exid23,1067,1099
5,5,afl-0-exid23,1067,1099
6,6,fairfuzz-0-exid23,127313,128264
7,7,afl-0-exid23,127313,128264
8,8,fairfuzz-0-exid23,242378,242397
9,9,afl-0-exid23,132345,132352
10,10,fairfuzz-0-exid23,241781,242351
15,15,afl-0-exid23,242397,242419
16,16,fairfuzz-0-exid23,127299,127303
17,17,afl-0-exid23,241781,242351
18,18,fairfuzz-0-exid23,129613,129637
20,20,afl-0-exid23,132249,132253
21,21,fairfuzz-0-exid23,132249,132253
22,22,aflplusplus-0-exid23,132249,132258
23,23,afl-0-exid23,282725,282736
24,24,aflplusplus-0-exid23,391952,391952
25,25,aflplusplus-0-exid23,281912,281920
26,26,aflplusplus-0-exid23,1063,1067
27,27,afl-0-exid23,129621,129629
28,28,aflplusplus-0-exid23,132253,132258
29,29,aflplusplus-0-exid23,110479,110498
30,30,afl-0-exid23,253814,253822
31,31,aflplusplus-0-exid23,300813,300892
32,32,aflfast-0-exid23,114415,114456
34,34,fairfuzz-0-exid23,132352,133250
35,35,fairfuzz-0-exid23,282743,282992
36,36,aflfast-0-exid23,129640,129652
37,37,afl-0-exid23,132453,132461
38,38,aflfast-0-exid23,132446,132453
39,39,aflfast-0-exid23,132249,132253
40,40,fairfuzz-0-exid23,131657,131673
41,41,aflplusplus-0-exid23,110463,110472
42,42,aflplusplus-0-exid23,242378,242397
43,43,aflplusplus-0-exid23,281901,281905
44,44,aflfast-0-exid23,281920,282721
46,46,afl-0-exid23,117888,117914
47,47,aflplusplus-0-exid23,153217,153787
48,48,aflplusplus-0-exid23,127327,128264
49,49,aflfast-0-exid23,253807,253811
50,50,aflfast-0-exid23,127313,128264
51,51,aflplusplus-0-exid23,132368,133250
54,54,aflfast-0-exid23,242397,242419
55,55,afl-0-exid23,127299,127303
56,56,aflfast-0-exid23,131166,131174
57,57,aflfast-0-exid23,129613,129637
58,58,aflfast-0-exid23,241781,242351
59,59,aflplusplus-0-exid23,132352,133250
60,60,aflfast-0-exid23,151505,152342
61,61,aflplusplus-0-exid23,153217,153223
62,62,aflfast-0-exid23,132352,133250
63,63,aflplusplus-0-exid23,129621,129637
64,64,afl-0-exid23,132360,133250
65,65,fairfuzz-0-exid23,115488,115500
66,66,aflplusplus-0-exid23,129613,129637
67,67,aflplusplus-0-exid23,254619,254630
68,68,aflfast-0-exid23,129629,129637
69,69,afl-0-exid23,129613,129637
70,70,afl-0-exid23,153217,153223
71,71,aflplusplus-0-exid23,129629,129637
72,72,aflplusplus-0-exid23,132360,133250
73,73,aflfast-0-exid23,254619,254630
74,74,aflplusplus-0-exid23,132253,132261
75,75,fairfuzz-0-exid23,132352,132360
76,76,aflfast-0-exid23,127303,127316
77,77,fairfuzz-0-exid23,240074,240905
78,78,fairfuzz-0-exid23,151511,152342
79,79,fairfuzz-0-exid23,129621,129637
80,80,fairfuzz-0-exid23,132368,133250
81,81,afl-0-exid23,129621,129637
82,82,fairfuzz-0-exid23,131191,131166
83,83,aflfast-0-exid23,129621,129637
84,84,aflfast-0-exid23,132368,133250
85,85,afl-0-exid23,132368,133250
86,86,afl-0-exid23,132432,133237
87,87,afl-0-exid23,980,996
88,88,afl-0-exid23,132253,132261
89,89,afl-0-exid23,127303,127316
90,90,afl-0-exid23,253830,253837
91,91,afl-0-exid23,110479,110498
93,93,aflplusplus-0-exid23,132432,133237
