,fuzzer,edge,fuzzer_combination,benchmark
0,aflfast-0-exid20,100397-100406,fcb,openssl
1,aflplusplus-0-exid23,101607-101617,fcb,openssl
2,fairfuzz-0-exid20,101622-101640,fcb,openssl
3,afl-0-exid21,101758-101788,fcb,openssl
4,aflfast-0-exid20,101788-101841,fcb,openssl
5,afl-0-exid20,101910-101940,fcb,openssl
6,afl-0-exid24,101940-101993,fcb,openssl
7,aflfast-0-exid20,102062-102092,fcb,openssl
8,aflfast-0-exid21,102092-102135,fcb,openssl
9,afl-0-exid23,102236-102298,fcb,openssl
10,afl-0-exid20,102368-102398,fcb,openssl
11,aflfast-0-exid20,102368-102404,fcb,openssl
12,aflplusplus-0-exid23,102398-102441,fcb,openssl
13,aflfast-0-exid21,102437-102441,fcb,openssl
14,aflfast-0-exid21,102511-102541,fcb,openssl
15,aflfast-0-exid20,102541-102594,fcb,openssl
16,fairfuzz-0-exid23,102552-102560,fcb,openssl
17,afl-0-exid22,102664-102694,fcb,openssl
18,aflfast-0-exid20,102694-102747,fcb,openssl
19,aflplusplus-0-exid23,102817-102847,fcb,openssl
20,fairfuzz-0-exid21,102853-102868,fcb,openssl
21,aflfast-0-exid20,10884-10907,fcb,openssl
22,aflfast-0-exid20,10907-10920,fcb,openssl
23,aflplusplus-0-exid24,111509-111569,fcb,openssl
24,fairfuzz-0-exid22,113061-113171,fcb,openssl
25,aflfast-0-exid23,11346-11377,fcb,openssl
26,fairfuzz-0-exid21,11472-11476,fcb,openssl
27,afl-0-exid23,11476-11501,fcb,openssl
28,aflplusplus-0-exid20,11522-11527,fcb,openssl
29,fairfuzz-0-exid24,12869-12879,fcb,openssl
30,afl-0-exid20,14066-14092,fcb,openssl
31,afl-0-exid21,14078-14092,fcb,openssl
32,aflfast-0-exid21,14092-14095,fcb,openssl
33,aflfast-0-exid24,14147-14167,fcb,openssl
34,afl-0-exid21,14712-14745,fcb,openssl
35,fairfuzz-0-exid24,165194-165204,fcb,openssl
36,fairfuzz-0-exid21,16692-16698,fcb,openssl
37,afl-0-exid20,168539-168548,fcb,openssl
38,fairfuzz-0-exid23,168548-168685,fcb,openssl
39,afl-0-exid23,1686-1696,fcb,openssl
40,aflplusplus-0-exid21,168685-168736,fcb,openssl
41,aflplusplus-0-exid20,170079-170111,fcb,openssl
42,aflplusplus-0-exid24,172134-172148,fcb,openssl
43,fairfuzz-0-exid22,17954-18010,fcb,openssl
44,afl-0-exid20,186356-186384,fcb,openssl
45,afl-0-exid20,186391-186423,fcb,openssl
46,afl-0-exid20,186545-186560,fcb,openssl
47,fairfuzz-0-exid23,186647-186650,fcb,openssl
48,aflfast-0-exid21,18669-18673,fcb,openssl
49,aflfast-0-exid20,18673-18694,fcb,openssl
50,afl-0-exid21,187474-187511,fcb,openssl
51,fairfuzz-0-exid20,187527-187538,fcb,openssl
52,afl-0-exid20,187621-187640,fcb,openssl
53,fairfuzz-0-exid24,187642-187658,fcb,openssl
54,fairfuzz-0-exid22,187691-187695,fcb,openssl
55,aflfast-0-exid20,187695-187710,fcb,openssl
56,fairfuzz-0-exid24,187710-187714,fcb,openssl
57,afl-0-exid22,187714-187729,fcb,openssl
58,afl-0-exid20,187729-187732,fcb,openssl
59,aflfast-0-exid20,187864-187869,fcb,openssl
60,aflfast-0-exid20,187869-188087,fcb,openssl
61,afl-0-exid22,187879-187919,fcb,openssl
62,fairfuzz-0-exid20,187886-187904,fcb,openssl
63,afl-0-exid21,187919-187930,fcb,openssl
64,aflfast-0-exid20,187930-187939,fcb,openssl
65,afl-0-exid22,187963-187969,fcb,openssl
66,afl-0-exid20,187969-187982,fcb,openssl
67,afl-0-exid20,187982-187988,fcb,openssl
68,afl-0-exid24,187988-187990,fcb,openssl
69,afl-0-exid22,188077-188087,fcb,openssl
70,aflplusplus-0-exid23,188093-188147,fcb,openssl
71,afl-0-exid21,188147-188160,fcb,openssl
72,aflfast-0-exid21,188197-188203,fcb,openssl
73,afl-0-exid21,188197-188221,fcb,openssl
74,aflfast-0-exid21,188203-188219,fcb,openssl
75,aflplusplus-0-exid24,188219-188221,fcb,openssl
76,fairfuzz-0-exid22,188248-188272,fcb,openssl
77,afl-0-exid23,188296-188320,fcb,openssl
78,aflplusplus-0-exid23,188391-188405,fcb,openssl
79,afl-0-exid22,188511-188549,fcb,openssl
80,fairfuzz-0-exid22,188549-188559,fcb,openssl
81,afl-0-exid23,188642-188652,fcb,openssl
82,aflfast-0-exid24,188696-188712,fcb,openssl
83,afl-0-exid20,188723-188728,fcb,openssl
84,aflplusplus-0-exid23,188747-188749,fcb,openssl
85,aflfast-0-exid23,188749-188775,fcb,openssl
86,aflfast-0-exid22,188775-188780,fcb,openssl
87,aflplusplus-0-exid21,188801-188806,fcb,openssl
88,aflfast-0-exid22,188827-188834,fcb,openssl
89,fairfuzz-0-exid20,188827-188843,fcb,openssl
90,aflfast-0-exid20,188834-188917,fcb,openssl
91,aflplusplus-0-exid22,188876-188880,fcb,openssl
