,discovery_id,fuzzer,block_source,block_target
1,1,mopt-0-exid3,34878,34891
2,2,mopt-0-exid3,436631,436643
3,3,mopt-0-exid3,296421,296442
4,4,mopt-0-exid3,491899,491908
5,5,mopt-0-exid3,52521,52529
6,6,mopt-0-exid3,355403,355416
7,7,mopt-0-exid3,316011,316071
8,8,symcc-0-exid3,16829,16845
9,9,mopt-0-exid3,318103,318107
10,10,symcc-0-exid3,349256,349263
11,11,mopt-0-exid3,53484,53486
12,12,fairfuzz-0-exid3,23584,23589
13,13,symcc-0-exid3,786229,786256
14,14,mopt-0-exid3,800113,800117
15,15,fairfuzz-0-exid3,39287,39300
16,16,symcc-0-exid3,320754,320768
17,17,mopt-0-exid3,322023,322049
18,18,fairfuzz-0-exid3,786229,786233
19,19,symcc-0-exid3,394739,394746
20,20,mopt-0-exid3,218933,218980
21,21,fairfuzz-0-exid3,322502,322518
22,22,symcc-0-exid3,316839,316920
23,23,mopt-0-exid3,889158,889174
24,24,fairfuzz-0-exid3,390651,390658
25,25,symcc-0-exid3,800402,800469
26,26,mopt-0-exid3,800458,800469
27,27,fairfuzz-0-exid3,800027,800035
28,28,symcc-0-exid3,322023,322049
29,29,mopt-0-exid3,317949,317965
30,30,fairfuzz-0-exid3,322023,322049
31,31,symcc-0-exid3,303209,303227
32,32,mopt-0-exid3,310904,310926
33,33,fairfuzz-0-exid3,91954,91971
34,34,symcc-0-exid3,52238,52240
35,35,mopt-0-exid3,813545,813550
36,36,fairfuzz-0-exid3,52238,52240
37,37,symcc-0-exid3,620025,620034
39,39,fairfuzz-0-exid3,433608,433627
40,40,symcc-0-exid3,818326,818328
41,41,mopt-0-exid3,897153,897159
42,42,fairfuzz-0-exid3,818426,818428
43,43,symcc-0-exid3,318854,318880
45,45,fairfuzz-0-exid3,318101,318103
46,46,symcc-0-exid3,316044,316048
47,47,mopt-0-exid3,318496,318506
48,48,fairfuzz-0-exid3,319285,319354
49,49,symcc-0-exid3,318222,318235
50,50,mopt-0-exid3,317990,317996
51,51,fairfuzz-0-exid3,889208,889228
52,52,symcc-0-exid3,316011,316071
53,53,mopt-0-exid3,304574,304701
54,54,aflplusplus-0-exid3,322541,322550
55,55,fairfuzz-0-exid3,319076,319091
56,56,symcc-0-exid3,307252,307362
57,57,mopt-0-exid3,799916,799933
58,58,aflplusplus-0-exid3,354188,354194
59,59,fairfuzz-0-exid3,352840,352911
60,60,symcc-0-exid3,352840,352911
61,61,aflplusplus-0-exid3,846105,846132
62,62,mopt-0-exid3,318386,318606
64,64,symcc-0-exid3,425932,425960
65,65,mopt-0-exid3,186387,186391
66,66,aflplusplus-0-exid3,306853,306873
67,67,fairfuzz-0-exid3,317753,317765
69,69,mopt-0-exid3,477428,477444
70,70,aflplusplus-0-exid3,796830,796856
71,71,fairfuzz-0-exid3,839354,839370
72,72,symcc-0-exid3,317996,317917
73,73,mopt-0-exid3,327597,327636
74,74,aflplusplus-0-exid3,619226,619242
75,75,fairfuzz-0-exid3,317944,317917
76,76,symcc-0-exid3,839344,839348
77,77,mopt-0-exid3,307153,307252
78,78,aflplusplus-0-exid3,425859,425872
79,79,fairfuzz-0-exid3,879630,879658
80,80,symcc-0-exid3,477469,477484
81,81,mopt-0-exid3,898794,898818
82,82,aflplusplus-0-exid3,452130,452137
83,83,fairfuzz-0-exid3,310866,310888
84,84,symcc-0-exid3,341012,341018
85,85,mopt-0-exid3,98223,98279
86,86,aflplusplus-0-exid3,826454,826462
88,88,symcc-0-exid3,317944,317917
90,90,aflplusplus-0-exid3,362496,362503
91,91,fairfuzz-0-exid3,799891,799938
92,92,symcc-0-exid3,304717,304807
93,93,mopt-0-exid3,38553,38560
94,94,aflplusplus-0-exid3,831560,831574
95,95,fairfuzz-0-exid3,315812,315821
96,96,symcc-0-exid3,310859,310904
98,98,aflplusplus-0-exid3,476445,476461
99,99,fairfuzz-0-exid3,307252,307362
101,101,mopt-0-exid3,477600,477670
102,102,aflplusplus-0-exid3,831778,831787
103,103,fairfuzz-0-exid3,563495,563528
106,106,aflplusplus-0-exid3,361858,361874
107,107,fairfuzz-0-exid3,425932,425960
108,108,symcc-0-exid3,297169,297180
109,109,mopt-0-exid3,318172,318189
110,110,aflplusplus-0-exid3,457766,457786
111,111,fairfuzz-0-exid3,323614,323695
112,112,symcc-0-exid3,315834,316658
113,113,mopt-0-exid3,310171,310188
114,114,aflplusplus-0-exid3,294154,294188
115,115,fairfuzz-0-exid3,318172,318189
116,116,symcc-0-exid3,499131,499217
117,117,mopt-0-exid3,304566,305092
118,118,aflplusplus-0-exid3,241954,241979
119,119,fairfuzz-0-exid3,442671,442678
121,121,mopt-0-exid3,14147,14167
122,122,aflplusplus-0-exid3,897791,897804
123,123,fairfuzz-0-exid3,499640,499658
124,124,symcc-0-exid3,38508,38521
125,125,mopt-0-exid3,317171,317175
126,126,aflplusplus-0-exid3,786207,786281
127,127,fairfuzz-0-exid3,52208,52210
129,129,mopt-0-exid3,304994,305010
130,130,aflplusplus-0-exid3,307249,307367
131,131,fairfuzz-0-exid3,318010,318025
132,132,symcc-0-exid3,477600,477670
133,133,mopt-0-exid3,798905,798912
134,134,aflplusplus-0-exid3,302991,303007
136,136,symcc-0-exid3,318107,318117
137,137,mopt-0-exid3,46614,46625
138,138,aflplusplus-0-exid3,822724,822737
139,139,fairfuzz-0-exid3,391544,391558
