,discovery_id,fuzzer,block_source,block_target
1,1,afl-0-exid22,294054,294061
2,2,fairfuzz-0-exid22,31428,31443
3,3,afl-0-exid22,800555,800564
4,4,fairfuzz-0-exid22,352662,352666
5,5,afl-0-exid22,329274,329309
6,6,fairfuzz-0-exid22,800555,800564
7,7,afl-0-exid22,318101,318103
8,8,fairfuzz-0-exid22,496207,496222
9,9,afl-0-exid22,318386,318524
10,10,fairfuzz-0-exid22,316876,316892
11,11,afl-0-exid22,296421,296442
12,12,fairfuzz-0-exid22,394850,394878
13,13,afl-0-exid22,818298,818300
14,14,fairfuzz-0-exid22,53457,53471
15,15,afl-0-exid22,316086,316687
16,16,fairfuzz-0-exid22,318103,318107
17,17,afl-0-exid22,349335,349337
18,18,fairfuzz-0-exid22,316100,316123
19,19,afl-0-exid22,310866,310888
20,20,fairfuzz-0-exid22,315821,315834
21,21,afl-0-exid22,425822,425842
22,22,fairfuzz-0-exid22,850719,850732
23,23,afl-0-exid22,355263,355434
24,24,fairfuzz-0-exid22,316086,316687
25,25,afl-0-exid22,62633,62659
26,26,fairfuzz-0-exid22,310856,310859
27,27,afl-0-exid22,310931,310951
28,28,fairfuzz-0-exid22,425960,426271
29,29,afl-0-exid22,317324,317344
30,30,fairfuzz-0-exid22,304641,304661
31,31,afl-0-exid22,318172,318183
32,32,fairfuzz-0-exid22,53360,53369
33,33,afl-0-exid22,218929,218933
34,34,fairfuzz-0-exid22,897791,897804
35,35,afl-0-exid22,624709,624785
36,36,fairfuzz-0-exid22,799769,799792
37,37,afl-0-exid22,695048,695062
38,38,fairfuzz-0-exid22,304566,305092
39,39,afl-0-exid22,884022,884031
40,40,fairfuzz-0-exid22,301242,301264
41,41,afl-0-exid22,897253,897269
42,42,fairfuzz-0-exid22,555168,555177
43,43,afl-0-exid22,321985,322023
44,44,fairfuzz-0-exid22,317914,317917
45,45,afl-0-exid22,319245,319354
46,46,fairfuzz-0-exid22,477600,477670
47,47,aflplusplus-0-exid22,490636,490665
48,48,afl-0-exid22,839354,839415
49,49,fairfuzz-0-exid22,317965,317969
50,50,aflplusplus-0-exid22,448094,448105
51,51,afl-0-exid22,799916,799933
52,52,fairfuzz-0-exid22,318156,318172
53,53,aflplusplus-0-exid22,676790,676801
54,54,afl-0-exid22,888827,888853
55,55,fairfuzz-0-exid22,500915,500922
56,56,aflplusplus-0-exid22,817922,817924
57,57,afl-0-exid22,53471,53477
58,58,fairfuzz-0-exid22,774246,774263
59,59,afl-0-exid22,307153,307252
60,60,aflplusplus-0-exid22,318426,318441
61,61,fairfuzz-0-exid22,889208,889228
62,62,afl-0-exid22,895936,895941
63,63,aflplusplus-0-exid22,797774,797800
64,64,fairfuzz-0-exid22,323803,323816
65,65,afl-0-exid22,318543,318548
66,66,aflplusplus-0-exid22,496799,496827
67,67,aflfast-0-exid22,852917,852952
68,68,fairfuzz-0-exid22,98672,98679
69,69,afl-0-exid22,304828,304840
70,70,aflplusplus-0-exid22,311190,311214
71,71,fairfuzz-0-exid22,352831,352840
72,72,afl-0-exid22,880060,880068
73,73,aflplusplus-0-exid22,831255,831260
74,74,aflfast-0-exid22,318212,318103
76,76,afl-0-exid22,317874,317914
77,77,aflplusplus-0-exid22,831703,831717
78,78,aflfast-0-exid22,843532,843562
79,79,fairfuzz-0-exid22,886333,886344
80,80,afl-0-exid22,318798,318806
81,81,aflplusplus-0-exid22,831787,831796
82,82,aflfast-0-exid22,619248,619253
83,83,fairfuzz-0-exid22,391514,391544
84,84,afl-0-exid22,477600,477670
86,86,aflfast-0-exid22,425764,425811
87,87,fairfuzz-0-exid22,892792,892799
88,88,afl-0-exid22,317985,317996
89,89,aflplusplus-0-exid22,301264,301280
90,90,aflfast-0-exid22,319167,319241
92,92,afl-0-exid22,635057,635077
93,93,aflfast-0-exid22,426448,426454
94,94,aflplusplus-0-exid22,477600,477670
95,95,fairfuzz-0-exid22,311137,311140
97,97,aflfast-0-exid22,826677,826702
98,98,aflplusplus-0-exid22,426366,426378
100,100,afl-0-exid22,318606,318611
101,101,aflfast-0-exid22,476411,476434
102,102,aflplusplus-0-exid22,296325,296348
103,103,fairfuzz-0-exid22,320935,321120
104,104,afl-0-exid22,70970,70981
105,105,aflfast-0-exid22,53488,53516
106,106,aflplusplus-0-exid22,316079,316095
107,107,fairfuzz-0-exid22,879838,879873
108,108,afl-0-exid22,847192,847200
109,109,aflfast-0-exid22,798892,798905
110,110,aflplusplus-0-exid22,893302,893316
111,111,fairfuzz-0-exid22,362503,362507
112,112,afl-0-exid22,323614,323695
113,113,aflfast-0-exid22,831560,831574
114,114,aflplusplus-0-exid22,391514,391561
116,116,afl-0-exid22,774328,774336
117,117,aflfast-0-exid22,477583,477598
118,118,aflplusplus-0-exid22,813550,813558
119,119,fairfuzz-0-exid22,897953,897969
120,120,afl-0-exid22,889158,889174
121,121,aflfast-0-exid22,831623,831634
122,122,aflplusplus-0-exid22,577848,577863
123,123,fairfuzz-0-exid22,799690,799698
124,124,afl-0-exid22,318496,318506
125,125,aflfast-0-exid22,98558,98541
126,126,aflplusplus-0-exid22,98594,98576
127,127,fairfuzz-0-exid22,305066,305090
128,128,afl-0-exid22,777135,777152
130,130,aflplusplus-0-exid22,800452,800503
132,132,afl-0-exid22,98664,98672
133,133,aflfast-0-exid22,307365,307367
134,134,aflplusplus-0-exid22,309360,309375
135,135,fairfuzz-0-exid22,99513,99524
136,136,afl-0-exid22,813550,813558
137,137,aflfast-0-exid22,786229,786256
138,138,aflplusplus-0-exid22,7914,7876
141,141,aflfast-0-exid22,843639,843655
142,142,aflplusplus-0-exid22,302966,302983
143,143,fairfuzz-0-exid22,898106,898119
144,144,afl-0-exid22,292949,292964
145,145,aflfast-0-exid22,311186,311190
146,146,aflplusplus-0-exid22,483789,483839
