,discovery_id,fuzzer,block_source,block_target
1,1,mopt-0-exid0,2659,2686
2,2,mopt-0-exid0,3814,3915
3,3,mopt-0-exid0,3060,3104
4,4,mopt-0-exid0,3897,3903
5,5,fairfuzz-0-exid0,3091,3098
6,6,mopt-0-exid0,13286,13408
7,7,fairfuzz-0-exid0,3056,3060
8,8,mopt-0-exid0,465,471
9,9,fairfuzz-0-exid0,3814,3915
10,10,symcc-0-exid0,66430,66226
11,11,fairfuzz-0-exid0,471,536
12,12,symcc-0-exid0,3060,3104
13,13,fairfuzz-0-exid0,461,465
14,14,symcc-0-exid0,3733,3745
15,15,symcc-0-exid0,13308,13408
17,17,fairfuzz-0-exid0,64579,64587
19,19,mopt-0-exid0,13446,13453
20,20,fairfuzz-0-exid0,13269,13408
21,21,mopt-0-exid0,13269,13408
22,22,fairfuzz-0-exid0,3817,3886
23,23,symcc-0-exid0,3733,3817
24,24,fairfuzz-0-exid0,3889,3903
25,25,aflplusplus-0-exid0,2954,2973
26,26,symcc-0-exid0,13286,13408
27,27,aflplusplus-0-exid0,3511,3523
28,28,fairfuzz-0-exid0,3824,3889
29,29,symcc-0-exid0,13269,13408
30,30,aflplusplus-0-exid0,3079,3098
32,32,aflplusplus-0-exid0,3056,3060
33,33,aflplusplus-0-exid0,3745,3814
34,34,aflplusplus-0-exid0,3897,3903
35,35,symcc-0-exid0,64587,64760
37,37,symcc-0-exid0,3889,3903
39,39,aflplusplus-0-exid0,3889,3903
41,41,aflplusplus-0-exid0,3733,3817
42,42,aflplusplus-0-exid0,13269,13408
43,43,aflplusplus-0-exid0,13282,13286
45,45,symcc-0-exid0,465,471
46,46,symcc-0-exid0,13431,13553
47,47,symcc-0-exid0,64529,64573
48,48,symcc-0-exid0,65387,65396
49,49,aflplusplus-0-exid0,3886,3915
50,50,symcc-0-exid0,3075,3079
52,52,symcc-0-exid0,3297,3657
53,53,symcc-0-exid0,64996,65005
55,55,fairfuzz-0-exid0,13282,13286
56,56,mopt-0-exid0,3889,3903
57,57,fairfuzz-0-exid0,65378,65387
59,59,fairfuzz-0-exid0,64579,64716
61,61,fairfuzz-0-exid0,64996,65001
62,62,fairfuzz-0-exid0,13431,13553
63,63,fairfuzz-0-exid0,64996,65005
68,68,symcc-0-exid0,13414,13553
69,69,fairfuzz-0-exid0,13414,13553
70,70,symcc-0-exid0,13308,13315
71,71,symcc-0-exid0,3563,3577
77,77,mopt-0-exid0,64529,64573
79,79,fairfuzz-0-exid0,3523,3529
80,80,fairfuzz-0-exid0,13308,13315
81,81,fairfuzz-0-exid0,3903,3919
85,85,symcc-0-exid0,3919,3923
86,86,symcc-0-exid0,13172,13181
89,89,mopt-0-exid0,3817,3886
90,90,symcc-0-exid0,4350,4354
91,91,symcc-0-exid0,4250,4260
94,94,symcc-0-exid0,13595,13609
95,95,symcc-0-exid0,17059,17260
96,96,symcc-0-exid0,13652,13655
97,97,symcc-0-exid0,13575,13578
98,98,symcc-0-exid0,4080,4091
100,100,symcc-0-exid0,4123,4125
101,101,symcc-0-exid0,17065,17069
102,102,symcc-0-exid0,13632,13635
103,103,symcc-0-exid0,13704,13974
105,105,symcc-0-exid0,4091,4098
106,106,symcc-0-exid0,6210,6214
108,108,symcc-0-exid0,13652,13658
109,109,symcc-0-exid0,15844,15848
110,110,symcc-0-exid0,13852,13974
112,112,symcc-0-exid0,4101,4113
113,113,symcc-0-exid0,4091,4104
115,115,symcc-0-exid0,4329,4333
116,116,symcc-0-exid0,14587,14595
118,118,symcc-0-exid0,15826,15835
125,125,symcc-0-exid0,3987,4091
126,126,fairfuzz-0-exid0,13062,13126
127,127,fairfuzz-0-exid0,13305,13308
128,128,fairfuzz-0-exid0,13575,13595
130,130,fairfuzz-0-exid0,4080,4091
131,131,fairfuzz-0-exid0,13652,13852
133,133,fairfuzz-0-exid0,17065,17069
134,134,symcc-0-exid0,13626,13647
135,135,fairfuzz-0-exid0,4329,4333
137,137,fairfuzz-0-exid0,13632,13635
138,138,symcc-0-exid0,13794,13974
139,139,fairfuzz-0-exid0,15857,15862
140,140,fairfuzz-0-exid0,4113,4123
141,141,symcc-0-exid0,4113,4125
142,142,fairfuzz-0-exid0,13704,13974
143,143,symcc-0-exid0,13652,13660
144,144,fairfuzz-0-exid0,3987,4091
146,146,fairfuzz-0-exid0,13988,14522
147,147,symcc-0-exid0,14723,16221
148,148,fairfuzz-0-exid0,4091,4101
149,149,fairfuzz-0-exid0,13288,13408
150,150,fairfuzz-0-exid0,4091,4104
152,152,fairfuzz-0-exid0,13652,13658
153,153,symcc-0-exid0,13902,13974
159,159,fairfuzz-0-exid0,13614,13620
160,160,fairfuzz-0-exid0,13652,13660
161,161,fairfuzz-0-exid0,13652,13808
162,162,aflplusplus-0-exid0,64610,64760
163,163,fairfuzz-0-exid0,13614,13623
164,164,fairfuzz-0-exid0,4113,4125
165,165,fairfuzz-0-exid0,6218,6222
167,167,fairfuzz-0-exid0,13652,13786
169,169,fairfuzz-0-exid0,13599,13575
170,170,symcc-0-exid0,13614,13620
171,171,fairfuzz-0-exid0,13736,13974
172,172,fairfuzz-0-exid0,13726,13974
173,173,fairfuzz-0-exid0,13626,13647
174,174,fairfuzz-0-exid0,13652,13768
175,175,symcc-0-exid0,13652,13746
176,176,fairfuzz-0-exid0,13794,13974
