,discovery_id,fuzzer,block_source,block_target
1,1,afl-0-exid20,66212,66222
2,2,afl-0-exid20,3060,3104
3,3,afl-0-exid20,3733,3745
4,4,afl-0-exid20,64400,64573
6,6,fairfuzz-0-exid20,3047,3056
7,7,afl-0-exid20,465,471
8,8,fairfuzz-0-exid20,3056,3060
9,9,afl-0-exid20,3733,3817
10,10,fairfuzz-0-exid20,3733,3745
11,11,fairfuzz-0-exid20,64400,64573
12,12,fairfuzz-0-exid20,3889,3903
13,13,fairfuzz-0-exid20,3817,3886
14,14,fairfuzz-0-exid20,13269,13408
15,15,afl-0-exid20,13269,13408
16,16,aflplusplus-0-exid20,3104,3115
17,17,aflplusplus-0-exid20,64996,65092
18,18,aflplusplus-0-exid20,3079,3098
19,19,fairfuzz-0-exid20,13286,13408
20,20,afl-0-exid20,13286,13408
21,21,afl-0-exid20,3889,3903
23,23,aflfast-0-exid20,2973,2983
24,24,aflplusplus-0-exid20,3733,3745
26,26,aflplusplus-0-exid20,13269,13282
27,27,aflplusplus-0-exid20,3060,3104
29,29,aflplusplus-0-exid20,13286,13408
30,30,fairfuzz-0-exid20,64610,64760
31,31,aflfast-0-exid20,3733,3745
32,32,aflplusplus-0-exid20,13269,13408
33,33,aflfast-0-exid20,3971,4311
35,35,aflfast-0-exid20,3060,3104
36,36,aflfast-0-exid20,13286,13408
39,39,aflplusplus-0-exid20,64610,64760
40,40,aflfast-0-exid20,3889,3903
42,42,afl-0-exid20,64587,64760
43,43,aflplusplus-0-exid20,3886,3915
44,44,fairfuzz-0-exid20,465,471
45,45,afl-0-exid20,3079,3098
46,46,afl-0-exid20,3065,3071
47,47,aflfast-0-exid20,13269,13408
50,50,fairfuzz-0-exid20,13453,13553
51,51,fairfuzz-0-exid20,65387,65396
52,52,fairfuzz-0-exid20,3071,3098
53,53,fairfuzz-0-exid20,3297,3657
54,54,fairfuzz-0-exid20,3523,3534
55,55,afl-0-exid20,13427,13437
56,56,afl-0-exid20,13414,13553
57,57,afl-0-exid20,64579,64716
58,58,afl-0-exid20,13431,13553
61,61,fairfuzz-0-exid20,13414,13553
62,62,afl-0-exid20,65001,65092
63,63,fairfuzz-0-exid20,64579,64716
64,64,afl-0-exid20,65029,65092
65,65,fairfuzz-0-exid20,13431,13553
67,67,fairfuzz-0-exid20,13315,13323
