,fuzzer,edges_count,time
0,aflplusplus-0-exid2,0,0
1,fairfuzz-0-exid2,0,0
2,symcc-0-exid2,0,0
3,mopt-0-exid2,0,0
4,fuzzer_global,0,0
5,aflplusplus-0-exid2,200,0
6,aflplusplus-0-exid2,212,1
7,aflplusplus-0-exid2,212,2
8,aflplusplus-0-exid2,212,3
9,fairfuzz-0-exid2,201,0
10,fairfuzz-0-exid2,213,1
11,fairfuzz-0-exid2,213,2
12,fairfuzz-0-exid2,214,3
13,symcc-0-exid2,199,0
14,symcc-0-exid2,210,1
15,symcc-0-exid2,210,2
16,symcc-0-exid2,210,3
17,mopt-0-exid2,200,0
18,mopt-0-exid2,211,1
19,mopt-0-exid2,211,2
20,mopt-0-exid2,211,3
21,fuzzer_global,264,0
22,fuzzer_global,278,1
23,fuzzer_global,278,2
24,fuzzer_global,278,3
