,edges_count,time,experiment_id
0,100,0,1
1,140,1,1
2,163,2,1
3,178,3,1
4,200,4,1
5,221,5,1
6,242,6,1
7,245,7,1
8,251,8,1
9,252,9,1
10,258,10,1
11,263,11,1
12,270,12,1
13,275,13,1
14,285,14,1
15,299,15,1
16,311,16,1
17,313,17,1
18,315,18,1
19,316,19,1
20,317,20,1
21,319,21,1
22,319,22,1
23,322,23,1
24,323,24,1
25,324,25,1
26,327,26,1
27,327,27,1
28,327,28,1
29,327,29,1
30,328,30,1
31,329,31,1
32,329,32,1
33,329,33,1
34,329,34,1
35,329,35,1
36,331,36,1
37,331,37,1
38,332,38,1
39,332,39,1
40,333,40,1
41,334,41,1
42,334,42,1
43,334,43,1
44,335,44,1
45,340,45,1
46,342,46,1
47,342,47,1
48,343,48,1
49,345,49,1
50,345,50,1
51,345,51,1
52,345,52,1
53,345,53,1
54,346,54,1
55,346,55,1
56,346,56,1
57,347,57,1
58,350,58,1
59,358,59,1
60,362,60,1
61,364,61,1
62,366,62,1
63,368,63,1
64,372,64,1
65,375,65,1
66,377,66,1
67,378,67,1
68,382,68,1
69,384,69,1
70,387,70,1
71,388,71,1
72,391,72,1
73,393,73,1
74,395,74,1
75,395,75,1
76,395,76,1
77,396,77,1
78,397,78,1
79,399,79,1
80,407,80,1
81,409,81,1
82,409,82,1
83,410,83,1
84,411,84,1
85,413,85,1
86,413,86,1
87,413,87,1
88,413,88,1
89,414,89,1
90,414,90,1
91,414,91,1
92,414,92,1
93,425,93,1
94,426,94,1
95,427,95,1
96,427,96,1
97,428,97,1
98,428,98,1
99,428,99,1
100,428,100,1
101,428,101,1
102,429,102,1
103,429,103,1
104,430,104,1
105,430,105,1
106,430,106,1
107,431,107,1
108,437,108,1
109,440,109,1
110,442,110,1
111,444,111,1
112,444,112,1
113,445,113,1
114,447,114,1
115,448,115,1
116,449,116,1
117,450,117,1
118,450,118,1
119,451,119,1
120,452,120,1
121,452,121,1
122,453,122,1
123,453,123,1
124,453,124,1
125,453,125,1
126,453,126,1
127,456,127,1
128,457,128,1
129,458,129,1
130,458,130,1
131,459,131,1
132,462,132,1
133,463,133,1
134,464,134,1
135,466,135,1
136,466,136,1
137,466,137,1
138,467,138,1
139,467,139,1
140,469,140,1
141,469,141,1
142,472,142,1
143,472,143,1
144,472,144,1
145,472,145,1
146,472,146,1
147,472,147,1
148,473,148,1
149,474,149,1
150,475,150,1
151,475,151,1
152,475,152,1
153,476,153,1
154,476,154,1
155,476,155,1
156,476,156,1
157,476,157,1
158,477,158,1
159,478,159,1
160,480,160,1
161,480,161,1
162,480,162,1
163,480,163,1
164,480,164,1
165,481,165,1
166,481,166,1
167,481,167,1
168,481,168,1
169,481,169,1
170,481,170,1
171,481,171,1
172,481,172,1
173,481,173,1
174,481,174,1
175,481,175,1
176,481,176,1
177,481,177,1
178,481,178,1
179,481,179,1
180,481,180,1
181,481,181,1
182,481,182,1
183,481,183,1
184,481,184,1
185,481,185,1
186,481,186,1
187,482,187,1
188,482,188,1
189,483,189,1
190,484,190,1
191,484,191,1
192,484,192,1
193,484,193,1
194,485,194,1
195,486,195,1
196,486,196,1
197,487,197,1
198,487,198,1
199,487,199,1
200,490,200,1
201,490,201,1
202,493,202,1
203,493,203,1
204,493,204,1
205,496,205,1
206,496,206,1
207,497,207,1
208,497,208,1
209,498,209,1
210,498,210,1
211,498,211,1
212,500,212,1
213,500,213,1
214,500,214,1
215,500,215,1
216,502,216,1
217,503,217,1
218,503,218,1
219,503,219,1
220,503,220,1
221,503,221,1
222,503,222,1
223,503,223,1
224,503,224,1
225,503,225,1
226,503,226,1
227,503,227,1
228,503,228,1
229,503,229,1
230,504,230,1
231,504,231,1
232,504,232,1
233,504,233,1
234,505,234,1
235,505,235,1
236,505,236,1
237,506,237,1
238,506,238,1
239,507,239,1
240,507,240,1
241,507,241,1
242,508,242,1
243,508,243,1
244,508,244,1
245,508,245,1
246,508,246,1
247,508,247,1
248,508,248,1
249,508,249,1
250,509,250,1
