,fuzzer,edges_count,time
0,fuzzer_global,58,0
1,fuzzer_global,81,1
2,fuzzer_global,95,2
3,fuzzer_global,111,3
4,fuzzer_global,127,4
5,fuzzer_global,145,5
6,fuzzer_global,158,6
7,fuzzer_global,169,7
8,fuzzer_global,177,8
9,fuzzer_global,180,9
10,fuzzer_global,185,10
11,fuzzer_global,189,11
12,fuzzer_global,198,12
13,fuzzer_global,202,13
14,fuzzer_global,205,14
15,fuzzer_global,209,15
16,fuzzer_global,211,16
17,fuzzer_global,212,17
18,fuzzer_global,216,18
19,fuzzer_global,217,19
20,fuzzer_global,223,20
21,fuzzer_global,224,21
22,fuzzer_global,226,22
23,fuzzer_global,237,23
24,fuzzer_global,239,24
25,fuzzer_global,241,25
26,fuzzer_global,248,26
27,fuzzer_global,252,27
28,fuzzer_global,252,28
29,fuzzer_global,252,29
30,fuzzer_global,253,30
31,fuzzer_global,254,31
32,fuzzer_global,255,32
33,fuzzer_global,258,33
34,fuzzer_global,258,34
35,fuzzer_global,260,35
36,fuzzer_global,261,36
37,fuzzer_global,263,37
38,fuzzer_global,267,38
39,fuzzer_global,273,39
40,fuzzer_global,276,40
41,fuzzer_global,276,41
42,fuzzer_global,276,42
43,fuzzer_global,278,43
44,fuzzer_global,279,44
45,fuzzer_global,279,45
46,fuzzer_global,280,46
47,fuzzer_global,281,47
48,fuzzer_global,281,48
49,fuzzer_global,281,49
50,fuzzer_global,281,50
51,fuzzer_global,281,51
52,fuzzer_global,281,52
53,fuzzer_global,281,53
54,fuzzer_global,287,54
55,fuzzer_global,288,55
56,fuzzer_global,289,56
57,fuzzer_global,289,57
58,fuzzer_global,291,58
59,fuzzer_global,292,59
60,fuzzer_global,295,60
61,fuzzer_global,301,61
62,fuzzer_global,303,62
63,fuzzer_global,303,63
64,fuzzer_global,303,64
65,fuzzer_global,304,65
66,fuzzer_global,305,66
67,fuzzer_global,305,67
68,fuzzer_global,314,68
69,fuzzer_global,315,69
70,fuzzer_global,315,70
71,fuzzer_global,316,71
72,fuzzer_global,316,72
73,fuzzer_global,317,73
74,fuzzer_global,319,74
