,edges_count,time,experiment_id
0,280,0,1
1,280,1,1
2,280,2,1
3,280,3,1
4,276,0,2
5,276,1,2
6,276,2,2
7,276,3,2
8,275,0,3
9,277,1,3
10,277,2,3
11,277,3,3
12,266,0,4
13,274,1,4
14,274,2,4
15,274,3,4
16,274,4,4
17,257,0,5
18,275,1,5
19,275,2,5
20,275,3,5
21,275,4,5
22,277,0,6
23,277,1,6
24,277,2,6
25,277,3,6
26,272,0,7
27,280,1,7
28,280,2,7
29,280,3,7
30,280,4,7
31,264,0,8
32,278,1,8
33,278,2,8
34,278,3,8
35,253,0,9
36,275,1,9
37,275,2,9
38,275,3,9
39,275,4,9
40,254,0,10
41,274,1,10
42,274,2,10
43,274,3,10
44,274,4,10
45,276,0,11
46,276,1,11
47,276,2,11
48,279,0,12
49,279,1,12
50,279,2,12
51,279,3,12
52,273,0,13
53,273,1,13
54,273,2,13
55,274,3,13
56,277,0,14
57,277,1,14
58,277,2,14
59,277,3,14
60,278,0,15
61,282,1,15
62,282,2,15
63,282,3,15
64,287,0,16
65,287,1,16
66,287,2,16
67,287,3,16
68,278,0,17
69,278,1,17
70,278,2,17
71,278,3,17
72,277,0,18
73,277,1,18
74,277,2,18
75,278,3,18
76,276,0,19
77,281,1,19
78,281,2,19
79,281,3,19
80,273,0,20
81,279,1,20
82,279,2,20
83,279,3,20
