,edges_count,time,experiment_id
0,275,0,1
1,275,1,1
2,275,2,1
3,275,3,1
4,280,0,2
5,281,1,2
6,281,2,2
7,281,3,2
8,267,0,3
9,274,1,3
10,274,2,3
11,274,3,3
12,274,4,3
13,261,0,4
14,273,1,4
15,273,2,4
16,273,3,4
17,274,4,4
18,254,0,5
19,275,1,5
20,275,2,5
21,275,3,5
22,275,4,5
23,269,0,6
24,274,1,6
25,274,2,6
26,274,3,6
27,271,0,7
28,280,1,7
29,280,2,7
30,280,3,7
31,280,4,7
32,261,0,8
33,278,1,8
34,278,2,8
35,278,3,8
36,278,4,8
37,253,0,9
38,275,1,9
39,275,2,9
40,275,3,9
41,275,4,9
42,252,0,10
43,276,1,10
44,276,2,10
45,276,3,10
46,276,4,10
47,279,0,11
48,279,1,11
49,279,2,11
50,276,0,12
51,276,1,12
52,276,2,12
53,276,3,12
54,280,0,13
55,280,1,13
56,280,2,13
57,280,3,13
58,272,0,14
59,280,1,14
60,280,2,14
61,280,3,14
62,269,0,15
63,275,1,15
64,275,2,15
65,275,3,15
66,277,0,16
67,277,1,16
68,277,2,16
69,277,3,16
70,280,0,17
71,281,1,17
72,281,2,17
73,281,3,17
74,276,0,18
75,284,1,18
76,284,2,18
77,284,3,18
78,279,0,19
79,284,1,19
80,284,2,19
81,284,3,19
82,265,0,20
83,275,1,20
84,275,2,20
85,275,3,20
