,benchmark,fuzzer_combination,expid,edge
0,cflow,fca,9,7979-7999
1,cflow,fca,9,334-341
2,cflow,fca,9,28777-28762
3,cflow,fca,9,8030-8043
4,cflow,fca,9,12740-12789
5,cflow,fca,9,28323-28315
6,cflow,fca,9,380-384
7,cflow,fca,9,28787-28792
8,cflow,fca,9,11147-11183
9,cflow,fca,9,2102-2111
10,cflow,fca,9,10968-10975
11,cflow,fca,9,11572-11583
12,cflow,fca,9,2129-2144
13,cflow,fca,9,11612-11618
14,cflow,fca,9,3255-3433
15,cflow,fca,9,9010-9031
16,cflow,fca,9,9780-9785
17,cflow,fca,9,2172-2188
18,cflow,fca,9,6078-6084
19,cflow,fca,9,9151-9157
20,cflow,fca,9,1843-341
21,cflow,fca,9,9566-9573
22,cflow,fca,9,1067-2468
23,cflow,fca,9,11485-11618
24,cflow,fca,9,11411-11388
25,cflow,fca,9,2412-2427
26,cflow,fca,9,923-927
27,cflow,fca,9,9807-9820
28,cflow,fca,9,11138-11301
29,cflow,fca,9,2441-2372
30,cflow,fca,9,11537-11550
31,cflow,fca,9,9785-9838
32,cflow,fca,9,9136-9157
33,cflow,fca,9,9802-9838
34,cflow,fca,9,881-885
35,cflow,fca,9,10542-10564
36,cflow,fca,9,28917-28926
37,cflow,fca,9,8025-8043
38,cflow,fca,9,280-797
39,cflow,fca,9,12558-12566
40,cflow,fca,9,9812-9817
41,cflow,fca,9,8813-8824
42,cflow,fca,9,3099-3118
43,cflow,fca,9,3118-3121
44,cflow,fca,9,28904-28939
45,cflow,fca,9,1811-341
46,cflow,fca,9,11050-11058
47,cflow,fca,9,3121-3153
48,cflow,fca,9,3034-3037
49,cflow,fca,9,28926-28910
50,cflow,fca,9,1347-1361
51,cflow,fca,9,1088-2468
52,cflow,fca,9,297-311
53,cflow,fca,9,1610-1614
54,cflow,fca,9,537-551
55,cflow,fca,9,1385-1389
56,cflow,fca,9,11004-11017
57,cflow,fca,9,280-1406
58,cflow,fca,9,2692-2701
59,cflow,fca,9,1340-2468
60,cflow,fca,9,5640-5645
