,benchmark,fuzzer_combination,expid,edge
0,cflow,fcb,4,9820-9838
1,cflow,fcb,4,421-425
2,cflow,fcb,4,12931-12938
3,cflow,fcb,4,29852-29859
4,cflow,fcb,4,13388-13398
5,cflow,fcb,4,13280-13289
6,cflow,fcb,4,8939-8960
7,cflow,fcb,4,11748-11753
8,cflow,fcb,4,9792-9796
9,cflow,fcb,4,2237-2346
10,cflow,fcb,4,9210-9227
11,cflow,fcb,4,280-1719
12,cflow,fcb,4,10985-10993
13,cflow,fcb,4,10968-10975
14,cflow,fcb,4,280-734
15,cflow,fcb,4,280-1091
16,cflow,fcb,4,2129-2144
17,cflow,fcb,4,11262-11267
18,cflow,fcb,4,11592-11597
19,cflow,fcb,4,9802-9838
20,cflow,fcb,4,9099-9111
21,cflow,fcb,4,9566-9573
22,cflow,fcb,4,899-2468
23,cflow,fcb,4,2412-2427
24,cflow,fcb,4,10660-10688
25,cflow,fcb,4,6078-6084
26,cflow,fcb,4,11572-11583
27,cflow,fcb,4,9136-9157
28,cflow,fcb,4,1843-341
29,cflow,fcb,4,1130-2468
30,cflow,fcb,4,797-801
31,cflow,fcb,4,923-927
32,cflow,fcb,4,3023-3095
33,cflow,fcb,4,11485-11618
34,cflow,fcb,4,8813-8824
35,cflow,fcb,4,10971-10978
36,cflow,fcb,4,9785-9838
37,cflow,fcb,4,10542-10564
38,cflow,fcb,4,9807-9820
39,cflow,fcb,4,11537-11550
40,cflow,fcb,4,28904-28910
41,cflow,fcb,4,3118-3246
42,cflow,fcb,4,1807-1811
43,cflow,fcb,4,10989-10993
44,cflow,fcb,4,11411-11388
45,cflow,fcb,4,2675-2683
46,cflow,fcb,4,9546-9589
47,cflow,fcb,4,11240-11247
48,cflow,fcb,4,28904-28939
49,cflow,fcb,4,7908-7916
50,cflow,fcb,4,10500-10503
51,cflow,fcb,4,12617-12675
52,cflow,fcb,4,13156-13181
53,cflow,fcb,4,9812-9817
54,cflow,fcb,4,293-297
55,cflow,fcb,4,463-467
56,cflow,fcb,4,11138-11301
57,cflow,fcb,4,10553-10631
58,cflow,fcb,4,11017-11023
59,cflow,fcb,4,280-1763
60,cflow,fcb,4,10645-10688
61,cflow,fcb,4,280-1406
62,cflow,fcb,4,1610-1614
63,cflow,fcb,4,1848-1852
64,cflow,fcb,4,3121-3153
65,cflow,fcb,4,11506-11518
66,cflow,fcb,4,280-1070
67,cflow,fcb,4,8025-8043
68,cflow,fcb,4,280-1385
69,cflow,fcb,4,2717-2733
70,cflow,fcb,4,280-1343
71,cflow,fcb,4,1326-1340
72,cflow,fcb,4,11220-11281
73,cflow,fcb,4,28926-28910
74,cflow,fcb,4,2701-2836
75,cflow,fcb,4,2015-2028
76,cflow,fcb,4,10289-10306
77,cflow,fcb,4,12938-12931
78,cflow,fcb,4,1238-1242
79,cflow,fcb,4,10016-10021
80,cflow,fcb,4,11037-11050
81,cflow,fcb,4,11037-11045
82,cflow,fcb,4,10289-10320
83,cflow,fcb,4,9900-9897
84,cflow,fcb,4,6124-6129
85,cflow,fcb,4,9861-9869
86,cflow,fcb,4,9639-9649
87,cflow,fcb,4,920-2468
88,cflow,fcb,4,2683-2675
89,cflow,fcb,4,280-1280
90,cflow,fcb,4,1004-2468
91,cflow,fcb,4,11730-11742
92,cflow,fcb,4,13019-13026
93,cflow,fcb,4,780-794
94,cflow,fcb,4,1032-1046
95,cflow,fcb,4,11050-11058
96,cflow,fcb,4,755-759
97,cflow,fcb,4,528-341
98,cflow,fcb,4,10116-10119
99,cflow,fcb,4,10127-10135
100,cflow,fcb,4,10127-10142
101,cflow,fcb,4,28662-28669
102,cflow,fcb,4,13296-13289
103,cflow,fcb,4,10404-10404
104,cflow,fcb,4,836-2468
105,cflow,fcb,4,10754-10760
106,cflow,fcb,4,13383-13398
107,cflow,fcb,4,280-713
108,cflow,fcb,4,12872-12865
109,cflow,fcb,4,1025-2468
110,cflow,fcb,4,7819-7837
111,cflow,fcb,4,2744-2755
112,cflow,fcb,4,965-969
113,cflow,fcb,4,5884-5902
114,cflow,fcb,4,3037-3037
115,cflow,fcb,4,9932-9938
116,cflow,fcb,4,10132-10138
117,cflow,fcb,4,10119-10157
118,cflow,fcb,4,948-962
119,cflow,fcb,4,12466-12475
120,cflow,fcb,4,12830-12901
121,cflow,fcb,4,12806-12799
122,cflow,fcb,4,5861-5878
123,cflow,fcb,4,5917-5990
124,cflow,fcb,4,32065-32070
125,cflow,fcb,4,1463-1474
126,cflow,fcb,4,1543-1569
127,cflow,fcb,4,8910-8925
128,cflow,fcb,4,7361-7361
129,cflow,fcb,4,2266-2274
130,cflow,fcb,4,2889-2902
131,cflow,fcb,4,8900-8904
132,cflow,fcb,4,9403-9411
133,cflow,fcb,4,8991-8999
134,cflow,fcb,4,8960-8978
135,cflow,fcb,4,9184-9188
136,cflow,fcb,4,2266-2279
137,cflow,fcb,4,13366-13404
138,cflow,fcb,4,9157-9165
139,cflow,fcb,4,9039-9043
140,cflow,fcb,4,9125-9129
141,cflow,fcb,4,9052-9060
142,cflow,fcb,4,9021-9025
143,cflow,fcb,4,9074-9082
144,cflow,fcb,4,9147-9151
145,cflow,fcb,4,2279-2292
146,cflow,fcb,4,7749-7749
147,cflow,fcb,4,9107-9111
148,cflow,fcb,4,13026-13019
149,cflow,fcb,4,8950-8954
150,cflow,fcb,4,32136-32141
151,cflow,fcb,4,3305-3321
152,cflow,fcb,4,10112-10222
153,cflow,fcb,4,2306-2321
154,cflow,fcb,4,2776-2780
155,cflow,fcb,4,1628-1639
156,cflow,fcb,4,5571-5571
157,cflow,fcb,4,2793-2797
158,cflow,fcb,4,5453-5466
159,cflow,fcb,4,5564-5586
160,cflow,fcb,4,11737-11742
161,cflow,fcb,4,11742-11730
162,cflow,fcb,4,668-2468
163,cflow,fcb,4,5493-5496
