,benchmark,fuzzer_combination,expid,edge
0,jq,fca,12,52154-52154
1,jq,fca,12,34276-34402
2,jq,fca,12,25224-25227
3,jq,fca,12,26682-26950
4,jq,fca,12,26123-25967
5,jq,fca,12,27263-27267
6,jq,fca,12,25567-25574
7,jq,fca,12,24198-25259
8,jq,fca,12,16374-16407
9,jq,fca,12,25584-25607
10,jq,fca,12,28350-28376
11,jq,fca,12,36852-36929
12,jq,fca,12,35404-35433
13,jq,fca,12,30118-30144
14,jq,fca,12,40304-40352
15,jq,fca,12,25323-25584
16,jq,fca,12,30253-30263
17,jq,fca,12,24001-24141
18,jq,fca,12,25147-25577
19,jq,fca,12,45806-45832
20,jq,fca,12,25723-25799
21,jq,fca,12,25945-26090
22,jq,fca,12,45884-45893
23,jq,fca,12,29715-29721
24,jq,fca,12,25077-25577
25,jq,fca,12,30270-30302
26,jq,fca,12,29734-29715
27,jq,fca,12,23743-23743
28,jq,fca,12,36152-36173
29,jq,fca,12,29748-29755
30,jq,fca,12,25921-25928
31,jq,fca,12,30267-30324
32,jq,fca,12,24099-24105
33,jq,fca,12,29715-29725
34,jq,fca,12,23876-23881
35,jq,fca,12,34457-34464
36,jq,fca,12,24896-25577
37,jq,fca,12,30272-30324
38,jq,fca,12,25683-25799
39,jq,fca,12,19541-19544
40,jq,fca,12,25421-25584
41,jq,fca,12,25607-25630
42,jq,fca,12,40092-40180
43,jq,fca,12,31270-31430
44,jq,fca,12,25169-25577
45,jq,fca,12,24099-24121
46,jq,fca,12,24188-24196
47,jq,fca,12,19506-19531
48,jq,fca,12,40096-40101
49,jq,fca,12,25081-25577
50,jq,fca,12,23818-23837
51,jq,fca,12,25360-25584
52,jq,fca,12,25224-25577
53,jq,fca,12,26069-26083
54,jq,fca,12,29748-29748
55,jq,fca,12,34314-34321
56,jq,fca,12,39991-39999
57,jq,fca,12,25487-25577
58,jq,fca,12,40002-40002
59,jq,fca,12,26093-26090
60,jq,fca,12,30628-30648
61,jq,fca,12,24840-25577
62,jq,fca,12,30144-30149
63,jq,fca,12,26103-26090
64,jq,fca,12,29887-29899
65,jq,fca,12,30173-30182
66,jq,fca,12,32347-32352
67,jq,fca,12,31763-32751
68,jq,fca,12,18695-18695
69,jq,fca,12,24086-24121
70,jq,fca,12,38042-38094
71,jq,fca,12,26682-26846
72,jq,fca,12,24784-25577
73,jq,fca,12,25999-26090
74,jq,fca,12,34155-30324
75,jq,fca,12,24908-25577
76,jq,fca,12,40311-40352
77,jq,fca,12,34324-34367
78,jq,fca,12,21663-21679
79,jq,fca,12,32194-32200
80,jq,fca,12,32129-32133
81,jq,fca,12,26113-26090
82,jq,fca,12,39965-39974
83,jq,fca,12,30182-30186
84,jq,fca,12,24105-24113
85,jq,fca,12,30163-30173
86,jq,fca,12,30160-30163
87,jq,fca,12,25021-25577
88,jq,fca,12,35292-35307
89,jq,fca,12,37075-37089
90,jq,fca,12,32226-32236
91,jq,fca,12,26843-28475
92,jq,fca,12,25227-25577
93,jq,fca,12,32200-32207
94,jq,fca,12,38120-38125
95,jq,fca,12,35037-35051
96,jq,fca,12,39677-39682
97,jq,fca,12,34415-34470
98,jq,fca,12,30373-30383
99,jq,fca,12,37436-37458
100,jq,fca,12,31963-32029
101,jq,fca,12,25364-25584
102,jq,fca,12,30821-31030
103,jq,fca,12,35772-35779
104,jq,fca,12,32726-32733
105,jq,fca,12,32207-32213
106,jq,fca,12,30628-30447
107,jq,fca,12,32357-32386
108,jq,fca,12,39822-39844
109,jq,fca,12,34626-34649
110,jq,fca,12,29887-29887
111,jq,fca,12,33414-33442
112,jq,fca,12,31744-31727
113,jq,fca,12,33420-33442
114,jq,fca,12,33322-33414
115,jq,fca,12,30073-30085
116,jq,fca,12,33118-33129
117,jq,fca,12,33347-33347
118,jq,fca,12,32633-32641
119,jq,fca,12,31650-31659
120,jq,fca,12,25124-25577
121,jq,fca,12,38238-38441
122,jq,fca,12,36120-36134
123,jq,fca,12,39478-39486
124,jq,fca,12,30302-34191
125,jq,fca,12,26181-26185
126,jq,fca,12,26189-26209
127,jq,fca,12,26240-26178
128,jq,fca,12,26209-26217
129,jq,fca,12,26181-26189
130,jq,fca,12,26156-26160
131,jq,fca,12,26240-26244
132,jq,fca,12,29945-30096
133,jq,fca,12,38039-38022
134,jq,fca,12,34171-30293
135,jq,fca,12,30680-30689
