,benchmark,fuzzer_combination,expid,edge
0,jq,fcb,11,1654-1668
1,jq,fcb,11,27933-27936
2,jq,fcb,11,40020-40042
3,jq,fcb,11,25124-25131
4,jq,fcb,11,27178-27191
5,jq,fcb,11,24148-24154
6,jq,fcb,11,27436-27477
7,jq,fcb,11,28379-28385
8,jq,fcb,11,26123-25967
9,jq,fcb,11,25330-25430
10,jq,fcb,11,29790-29793
11,jq,fcb,11,23743-23736
12,jq,fcb,11,34789-34796
13,jq,fcb,11,30118-30144
14,jq,fcb,11,25323-25584
15,jq,fcb,11,28722-28727
16,jq,fcb,11,30270-30324
17,jq,fcb,11,24081-25598
18,jq,fcb,11,25719-25723
19,jq,fcb,11,29748-29755
20,jq,fcb,11,34457-34464
21,jq,fcb,11,25921-25928
22,jq,fcb,11,23743-23743
23,jq,fcb,11,45806-45832
24,jq,fcb,11,29725-30324
25,jq,fcb,11,23881-23887
26,jq,fcb,11,25933-25945
27,jq,fcb,11,25077-25577
28,jq,fcb,11,29715-29734
29,jq,fcb,11,45884-45893
30,jq,fcb,11,30270-30272
31,jq,fcb,11,26093-26090
32,jq,fcb,11,24081-24086
33,jq,fcb,11,25169-25577
34,jq,fcb,11,29869-29882
35,jq,fcb,11,25670-25683
36,jq,fcb,11,36116-36120
37,jq,fcb,11,24001-24141
38,jq,fcb,11,25081-25577
39,jq,fcb,11,16850-16855
40,jq,fcb,11,32860-32869
41,jq,fcb,11,25421-25584
42,jq,fcb,11,30302-30324
43,jq,fcb,11,24188-24196
44,jq,fcb,11,25224-25577
45,jq,fcb,11,29715-29725
46,jq,fcb,11,24896-25577
47,jq,fcb,11,40092-40180
48,jq,fcb,11,24099-24121
49,jq,fcb,11,19506-19531
50,jq,fcb,11,29725-29739
51,jq,fcb,11,37240-37550
52,jq,fcb,11,40101-40170
53,jq,fcb,11,24840-25577
54,jq,fcb,11,46082-46175
55,jq,fcb,11,25360-25584
56,jq,fcb,11,29748-29748
57,jq,fcb,11,29922-30118
58,jq,fcb,11,32226-32236
59,jq,fcb,11,32200-32207
60,jq,fcb,11,18695-18695
61,jq,fcb,11,24908-25577
62,jq,fcb,11,26069-26083
63,jq,fcb,11,25487-25577
64,jq,fcb,11,29887-29899
65,jq,fcb,11,30370-30402
66,jq,fcb,11,39844-39896
67,jq,fcb,11,32357-32366
68,jq,fcb,11,35794-35800
69,jq,fcb,11,24784-25577
70,jq,fcb,11,26127-25967
71,jq,fcb,11,32464-32476
72,jq,fcb,11,34324-34367
73,jq,fcb,11,31760-32751
74,jq,fcb,11,24086-24121
75,jq,fcb,11,24920-25577
76,jq,fcb,11,25021-25577
77,jq,fcb,11,35923-35951
78,jq,fcb,11,38244-38441
79,jq,fcb,11,25999-26090
80,jq,fcb,11,40267-40311
81,jq,fcb,11,26103-26090
82,jq,fcb,11,26113-26090
83,jq,fcb,11,40285-40327
84,jq,fcb,11,21607-21624
85,jq,fcb,11,29912-29945
86,jq,fcb,11,24105-24113
87,jq,fcb,11,34402-34407
88,jq,fcb,11,30173-30253
89,jq,fcb,11,31963-32029
90,jq,fcb,11,30419-30434
91,jq,fcb,11,34619-34632
92,jq,fcb,11,35051-35066
93,jq,fcb,11,32731-31457
94,jq,fcb,11,33896-33905
95,jq,fcb,11,33037-33096
96,jq,fcb,11,35220-35220
97,jq,fcb,11,32328-32334
98,jq,fcb,11,29606-29606
99,jq,fcb,11,35786-35779
100,jq,fcb,11,30628-30447
101,jq,fcb,11,30217-30217
102,jq,fcb,11,37303-37303
103,jq,fcb,11,30085-30096
104,jq,fcb,11,25227-25577
105,jq,fcb,11,38042-38094
106,jq,fcb,11,31069-31077
107,jq,fcb,11,33442-33535
108,jq,fcb,11,33347-33414
109,jq,fcb,11,30205-30238
110,jq,fcb,11,35726-35800
111,jq,fcb,11,33969-33972
112,jq,fcb,11,34191-30324
113,jq,fcb,11,30048-30057
114,jq,fcb,11,32646-32654
115,jq,fcb,11,37011-37033
116,jq,fcb,11,35763-35800
117,jq,fcb,11,34695-34812
