,benchmark,fuzzer_combination,expid,edge
0,libpng,fca,7,29390-29410
1,libpng,fca,7,6263-6315
2,libpng,fca,7,10273-10289
3,libpng,fca,7,42926-42937
4,libpng,fca,7,147-150
5,libpng,fca,7,12899-12906
6,libpng,fca,7,58194-58198
7,libpng,fca,7,12744-12768
8,libpng,fca,7,49160-49166
9,libpng,fca,7,532-836
10,libpng,fca,7,48876-48910
11,libpng,fca,7,5-27
12,libpng,fca,7,57955-57967
13,libpng,fca,7,53119-53126
14,libpng,fca,7,5199-5203
15,libpng,fca,7,60830-60851
16,libpng,fca,7,48361-48365
17,libpng,fca,7,51433-51444
18,libpng,fca,7,48832-48845
19,libpng,fca,7,652-672
20,libpng,fca,7,5142-5153
21,libpng,fca,7,48149-48169
22,libpng,fca,7,58205-58288
23,libpng,fca,7,132-845
24,libpng,fca,7,5089-5096
25,libpng,fca,7,46673-46695
26,libpng,fca,7,46845-46850
27,libpng,fca,7,46510-46541
28,libpng,fca,7,48966-48973
29,libpng,fca,7,46603-46610
30,libpng,fca,7,12630-12635
31,libpng,fca,7,48365-48379
32,libpng,fca,7,7684-7698
33,libpng,fca,7,56713-56720
34,libpng,fca,7,46773-46804
35,libpng,fca,7,57967-57987
36,libpng,fca,7,56675-56677
37,libpng,fca,7,74-82
38,libpng,fca,7,56476-56695
39,libpng,fca,7,26447-26457
40,libpng,fca,7,49038-49090
41,libpng,fca,7,10308-10330
42,libpng,fca,7,48280-48313
43,libpng,fca,7,5035-5039
44,libpng,fca,7,57868-57890
45,libpng,fca,7,26526-26530
46,libpng,fca,7,56421-56709
47,libpng,fca,7,4990-4997
48,libpng,fca,7,58305-58329
49,libpng,fca,7,7545-7564
50,libpng,fca,7,30806-31245
51,libpng,fca,7,56734-56737
52,libpng,fca,7,62550-62560
53,libpng,fca,7,7524-7564
54,libpng,fca,7,47121-47123
55,libpng,fca,7,5979-6254
56,libpng,fca,7,5174-5181
57,libpng,fca,7,19435-19440
58,libpng,fca,7,57809-57835
59,libpng,fca,7,29842-29869
60,libpng,fca,7,58163-58187
61,libpng,fca,7,10308-10339
