,benchmark,fuzzer_combination,expid,edge
0,libpng,fcb,19,12447-12449
1,libpng,fcb,19,56303-56306
2,libpng,fcb,19,57389-57424
3,libpng,fcb,19,28017-28022
4,libpng,fcb,19,147-150
5,libpng,fcb,19,12828-12725
6,libpng,fcb,19,624-629
7,libpng,fcb,19,48326-48336
8,libpng,fcb,19,48876-48910
9,libpng,fcb,19,12729-12768
10,libpng,fcb,19,49268-49283
11,libpng,fcb,19,48365-48372
12,libpng,fcb,19,5203-5210
13,libpng,fcb,19,5142-5153
14,libpng,fcb,19,48952-48973
15,libpng,fcb,19,51325-51330
16,libpng,fcb,19,51433-51444
17,libpng,fcb,19,5-27
18,libpng,fcb,19,48093-48099
19,libpng,fcb,19,46695-46667
20,libpng,fcb,19,5236-5277
21,libpng,fcb,19,58194-58198
22,libpng,fcb,19,60987-61007
23,libpng,fcb,19,132-845
24,libpng,fcb,19,48000-48031
25,libpng,fcb,19,49205-49222
26,libpng,fcb,19,5181-5188
27,libpng,fcb,19,6416-6456
28,libpng,fcb,19,5039-5046
29,libpng,fcb,19,5128-5135
30,libpng,fcb,19,56476-56695
31,libpng,fcb,19,46462-46505
32,libpng,fcb,19,56713-56720
33,libpng,fcb,19,48966-48973
34,libpng,fcb,19,48406-48422
35,libpng,fcb,19,56548-56675
36,libpng,fcb,19,46603-46610
37,libpng,fcb,19,56144-56173
38,libpng,fcb,19,57959-57967
39,libpng,fcb,19,62540-62542
40,libpng,fcb,19,53208-53224
41,libpng,fcb,19,17957-17965
42,libpng,fcb,19,48000-48016
43,libpng,fcb,19,26526-26530
44,libpng,fcb,19,28403-28416
45,libpng,fcb,19,46589-46598
46,libpng,fcb,19,7656-7670
47,libpng,fcb,19,4990-4997
48,libpng,fcb,19,48149-48169
49,libpng,fcb,19,26447-26457
50,libpng,fcb,19,46568-46582
51,libpng,fcb,19,6320-6416
52,libpng,fcb,19,32371-32549
53,libpng,fcb,19,53119-53126
54,libpng,fcb,19,7545-7564
55,libpng,fcb,19,56334-56734
56,libpng,fcb,19,48832-48845
57,libpng,fcb,19,58163-58187
58,libpng,fcb,19,56508-56532
59,libpng,fcb,19,49277-49283
60,libpng,fcb,19,5979-6254
61,libpng,fcb,19,50746-50715
62,libpng,fcb,19,56847-56864
63,libpng,fcb,19,56248-56255
64,libpng,fcb,19,58313-58329
65,libpng,fcb,19,10339-10411
66,libpng,fcb,19,7754-7765
