,benchmark,fuzzer_combination,expid,edge
0,libxml2,fca,15,415196-415242
1,libxml2,fca,15,21334-21352
2,libxml2,fca,15,395495-395515
3,libxml2,fca,15,37564-37573
4,libxml2,fca,15,366077-366082
5,libxml2,fca,15,23597-23612
6,libxml2,fca,15,56342-56971
7,libxml2,fca,15,36045-36047
8,libxml2,fca,15,149537-149543
9,libxml2,fca,15,12034-12041
10,libxml2,fca,15,3334-3347
11,libxml2,fca,15,372539-372549
12,libxml2,fca,15,368908-368924
13,libxml2,fca,15,374806-374808
14,libxml2,fca,15,32416-32619
15,libxml2,fca,15,394812-394820
16,libxml2,fca,15,21389-21428
17,libxml2,fca,15,35807-35777
18,libxml2,fca,15,366544-366573
19,libxml2,fca,15,371018-371023
20,libxml2,fca,15,33305-33342
21,libxml2,fca,15,373184-373186
22,libxml2,fca,15,373939-374002
23,libxml2,fca,15,378392-378406
24,libxml2,fca,15,76143-76153
25,libxml2,fca,15,379084-379158
26,libxml2,fca,15,11702-11723
27,libxml2,fca,15,38956-38967
28,libxml2,fca,15,372743-372772
29,libxml2,fca,15,376410-376431
30,libxml2,fca,15,366442-366451
31,libxml2,fca,15,22458-22470
32,libxml2,fca,15,8421-8473
33,libxml2,fca,15,369796-369806
34,libxml2,fca,15,269166-269208
35,libxml2,fca,15,371374-371414
36,libxml2,fca,15,11827-11854
37,libxml2,fca,15,3615-3641
38,libxml2,fca,15,415242-415285
39,libxml2,fca,15,22702-22714
40,libxml2,fca,15,133530-133541
41,libxml2,fca,15,9510-9534
42,libxml2,fca,15,410627-410638
43,libxml2,fca,15,18766-18768
44,libxml2,fca,15,21682-21734
45,libxml2,fca,15,415549-415559
46,libxml2,fca,15,11052-11078
47,libxml2,fca,15,47882-47894
48,libxml2,fca,15,2912-2921
49,libxml2,fca,15,18402-18411
50,libxml2,fca,15,371995-372012
51,libxml2,fca,15,53214-53225
52,libxml2,fca,15,21756-21767
53,libxml2,fca,15,16614-16627
54,libxml2,fca,15,13312-13321
55,libxml2,fca,15,30344-30350
56,libxml2,fca,15,43913-43931
57,libxml2,fca,15,371484-371496
58,libxml2,fca,15,9332-9347
59,libxml2,fca,15,152778-152795
60,libxml2,fca,15,40444-40447
61,libxml2,fca,15,11567-11571
62,libxml2,fca,15,396325-396331
63,libxml2,fca,15,54428-54451
64,libxml2,fca,15,406063-406110
65,libxml2,fca,15,24825-24935
66,libxml2,fca,15,42924-42929
67,libxml2,fca,15,280603-280631
68,libxml2,fca,15,15433-15447
69,libxml2,fca,15,109869-109902
70,libxml2,fca,15,143698-143737
71,libxml2,fca,15,84450-84484
72,libxml2,fca,15,283033-283109
73,libxml2,fca,15,139529-139550
74,libxml2,fca,15,54844-54854
75,libxml2,fca,15,151668-151695
76,libxml2,fca,15,136496-136509
77,libxml2,fca,15,53117-53121
78,libxml2,fca,15,140975-140989
79,libxml2,fca,15,44091-44100
80,libxml2,fca,15,369898-369905
81,libxml2,fca,15,24301-24177
82,libxml2,fca,15,377106-377124
83,libxml2,fca,15,22562-22566
84,libxml2,fca,15,379148-379246
85,libxml2,fca,15,37074-37092
86,libxml2,fca,15,376036-376049
87,libxml2,fca,15,84348-84593
88,libxml2,fca,15,1501-1505
89,libxml2,fca,15,149126-149136
90,libxml2,fca,15,136384-136392
91,libxml2,fca,15,6867-6918
92,libxml2,fca,15,155104-155124
93,libxml2,fca,15,55006-55016
94,libxml2,fca,15,43257-43284
95,libxml2,fca,15,372157-372170
96,libxml2,fca,15,99497-99503
97,libxml2,fca,15,33340-33349
98,libxml2,fca,15,393914-394098
99,libxml2,fca,15,54986-54996
100,libxml2,fca,15,49473-49480
