,benchmark,fuzzer_combination,expid,edge
0,libxml2,fcb,11,11595-11606
1,libxml2,fcb,11,155154-155194
2,libxml2,fcb,11,40889-40926
3,libxml2,fcb,11,372748-372750
4,libxml2,fcb,11,5418-5423
5,libxml2,fcb,11,370936-370947
6,libxml2,fcb,11,406290-406295
7,libxml2,fcb,11,21428-21436
8,libxml2,fcb,11,371164-371089
9,libxml2,fcb,11,374765-374810
10,libxml2,fcb,11,19492-19501
11,libxml2,fcb,11,18823-18826
12,libxml2,fcb,11,366544-366573
13,libxml2,fcb,11,12394-12401
14,libxml2,fcb,11,37498-37573
15,libxml2,fcb,11,374981-374999
16,libxml2,fcb,11,14256-14292
17,libxml2,fcb,11,32416-32619
18,libxml2,fcb,11,84560-84571
19,libxml2,fcb,11,96419-96430
20,libxml2,fcb,11,10124-10138
21,libxml2,fcb,11,33301-33305
22,libxml2,fcb,11,21919-21931
23,libxml2,fcb,11,373939-374002
24,libxml2,fcb,11,35983-35989
25,libxml2,fcb,11,76162-76183
26,libxml2,fcb,11,11865-11956
27,libxml2,fcb,11,22482-22494
28,libxml2,fcb,11,87140-87157
29,libxml2,fcb,11,415242-415285
30,libxml2,fcb,11,43913-43931
31,libxml2,fcb,11,84311-84334
32,libxml2,fcb,11,374582-374586
33,libxml2,fcb,11,83975-83984
34,libxml2,fcb,11,421917-421931
35,libxml2,fcb,11,38550-38552
36,libxml2,fcb,11,110774-110789
37,libxml2,fcb,11,54062-54081
38,libxml2,fcb,11,269166-269208
39,libxml2,fcb,11,24816-24833
40,libxml2,fcb,11,371374-371414
41,libxml2,fcb,11,367730-367741
42,libxml2,fcb,11,22458-22512
43,libxml2,fcb,11,413296-413309
44,libxml2,fcb,11,122069-122433
45,libxml2,fcb,11,14274-14292
46,libxml2,fcb,11,21560-21565
47,libxml2,fcb,11,281445-281467
48,libxml2,fcb,11,153842-153849
49,libxml2,fcb,11,44199-44470
50,libxml2,fcb,11,145616-145628
51,libxml2,fcb,11,21682-21734
52,libxml2,fcb,11,8516-8565
53,libxml2,fcb,11,10412-10427
54,libxml2,fcb,11,5559-5633
55,libxml2,fcb,11,14238-14247
56,libxml2,fcb,11,418498-418512
57,libxml2,fcb,11,47183-47276
58,libxml2,fcb,11,9534-9543
59,libxml2,fcb,11,139599-139975
60,libxml2,fcb,11,24833-24903
61,libxml2,fcb,11,153194-153205
62,libxml2,fcb,11,54587-54594
63,libxml2,fcb,11,143515-143520
64,libxml2,fcb,11,396339-396353
65,libxml2,fcb,11,155575-155612
66,libxml2,fcb,11,55811-55821
67,libxml2,fcb,11,148862-148897
68,libxml2,fcb,11,14576-14581
69,libxml2,fcb,11,108007-108011
70,libxml2,fcb,11,150052-150057
71,libxml2,fcb,11,18054-18061
72,libxml2,fcb,11,46573-46609
73,libxml2,fcb,11,30897-30920
74,libxml2,fcb,11,47146-47183
75,libxml2,fcb,11,392435-392442
