,benchmark,fuzzer_combination,expid,edge
0,lua,fca,4,33199-33280
1,lua,fca,4,92977-93041
2,lua,fca,4,10187-10189
3,lua,fca,4,93988-94005
4,lua,fca,4,89457-89460
5,lua,fca,4,47770-47796
6,lua,fca,4,70255-70357
7,lua,fca,4,7805-7821
8,lua,fca,4,30484-30607
9,lua,fca,4,35326-35333
10,lua,fca,4,73596-73609
11,lua,fca,4,31617-31623
12,lua,fca,4,71994-71999
13,lua,fca,4,72490-72496
14,lua,fca,4,73049-73062
15,lua,fca,4,75405-75420
16,lua,fca,4,30780-30803
17,lua,fca,4,75321-75344
18,lua,fca,4,6853-6860
19,lua,fca,4,29283-29298
20,lua,fca,4,30803-30821
21,lua,fca,4,75416-75420
22,lua,fca,4,15694-15996
23,lua,fca,4,72022-72027
24,lua,fca,4,27832-27844
25,lua,fca,4,46980-47028
26,lua,fca,4,72015-72020
27,lua,fca,4,75302-75307
28,lua,fca,4,73741-73756
29,lua,fca,4,75316-75321
30,lua,fca,4,32104-32114
31,lua,fca,4,72443-72975
32,lua,fca,4,33535-33561
33,lua,fca,4,31353-31363
34,lua,fca,4,72008-72013
35,lua,fca,4,27717-27754
36,lua,fca,4,74395-74471
37,lua,fca,4,59875-59880
38,lua,fca,4,67613-67642
39,lua,fca,4,65971-66078
40,lua,fca,4,31784-31794
41,lua,fca,4,50702-50769
42,lua,fca,4,58984-59034
43,lua,fca,4,76300-76321
44,lua,fca,4,60126-60132
45,lua,fca,4,27891-27900
46,lua,fca,4,58984-59002
47,lua,fca,4,11273-11367
48,lua,fca,4,53701-53732
49,lua,fca,4,10007-10059
50,lua,fca,4,50793-50806
51,lua,fca,4,17823-17851
52,lua,fca,4,47224-47238
53,lua,fca,4,30841-30892
54,lua,fca,4,59485-59502
55,lua,fca,4,27535-27551
56,lua,fca,4,70440-70453
57,lua,fca,4,68754-68762
58,lua,fca,4,43486-43501
59,lua,fca,4,51912-51968
60,lua,fca,4,50977-50994
61,lua,fca,4,31825-31834
62,lua,fca,4,59467-59477
63,lua,fca,4,51619-51640
64,lua,fca,4,72190-72208
65,lua,fca,4,77195-77217
66,lua,fca,4,60231-60239
67,lua,fca,4,10270-10284
68,lua,fca,4,34337-34428
69,lua,fca,4,54141-54172
70,lua,fca,4,72699-72717
71,lua,fca,4,58677-58687
72,lua,fca,4,101-110
73,lua,fca,4,57571-57716
74,lua,fca,4,47912-47929
75,lua,fca,4,73148-73154
76,lua,fca,4,40608-40615
77,lua,fca,4,43190-43201
78,lua,fca,4,73323-73331
79,lua,fca,4,54569-54590
80,lua,fca,4,46788-46872
81,lua,fca,4,52845-52885
82,lua,fca,4,69718-69791
83,lua,fca,4,51287-51308
84,lua,fca,4,55719-54276
85,lua,fca,4,73841-74059
86,lua,fca,4,64926-64935
87,lua,fca,4,11283-11288
88,lua,fca,4,9983-10061
89,lua,fca,4,54276-54307
90,lua,fca,4,43116-43146
91,lua,fca,4,41222-41182
92,lua,fca,4,42653-42664
93,lua,fca,4,53146-53166
94,lua,fca,4,52244-52265
95,lua,fca,4,54367-54382
96,lua,fca,4,58334-58355
97,lua,fca,4,72514-72541
98,lua,fca,4,72496-72505
99,lua,fca,4,54569-54576
100,lua,fca,4,67091-67114
101,lua,fca,4,53007-53040
102,lua,fca,4,32114-32123
103,lua,fca,4,7442-7449
104,lua,fca,4,69416-69484
105,lua,fca,4,38652-38681
106,lua,fca,4,52050-52106
107,lua,fca,4,72272-72276
108,lua,fca,4,51382-51461
109,lua,fca,4,32783-32798
110,lua,fca,4,38644-38681
111,lua,fca,4,38687-38724
112,lua,fca,4,41726-41729
113,lua,fca,4,50910-50936
114,lua,fca,4,32166-32199
115,lua,fca,4,71164-71170
116,lua,fca,4,38698-38724
117,lua,fca,4,74890-74910
118,lua,fca,4,54180-54198
119,lua,fca,4,41950-42098
120,lua,fca,4,65083-65091
121,lua,fca,4,26793-26805
122,lua,fca,4,47157-47253
123,lua,fca,4,10252-10445
124,lua,fca,4,48337-48379
125,lua,fca,4,51598-51619
126,lua,fca,4,50936-50946
127,lua,fca,4,50636-50659
128,lua,fca,4,53885-53916
129,lua,fca,4,8930-8966
130,lua,fca,4,42269-42297
131,lua,fca,4,50057-50102
132,lua,fca,4,47365-47381
133,lua,fca,4,39265-39267
134,lua,fca,4,32851-32968
135,lua,fca,4,53790-53805
136,lua,fca,4,70958-70963
137,lua,fca,4,39435-39470
138,lua,fca,4,48676-48739
