,benchmark,fuzzer_combination,expid,edge
0,lua,fcb,12,7624-7630
1,lua,fcb,12,72696-72975
2,lua,fcb,12,71981-72784
3,lua,fcb,12,20689-20702
4,lua,fcb,12,86992-86996
5,lua,fcb,12,42321-42324
6,lua,fcb,12,26433-26449
7,lua,fcb,12,47715-47726
8,lua,fcb,12,76338-76352
9,lua,fcb,12,35333-35326
10,lua,fcb,12,975-995
11,lua,fcb,12,26591-26650
12,lua,fcb,12,71981-71994
13,lua,fcb,12,72463-72490
14,lua,fcb,12,73030-73039
15,lua,fcb,12,11186-11192
16,lua,fcb,12,72022-72027
17,lua,fcb,12,27844-27846
18,lua,fcb,12,46948-46980
19,lua,fcb,12,6853-6860
20,lua,fcb,12,75286-75302
21,lua,fcb,12,75350-75395
22,lua,fcb,12,75286-75297
23,lua,fcb,12,30803-30821
24,lua,fcb,12,73756-73766
25,lua,fcb,12,29283-29298
26,lua,fcb,12,72015-72020
27,lua,fcb,12,75316-75321
28,lua,fcb,12,33535-33561
29,lua,fcb,12,72008-72013
30,lua,fcb,12,27754-27756
31,lua,fcb,12,56953-57084
32,lua,fcb,12,32084-32094
33,lua,fcb,12,46391-46426
34,lua,fcb,12,57488-57507
35,lua,fcb,12,10548-10556
36,lua,fcb,12,53732-53762
37,lua,fcb,12,74715-74728
38,lua,fcb,12,8096-8126
39,lua,fcb,12,60111-60126
40,lua,fcb,12,27891-27900
41,lua,fcb,12,58984-59002
42,lua,fcb,12,42742-42780
43,lua,fcb,12,73204-73160
44,lua,fcb,12,53701-53732
45,lua,fcb,12,7449-7536
46,lua,fcb,12,10466-10469
47,lua,fcb,12,64261-64286
48,lua,fcb,12,46644-46651
49,lua,fcb,12,21686-21700
50,lua,fcb,12,30841-30892
51,lua,fcb,12,77195-77217
52,lua,fcb,12,59463-59467
53,lua,fcb,12,72699-72717
54,lua,fcb,12,70440-70453
55,lua,fcb,12,68754-68762
56,lua,fcb,12,65971-66078
57,lua,fcb,12,43486-43501
58,lua,fcb,12,43234-43262
59,lua,fcb,12,51098-55719
60,lua,fcb,12,59467-59477
61,lua,fcb,12,51640-55719
62,lua,fcb,12,57716-57736
63,lua,fcb,12,72190-72208
64,lua,fcb,12,60209-60213
65,lua,fcb,12,67613-67642
66,lua,fcb,12,52050-52106
67,lua,fcb,12,71060-71064
68,lua,fcb,12,54172-54195
69,lua,fcb,12,52902-52920
70,lua,fcb,12,53762-53788
71,lua,fcb,12,56911-56719
72,lua,fcb,12,84846-84870
73,lua,fcb,12,73323-73331
74,lua,fcb,12,70911-70929
75,lua,fcb,12,51382-51461
76,lua,fcb,12,58687-58689
77,lua,fcb,12,101-110
78,lua,fcb,12,89688-89693
79,lua,fcb,12,89799-89816
80,lua,fcb,12,73741-73749
81,lua,fcb,12,27551-27635
82,lua,fcb,12,47929-48028
83,lua,fcb,12,34337-34428
84,lua,fcb,12,40615-40626
85,lua,fcb,12,43234-43242
86,lua,fcb,12,72443-72975
87,lua,fcb,12,54569-54590
88,lua,fcb,12,89667-89683
89,lua,fcb,12,46788-46872
90,lua,fcb,12,89711-89716
91,lua,fcb,12,26591-26874
92,lua,fcb,12,69699-69718
93,lua,fcb,12,72339-72366
94,lua,fcb,12,10659-10674
95,lua,fcb,12,32123-32158
96,lua,fcb,12,54402-54423
97,lua,fcb,12,31353-31363
98,lua,fcb,12,64935-64941
99,lua,fcb,12,11273-11283
100,lua,fcb,12,9983-10061
101,lua,fcb,12,42649-42661
102,lua,fcb,12,48496-48532
103,lua,fcb,12,41143-41169
104,lua,fcb,12,54610-54641
105,lua,fcb,12,53146-53166
106,lua,fcb,12,54382-54402
107,lua,fcb,12,58334-58355
108,lua,fcb,12,54576-54590
109,lua,fcb,12,43190-43229
110,lua,fcb,12,84816-84835
111,lua,fcb,12,69484-69500
112,lua,fcb,12,38652-38681
113,lua,fcb,12,86697-86710
114,lua,fcb,12,38644-38681
115,lua,fcb,12,38687-38724
116,lua,fcb,12,41726-41729
117,lua,fcb,12,50910-50936
118,lua,fcb,12,38698-38724
119,lua,fcb,12,32248-32250
120,lua,fcb,12,54180-54198
121,lua,fcb,12,26449-26470
122,lua,fcb,12,41950-42098
123,lua,fcb,12,74890-74910
124,lua,fcb,12,65083-65091
125,lua,fcb,12,52244-52265
126,lua,fcb,12,26793-26805
127,lua,fcb,12,32412-32418
128,lua,fcb,12,10874-10881
129,lua,fcb,12,48337-48379
130,lua,fcb,12,51585-51598
131,lua,fcb,12,50946-51077
132,lua,fcb,12,50636-50659
133,lua,fcb,12,53925-53946
134,lua,fcb,12,8991-8997
135,lua,fcb,12,42297-42312
136,lua,fcb,12,43116-43135
137,lua,fcb,12,47365-47381
138,lua,fcb,12,38821-38844
139,lua,fcb,12,30912-30977
140,lua,fcb,12,65971-66231
141,lua,fcb,12,53701-53711
142,lua,fcb,12,6702-6730
143,lua,fcb,12,39435-39470
144,lua,fcb,12,48658-48676
145,lua,fcb,12,49633-49643
146,lua,fcb,12,49079-49092
147,lua,fcb,12,72717-72975
148,lua,fcb,12,67085-67091
149,lua,fcb,12,28436-28533
150,lua,fcb,12,69999-70015
151,lua,fcb,12,69206-69219
152,lua,fcb,12,72635-72667
153,lua,fcb,12,35900-35913
154,lua,fcb,12,86697-86836
155,lua,fcb,12,29950-29982
156,lua,fcb,12,10252-10334
157,lua,fcb,12,60455-60471
158,lua,fcb,12,9545-9569
159,lua,fcb,12,59101-59113
160,lua,fcb,12,70507-70514
161,lua,fcb,12,69919-69929
162,lua,fcb,12,47508-47549
163,lua,fcb,12,47523-47537
164,lua,fcb,12,56446-56453
165,lua,fcb,12,10387-10407
166,lua,fcb,12,27012-27019
167,lua,fcb,12,81792-81813
168,lua,fcb,12,7794-7805
169,lua,fcb,12,2911-2918
170,lua,fcb,12,90737-91019
171,lua,fcb,12,60050-60086
172,lua,fcb,12,90737-90749
173,lua,fcb,12,91657-91674
174,lua,fcb,12,91626-91634
175,lua,fcb,12,10865-10874
176,lua,fcb,12,90715-90728
177,lua,fcb,12,23368-23402
178,lua,fcb,12,62714-62769
179,lua,fcb,12,84791-84807
180,lua,fcb,12,89352-89457
181,lua,fcb,12,90651-90658
182,lua,fcb,12,60181-60203
183,lua,fcb,12,32783-32798
184,lua,fcb,12,62698-62769
185,lua,fcb,12,28565-28652
186,lua,fcb,12,11201-11206
187,lua,fcb,12,32160-32199
188,lua,fcb,12,66116-66124
189,lua,fcb,12,69952-69957
190,lua,fcb,12,55633-55699
191,lua,fcb,12,13689-13696
192,lua,fcb,12,73829-74059
193,lua,fcb,12,73847-74059
194,lua,fcb,12,12166-12186
195,lua,fcb,12,84765-84781
196,lua,fcb,12,39484-39497
197,lua,fcb,12,70956-70963
198,lua,fcb,12,39092-39120
199,lua,fcb,12,38856-38883
200,lua,fcb,12,54107-54121
201,lua,fcb,12,20144-20217
202,lua,fcb,12,48782-48848
203,lua,fcb,12,48194-48218
204,lua,fcb,12,47663-47800
205,lua,fcb,12,47726-47796
206,lua,fcb,12,57810-57859
207,lua,fcb,12,64404-64439
208,lua,fcb,12,61491-61516
209,lua,fcb,12,64193-64211
210,lua,fcb,12,6767-6774
211,lua,fcb,12,9813-9835
212,lua,fcb,12,71603-71616
213,lua,fcb,12,76885-76898
214,lua,fcb,12,24164-24140
215,lua,fcb,12,20567-20574
216,lua,fcb,12,20188-20208
217,lua,fcb,12,16463-16492
218,lua,fcb,12,47279-47286
219,lua,fcb,12,10243-10466
220,lua,fcb,12,50219-50240
221,lua,fcb,12,51578-51596
222,lua,fcb,12,70592-70597
223,lua,fcb,12,63160-63173
224,lua,fcb,12,73823-74059
225,lua,fcb,12,31765-31794
226,lua,fcb,12,43486-43526
227,lua,fcb,12,54924-55719
228,lua,fcb,12,64156-64179
229,lua,fcb,12,53087-53108
230,lua,fcb,12,49090-49153
231,lua,fcb,12,49613-49631
232,lua,fcb,12,52178-52193
233,lua,fcb,12,54910-54924
234,lua,fcb,12,40660-40667
235,lua,fcb,12,68456-68502
236,lua,fcb,12,89659-89693
237,lua,fcb,12,14102-14109
238,lua,fcb,12,63179-63186
239,lua,fcb,12,48925-48946
240,lua,fcb,12,73446-73478
241,lua,fcb,12,48600-48610
242,lua,fcb,12,72514-72541
243,lua,fcb,12,5991-6017
244,lua,fcb,12,59506-59516
245,lua,fcb,12,59343-59360
246,lua,fcb,12,52193-52218
247,lua,fcb,12,72565-72592
248,lua,fcb,12,50816-50846
249,lua,fcb,12,51502-51528
250,lua,fcb,12,72428-72434
251,lua,fcb,12,39092-39103
252,lua,fcb,12,55719-45770
253,lua,fcb,12,72496-72505
254,lua,fcb,12,57298-57307
255,lua,fcb,12,51210-51223
256,lua,fcb,12,11390-11479
257,lua,fcb,12,26391-26410
258,lua,fcb,12,73414-73419
259,lua,fcb,12,9572-9545
260,lua,fcb,12,70516-70521
