,benchmark,fuzzer_combination,expid,edge
0,mp42aac,fca,5,81673-81678
1,mp42aac,fca,5,52061-52188
2,mp42aac,fca,5,26583-26608
3,mp42aac,fca,5,7130-7133
4,mp42aac,fca,5,51988-51994
5,mp42aac,fca,5,53521-53523
6,mp42aac,fca,5,26548-26550
7,mp42aac,fca,5,52459-52464
8,mp42aac,fca,5,43621-43631
9,mp42aac,fca,5,26415-26564
10,mp42aac,fca,5,20487-20503
11,mp42aac,fca,5,52018-52034
12,mp42aac,fca,5,52051-52061
13,mp42aac,fca,5,75989-76018
14,mp42aac,fca,5,24974-24985
15,mp42aac,fca,5,118340-118510
16,mp42aac,fca,5,6716-6719
17,mp42aac,fca,5,20480-20509
18,mp42aac,fca,5,38629-38632
19,mp42aac,fca,5,79563-79592
20,mp42aac,fca,5,77593-77597
21,mp42aac,fca,5,117022-117039
22,mp42aac,fca,5,5392-5398
23,mp42aac,fca,5,30000-30009
24,mp42aac,fca,5,24694-24778
25,mp42aac,fca,5,116661-116683
26,mp42aac,fca,5,119347-119352
27,mp42aac,fca,5,52034-52040
28,mp42aac,fca,5,52488-52744
29,mp42aac,fca,5,2984-2999
30,mp42aac,fca,5,81596-81601
31,mp42aac,fca,5,17971-17976
32,mp42aac,fca,5,38552-38564
33,mp42aac,fca,5,27913-27930
34,mp42aac,fca,5,52803-52823
35,mp42aac,fca,5,52700-52702
36,mp42aac,fca,5,865-889
37,mp42aac,fca,5,29305-29312
38,mp42aac,fca,5,49694-49722
39,mp42aac,fca,5,119591-119685
40,mp42aac,fca,5,77412-77695
41,mp42aac,fca,5,71966-71982
42,mp42aac,fca,5,80320-80342
43,mp42aac,fca,5,78959-78961
44,mp42aac,fca,5,7819-7886
45,mp42aac,fca,5,96391-96394
46,mp42aac,fca,5,120353-120359
47,mp42aac,fca,5,78998-79012
48,mp42aac,fca,5,94309-94347
49,mp42aac,fca,5,94464-94526
50,mp42aac,fca,5,119073-119076
51,mp42aac,fca,5,120491-120496
52,mp42aac,fca,5,29243-29265
53,mp42aac,fca,5,50753-50760
54,mp42aac,fca,5,116933-116971
55,mp42aac,fca,5,116944-116949
56,mp42aac,fca,5,126172-126176
57,mp42aac,fca,5,77834-77839
58,mp42aac,fca,5,118243-118265
59,mp42aac,fca,5,119506-119528
60,mp42aac,fca,5,117202-117206
61,mp42aac,fca,5,118540-118555
62,mp42aac,fca,5,5185-5189
63,mp42aac,fca,5,14461-14517
64,mp42aac,fca,5,96633-96645
65,mp42aac,fca,5,52624-52744
66,mp42aac,fca,5,25113-25118
67,mp42aac,fca,5,77618-77625
68,mp42aac,fca,5,2928-2943
69,mp42aac,fca,5,126051-126073
70,mp42aac,fca,5,81688-81692
71,mp42aac,fca,5,38463-38486
72,mp42aac,fca,5,78810-78832
73,mp42aac,fca,5,51943-51956
74,mp42aac,fca,5,94494-94526
75,mp42aac,fca,5,20247-20348
76,mp42aac,fca,5,38032-38049
77,mp42aac,fca,5,94498-94526
78,mp42aac,fca,5,20415-20426
79,mp42aac,fca,5,7777-7782
80,mp42aac,fca,5,94320-94325
81,mp42aac,fca,5,79886-79904
82,mp42aac,fca,5,79935-79941
83,mp42aac,fca,5,3993-4031
84,mp42aac,fca,5,85802-85806
85,mp42aac,fca,5,79944-79985
86,mp42aac,fca,5,48205-48220
87,mp42aac,fca,5,96325-96331
88,mp42aac,fca,5,120590-120617
89,mp42aac,fca,5,49849-51009
90,mp42aac,fca,5,1170-1228
91,mp42aac,fca,5,96593-96624
92,mp42aac,fca,5,96661-96649
93,mp42aac,fca,5,52018-52024
94,mp42aac,fca,5,80096-80119
95,mp42aac,fca,5,48844-48851
96,mp42aac,fca,5,77447-77513
97,mp42aac,fca,5,118814-118875
98,mp42aac,fca,5,81572-81585
99,mp42aac,fca,5,21983-22020
