,benchmark,fuzzer_combination,expid,edge
0,mp42aac,fcb,5,126038-126046
1,mp42aac,fcb,5,118-194
2,mp42aac,fcb,5,130-137
3,mp42aac,fcb,5,14296-14312
4,mp42aac,fcb,5,26554-26556
5,mp42aac,fcb,5,52464-52469
6,mp42aac,fcb,5,27944-27952
7,mp42aac,fcb,5,598-643
8,mp42aac,fcb,5,43615-43621
9,mp42aac,fcb,5,77658-77666
10,mp42aac,fcb,5,38488-38522
11,mp42aac,fcb,5,141-148
12,mp42aac,fcb,5,20480-20509
13,mp42aac,fcb,5,38629-38632
14,mp42aac,fcb,5,51994-52006
15,mp42aac,fcb,5,79592-79595
16,mp42aac,fcb,5,77597-77695
17,mp42aac,fcb,5,117013-117022
18,mp42aac,fcb,5,30009-30022
19,mp42aac,fcb,5,24974-24985
20,mp42aac,fcb,5,25256-25265
21,mp42aac,fcb,5,116661-116683
22,mp42aac,fcb,5,52051-52061
23,mp42aac,fcb,5,119352-119368
24,mp42aac,fcb,5,80267-80284
25,mp42aac,fcb,5,52472-52488
26,mp42aac,fcb,5,2984-2999
27,mp42aac,fcb,5,81601-81623
28,mp42aac,fcb,5,17971-17976
29,mp42aac,fcb,5,38568-38570
30,mp42aac,fcb,5,77447-77451
31,mp42aac,fcb,5,52702-52706
32,mp42aac,fcb,5,27913-27930
33,mp42aac,fcb,5,53651-53659
34,mp42aac,fcb,5,52664-52681
35,mp42aac,fcb,5,94526-94529
36,mp42aac,fcb,5,29312-29363
37,mp42aac,fcb,5,49454-49689
38,mp42aac,fcb,5,71905-71915
39,mp42aac,fcb,5,80320-80342
40,mp42aac,fcb,5,78942-78945
41,mp42aac,fcb,5,7886-7890
42,mp42aac,fcb,5,49785-49792
43,mp42aac,fcb,5,120340-120345
44,mp42aac,fcb,5,78998-79012
45,mp42aac,fcb,5,94296-94309
46,mp42aac,fcb,5,94458-94460
47,mp42aac,fcb,5,120496-120518
48,mp42aac,fcb,5,29238-29243
49,mp42aac,fcb,5,52014-52018
50,mp42aac,fcb,5,116933-116971
51,mp42aac,fcb,5,116949-116971
52,mp42aac,fcb,5,126160-126164
53,mp42aac,fcb,5,77839-77862
54,mp42aac,fcb,5,118243-118265
55,mp42aac,fcb,5,117363-117371
56,mp42aac,fcb,5,119506-119528
57,mp42aac,fcb,5,117202-117206
58,mp42aac,fcb,5,118540-118555
59,mp42aac,fcb,5,5389-5392
60,mp42aac,fcb,5,5185-5189
61,mp42aac,fcb,5,14461-14517
62,mp42aac,fcb,5,7782-7804
63,mp42aac,fcb,5,52018-52024
64,mp42aac,fcb,5,38463-38486
65,mp42aac,fcb,5,52624-52744
66,mp42aac,fcb,5,96606-96610
67,mp42aac,fcb,5,94320-94325
68,mp42aac,fcb,5,48205-48220
69,mp42aac,fcb,5,20247-20348
70,mp42aac,fcb,5,52040-52043
71,mp42aac,fcb,5,78805-78810
72,mp42aac,fcb,5,25113-25118
73,mp42aac,fcb,5,3993-4031
74,mp42aac,fcb,5,96339-96362
75,mp42aac,fcb,5,20415-20426
76,mp42aac,fcb,5,79974-79978
77,mp42aac,fcb,5,126046-126051
78,mp42aac,fcb,5,96653-96656
79,mp42aac,fcb,5,79944-79985
80,mp42aac,fcb,5,85643-85664
81,mp42aac,fcb,5,77493-77500
82,mp42aac,fcb,5,2943-2956
83,mp42aac,fcb,5,77520-77679
84,mp42aac,fcb,5,120590-120617
85,mp42aac,fcb,5,96578-96584
86,mp42aac,fcb,5,85802-85806
87,mp42aac,fcb,5,85946-85950
88,mp42aac,fcb,5,85944-85967
89,mp42aac,fcb,5,1170-1228
90,mp42aac,fcb,5,81585-81623
91,mp42aac,fcb,5,117746-117755
92,mp42aac,fcb,5,85906-85910
93,mp42aac,fcb,5,49800-49807
94,mp42aac,fcb,5,81688-81692
95,mp42aac,fcb,5,51956-52188
96,mp42aac,fcb,5,29214-29227
97,mp42aac,fcb,5,19108-19156
98,mp42aac,fcb,5,72791-72796
99,mp42aac,fcb,5,119041-119044
