,benchmark,fuzzer_combination,expid,edge
0,nm,fca,1,174-181
1,nm,fca,1,22183-22197
2,nm,fca,1,176787-176791
3,nm,fca,1,137283-137305
4,nm,fca,1,46389-47226
5,nm,fca,1,177611-177622
6,nm,fca,1,27236-28134
7,nm,fca,1,17754-17767
8,nm,fca,1,24505-24521
9,nm,fca,1,24497-24521
10,nm,fca,1,22187-22211
11,nm,fca,1,27244-28134
12,nm,fca,1,27133-27137
13,nm,fca,1,176806-177607
14,nm,fca,1,46395-47226
15,nm,fca,1,195791-195794
16,nm,fca,1,25987-25990
17,nm,fca,1,23152-22211
18,nm,fca,1,539-547
19,nm,fca,1,5228-5247
20,nm,fca,1,23218-22214
21,nm,fca,1,23174-22211
22,nm,fca,1,22200-22211
23,nm,fca,1,27252-28134
24,nm,fca,1,24513-24521
25,nm,fca,1,26541-26552
26,nm,fca,1,134965-135791
27,nm,fca,1,148716-149497
28,nm,fca,1,137293-137305
29,nm,fca,1,177650-177878
30,nm,fca,1,26075-26086
31,nm,fca,1,10215-10221
32,nm,fca,1,27316-28121
33,nm,fca,1,177653-177660
34,nm,fca,1,23163-22211
35,nm,fca,1,23185-22211
36,nm,fca,1,26003-26034
37,nm,fca,1,26102-26122
38,nm,fca,1,25990-26046
39,nm,fca,1,26371-26383
40,nm,fca,1,26226-26237
41,nm,fca,1,26119-27101
42,nm,fca,1,13933-13963
43,nm,fca,1,25990-27068
44,nm,fca,1,139575-139582
45,nm,fca,1,26128-26142
46,nm,fca,1,26534-27048
47,nm,fca,1,27085-27108
48,nm,fca,1,26109-26117
49,nm,fca,1,138693-138703
50,nm,fca,1,138360-138393
51,nm,fca,1,46400-46405
52,nm,fca,1,27306-27306
53,nm,fca,1,23207-22211
54,nm,fca,1,26414-27068
55,nm,fca,1,139537-139544
56,nm,fca,1,26325-26357
57,nm,fca,1,15184-15194
58,nm,fca,1,27320-28129
59,nm,fca,1,26249-26256
60,nm,fca,1,148716-148723
61,nm,fca,1,139649-139691
62,nm,fca,1,26391-26414
63,nm,fca,1,26102-27068
64,nm,fca,1,143919-143933
65,nm,fca,1,26460-27048
66,nm,fca,1,26418-26448
67,nm,fca,1,139518-139523
68,nm,fca,1,20048-20057
69,nm,fca,1,138703-138759
70,nm,fca,1,138776-138811
71,nm,fca,1,139691-139699
72,nm,fca,1,26341-26360
73,nm,fca,1,138793-138811
74,nm,fca,1,139704-139708
75,nm,fca,1,139699-139717
76,nm,fca,1,26405-26117
77,nm,fca,1,5286-5338
78,nm,fca,1,6010-6014
79,nm,fca,1,26611-27055
80,nm,fca,1,26483-26523
81,nm,fca,1,26557-26562
82,nm,fca,1,27088-27108
83,nm,fca,1,26341-26312
84,nm,fca,1,176838-177603
85,nm,fca,1,23196-22211
86,nm,fca,1,26604-26945
87,nm,fca,1,26604-26637
88,nm,fca,1,26391-27068
89,nm,fca,1,26911-26945
90,nm,fca,1,26256-26237
91,nm,fca,1,26604-26669
92,nm,fca,1,242477-242481
93,nm,fca,1,139708-139712
94,nm,fca,1,26604-26614
95,nm,fca,1,26371-26386
96,nm,fca,1,176858-177603
97,nm,fca,1,28118-28121
98,nm,fca,1,26476-26483
99,nm,fca,1,134970-134975
100,nm,fca,1,27350-27515
101,nm,fca,1,27330-28129
102,nm,fca,1,26267-26275
103,nm,fca,1,46415-47226
104,nm,fca,1,176845-176864
105,nm,fca,1,134985-135791
106,nm,fca,1,285613-285691
107,nm,fca,1,46415-46420
108,nm,fca,1,25214-25214
109,nm,fca,1,25178-25184
110,nm,fca,1,176892-176903
111,nm,fca,1,2322-2416
112,nm,fca,1,177077-177080
113,nm,fca,1,177134-177142
114,nm,fca,1,135024-135031
115,nm,fca,1,134989-135791
116,nm,fca,1,176909-177603
117,nm,fca,1,176916-176935
118,nm,fca,1,46459-46466
119,nm,fca,1,46424-46438
120,nm,fca,1,176945-176948
121,nm,fca,1,26580-26596
122,nm,fca,1,26405-26090
123,nm,fca,1,26604-26972
124,nm,fca,1,27042-27045
125,nm,fca,1,26811-26866
126,nm,fca,1,285618-285596
127,nm,fca,1,4409-4436
128,nm,fca,1,27568-27575
129,nm,fca,1,176903-176909
130,nm,fca,1,9955-9974
131,nm,fca,1,135096-135108
132,nm,fca,1,243544-243547
133,nm,fca,1,46569-47230
134,nm,fca,1,46531-46543
135,nm,fca,1,46447-47226
136,nm,fca,1,46569-46574
137,nm,fca,1,46466-46476
138,nm,fca,1,46495-46519
139,nm,fca,1,47180-47230
140,nm,fca,1,11675-11686
141,nm,fca,1,177120-177130
142,nm,fca,1,242488-242481
143,nm,fca,1,177482-177550
144,nm,fca,1,26772-26871
145,nm,fca,1,243651-244000
146,nm,fca,1,25206-25209
147,nm,fca,1,243164-243172
