,benchmark,fuzzer_combination,expid,edge
0,nm,fcb,7,284945-284958
1,nm,fcb,7,5221-5225
2,nm,fcb,7,22183-22197
3,nm,fcb,7,137283-137305
4,nm,fcb,7,22211-23148
5,nm,fcb,7,285681-285734
6,nm,fcb,7,134954-135791
7,nm,fcb,7,46389-47226
8,nm,fcb,7,22187-22200
9,nm,fcb,7,24497-24505
10,nm,fcb,7,177629-177878
11,nm,fcb,7,27236-28134
12,nm,fcb,7,27337-27345
13,nm,fcb,7,26596-27048
14,nm,fcb,7,148708-149501
15,nm,fcb,7,2256-2263
16,nm,fcb,7,24497-24521
17,nm,fcb,7,5228-5247
18,nm,fcb,7,134954-134960
19,nm,fcb,7,27252-28134
20,nm,fcb,7,24505-24521
21,nm,fcb,7,27244-28134
22,nm,fcb,7,23196-23207
23,nm,fcb,7,23185-22211
24,nm,fcb,7,23152-22211
25,nm,fcb,7,23163-22211
26,nm,fcb,7,23174-22211
27,nm,fcb,7,23196-22211
28,nm,fcb,7,23207-22211
29,nm,fcb,7,27068-25973
30,nm,fcb,7,5260-5279
31,nm,fcb,7,5344-5361
32,nm,fcb,7,10193-10215
33,nm,fcb,7,26541-26552
34,nm,fcb,7,26003-26034
35,nm,fcb,7,148716-149497
36,nm,fcb,7,26391-26418
37,nm,fcb,7,285479-285495
38,nm,fcb,7,26046-27068
39,nm,fcb,7,26117-26102
40,nm,fcb,7,27316-28121
41,nm,fcb,7,26102-26414
42,nm,fcb,7,27345-27350
43,nm,fcb,7,148723-148734
44,nm,fcb,7,148723-148740
45,nm,fcb,7,27320-28129
46,nm,fcb,7,28118-28121
47,nm,fcb,7,27330-28129
48,nm,fcb,7,1049-1060
49,nm,fcb,7,26237-26264
50,nm,fcb,7,26128-26142
51,nm,fcb,7,26090-26119
52,nm,fcb,7,26102-27068
53,nm,fcb,7,26418-26448
54,nm,fcb,7,2111-2124
55,nm,fcb,7,26391-26405
56,nm,fcb,7,26391-27068
57,nm,fcb,7,2127-2136
58,nm,fcb,7,242488-242481
59,nm,fcb,7,26174-26180
60,nm,fcb,7,11641-11636
61,nm,fcb,7,11645-11667
62,nm,fcb,7,26267-26292
63,nm,fcb,7,242415-242454
64,nm,fcb,7,26341-26312
65,nm,fcb,7,25994-26090
66,nm,fcb,7,26357-27101
67,nm,fcb,7,2136-2142
68,nm,fcb,7,25990-27068
69,nm,fcb,7,25171-25178
70,nm,fcb,7,26299-27101
71,nm,fcb,7,285776-285784
72,nm,fcb,7,26596-26604
73,nm,fcb,7,243631-243651
74,nm,fcb,7,243137-243137
75,nm,fcb,7,27360-28118
76,nm,fcb,7,27448-27472
77,nm,fcb,7,25206-25209
78,nm,fcb,7,27515-28118
79,nm,fcb,7,27525-27541
80,nm,fcb,7,248307-248317
81,nm,fcb,7,247857-248307
82,nm,fcb,7,248307-248321
83,nm,fcb,7,243164-243172
84,nm,fcb,7,27589-28118
85,nm,fcb,7,245867-245879
86,nm,fcb,7,248439-248452
87,nm,fcb,7,245337-245354
88,nm,fcb,7,230909-231330
89,nm,fcb,7,242682-243268
90,nm,fcb,7,247191-247223
91,nm,fcb,7,229654-233405
92,nm,fcb,7,236156-236162
93,nm,fcb,7,238187-238193
94,nm,fcb,7,245833-245841
95,nm,fcb,7,236015-236018
96,nm,fcb,7,246824-246829
97,nm,fcb,7,243156-243172
98,nm,fcb,7,230622-233405
99,nm,fcb,7,228722-228732
100,nm,fcb,7,229056-229071
101,nm,fcb,7,233280-233289
102,nm,fcb,7,232229-233259
103,nm,fcb,7,247075-247084
104,nm,fcb,7,27568-28124
105,nm,fcb,7,27581-28124
106,nm,fcb,7,28042-28118
107,nm,fcb,7,26483-26529
108,nm,fcb,7,13898-13933
109,nm,fcb,7,137283-137293
110,nm,fcb,7,27589-27592
111,nm,fcb,7,27787-27807
112,nm,fcb,7,26604-27055
113,nm,fcb,7,24541-24565
114,nm,fcb,7,26945-26972
115,nm,fcb,7,26604-26611
116,nm,fcb,7,26604-26614
117,nm,fcb,7,26604-26669
118,nm,fcb,7,26911-26945
119,nm,fcb,7,26562-27048
120,nm,fcb,7,27417-28124
121,nm,fcb,7,27415-28118
122,nm,fcb,7,26811-26866
123,nm,fcb,7,26604-26972
124,nm,fcb,7,27337-28121
125,nm,fcb,7,27771-27914
126,nm,fcb,7,27615-28118
127,nm,fcb,7,27627-28118
128,nm,fcb,7,27654-27658
129,nm,fcb,7,27654-28118
130,nm,fcb,7,27738-28118
131,nm,fcb,7,13148-13293
132,nm,fcb,7,138759-138811
133,nm,fcb,7,138788-138793
134,nm,fcb,7,139544-139549
135,nm,fcb,7,28111-27581
136,nm,fcb,7,19878-19870
137,nm,fcb,7,27975-28042
138,nm,fcb,7,28054-28118
139,nm,fcb,7,139575-139582
140,nm,fcb,7,138793-138811
141,nm,fcb,7,28100-28118
142,nm,fcb,7,137543-137546
143,nm,fcb,7,235642-235649
144,nm,fcb,7,26772-26871
145,nm,fcb,7,236156-236166
146,nm,fcb,7,236169-236178
147,nm,fcb,7,139496-139518
148,nm,fcb,7,246311-246329
149,nm,fcb,7,139699-139704
150,nm,fcb,7,139699-139717
151,nm,fcb,7,231847-231858
152,nm,fcb,7,245247-247139
153,nm,fcb,7,139518-139527
154,nm,fcb,7,139704-139708
155,nm,fcb,7,235590-235609
156,nm,fcb,7,231970-232000
157,nm,fcb,7,139708-139712
158,nm,fcb,7,249206-249400
159,nm,fcb,7,141142-141149
160,nm,fcb,7,232238-232297
161,nm,fcb,7,11723-11730
162,nm,fcb,7,231108-231167
163,nm,fcb,7,238333-239575
164,nm,fcb,7,246366-246366
165,nm,fcb,7,245343-245829
166,nm,fcb,7,247249-247260
167,nm,fcb,7,26483-26523
168,nm,fcb,7,238214-239575
169,nm,fcb,7,230411-233405
170,nm,fcb,7,247191-247204
171,nm,fcb,7,247105-247112
172,nm,fcb,7,244996-245001
173,nm,fcb,7,232116-233259
174,nm,fcb,7,245224-246851
175,nm,fcb,7,232636-232647
176,nm,fcb,7,232744-232759
177,nm,fcb,7,230564-233405
178,nm,fcb,7,245232-245236
179,nm,fcb,7,230287-230290
180,nm,fcb,7,238337-238344
181,nm,fcb,7,228722-228739
182,nm,fcb,7,245711-245731
183,nm,fcb,7,233299-233329
184,nm,fcb,7,247342-247345
185,nm,fcb,7,235658-235707
186,nm,fcb,7,249370-249381
187,nm,fcb,7,238181-238193
188,nm,fcb,7,232700-232749
189,nm,fcb,7,228778-228778
190,nm,fcb,7,232456-233259
191,nm,fcb,7,230393-230407
192,nm,fcb,7,248008-248017
193,nm,fcb,7,229065-229071
194,nm,fcb,7,237106-237136
195,nm,fcb,7,230215-230244
196,nm,fcb,7,233440-233450
197,nm,fcb,7,231572-231586
198,nm,fcb,7,231959-231977
199,nm,fcb,7,243653-243658
200,nm,fcb,7,231219-231278
201,nm,fcb,7,246947-246951
202,nm,fcb,7,246093-246129
203,nm,fcb,7,231241-231269
204,nm,fcb,7,246139-246144
205,nm,fcb,7,243568-243579
206,nm,fcb,7,26476-26483
207,nm,fcb,7,230252-230252
208,nm,fcb,7,247051-247056
209,nm,fcb,7,246129-247139
210,nm,fcb,7,230649-230713
211,nm,fcb,7,229568-229647
212,nm,fcb,7,246155-246851
213,nm,fcb,7,230273-230284
214,nm,fcb,7,25184-25184
215,nm,fcb,7,240637-240641
216,nm,fcb,7,271032-271062
217,nm,fcb,7,134965-135791
218,nm,fcb,7,26460-27048
219,nm,fcb,7,233534-233516
220,nm,fcb,7,232951-232957
221,nm,fcb,7,231076-231085
