,benchmark,fuzzer_combination,expid,edge
0,objdump,fca,4,242378-242390
1,objdump,fca,4,127288-127299
2,objdump,fca,4,110476-110589
3,objdump,fca,4,242397-242419
4,objdump,fca,4,253803-253807
5,objdump,fca,4,119491-119781
6,objdump,fca,4,153217-153787
7,objdump,fca,4,129609-129613
8,objdump,fca,4,127327-128264
9,objdump,fca,4,132253-132258
10,objdump,fca,4,241787-242351
11,objdump,fca,4,127303-127327
12,objdump,fca,4,132352-133250
13,objdump,fca,4,132401-132413
14,objdump,fca,4,110385-110400
15,objdump,fca,4,281912-281920
16,objdump,fca,4,110479-110498
17,objdump,fca,4,131712-132164
18,objdump,fca,4,129621-129637
19,objdump,fca,4,151505-151511
20,objdump,fca,4,128268-127327
21,objdump,fca,4,132432-133237
22,objdump,fca,4,131668-131673
23,objdump,fca,4,132368-133250
24,objdump,fca,4,132299-132318
25,objdump,fca,4,132360-133250
26,objdump,fca,4,128301-128312
27,objdump,fca,4,128279-127327
28,objdump,fca,4,129629-129637
29,objdump,fca,4,254630-254640
30,objdump,fca,4,245766-245772
31,objdump,fca,4,253830-254611
32,objdump,fca,4,153228-153787
33,objdump,fca,4,244674-244696
34,objdump,fca,4,244663-244683
35,objdump,fca,4,242407-242419
36,objdump,fca,4,243537-243551
37,objdump,fca,4,127316-127327
38,objdump,fca,4,243873-243877
39,objdump,fca,4,244651-244663
40,objdump,fca,4,115594-115806
41,objdump,fca,4,281920-281928
42,objdump,fca,4,128301-127327
43,objdump,fca,4,128312-127327
44,objdump,fca,4,128323-127327
45,objdump,fca,4,244632-244637
46,objdump,fca,4,244763-244805
47,objdump,fca,4,131155-132217
48,objdump,fca,4,96395-96409
49,objdump,fca,4,246858-246865
50,objdump,fca,4,282774-282992
51,objdump,fca,4,133240-132413
52,objdump,fca,4,244632-244641
53,objdump,fca,4,98338-99121
54,objdump,fca,4,243890-243894
55,objdump,fca,4,243907-243911
56,objdump,fca,4,101933-101951
57,objdump,fca,4,244818-244822
58,objdump,fca,4,4331-4380
59,objdump,fca,4,96618-97804
60,objdump,fca,4,132436-133245
61,objdump,fca,4,132446-133245
62,objdump,fca,4,98923-99519
63,objdump,fca,4,97724-97728
64,objdump,fca,4,98338-98541
65,objdump,fca,4,98233-98278
66,objdump,fca,4,102640-102728
67,objdump,fca,4,106586-106593
68,objdump,fca,4,98952-98984
69,objdump,fca,4,96857-96864
70,objdump,fca,4,99079-99084
71,objdump,fca,4,95968-96045
72,objdump,fca,4,95942-95956
73,objdump,fca,4,104415-104428
74,objdump,fca,4,105314-105320
75,objdump,fca,4,107094-107097
76,objdump,fca,4,106596-106599
77,objdump,fca,4,98378-98378
78,objdump,fca,4,95974-96045
79,objdump,fca,4,132466-132476
80,objdump,fca,4,391982-391999
81,objdump,fca,4,131585-131599
82,objdump,fca,4,96634-96647
83,objdump,fca,4,132641-132657
84,objdump,fca,4,131106-132184
85,objdump,fca,4,131162-132184
86,objdump,fca,4,105065-105189
87,objdump,fca,4,96611-97804
88,objdump,fca,4,131678-132164
89,objdump,fca,4,96016-96045
90,objdump,fca,4,96658-97638
91,objdump,fca,4,106798-106984
92,objdump,fca,4,96450-96465
93,objdump,fca,4,96576-97804
94,objdump,fca,4,108102-108111
95,objdump,fca,4,98511-98526
96,objdump,fca,4,96104-96096
97,objdump,fca,4,101896-101905
98,objdump,fca,4,97091-97651
99,objdump,fca,4,97327-97342
100,objdump,fca,4,104317-104329
101,objdump,fca,4,98338-98771
102,objdump,fca,4,96184-96188
103,objdump,fca,4,98223-98239
104,objdump,fca,4,98338-99465
105,objdump,fca,4,97828-97834
106,objdump,fca,4,99212-99235
107,objdump,fca,4,101562-101564
108,objdump,fca,4,105551-105558
109,objdump,fca,4,101754-101762
110,objdump,fca,4,98338-98762
111,objdump,fca,4,101963-102098
112,objdump,fca,4,98362-99519
113,objdump,fca,4,95838-95853
114,objdump,fca,4,106632-106642
115,objdump,fca,4,107138-107141
116,objdump,fca,4,4272-5762
117,objdump,fca,4,97864-97870
118,objdump,fca,4,4052-4068
119,objdump,fca,4,96679-96735
120,objdump,fca,4,104541-104548
121,objdump,fca,4,97454-97458
122,objdump,fca,4,106741-106754
123,objdump,fca,4,100252-100254
124,objdump,fca,4,100527-100540
125,objdump,fca,4,108051-108060
126,objdump,fca,4,98241-98278
