,benchmark,fuzzer_combination,expid,edge
0,objdump,fcb,13,122728-122736
1,objdump,fcb,13,110472-110476
2,objdump,fcb,13,127313-128264
3,objdump,fcb,13,151486-151505
4,objdump,fcb,13,129609-129613
5,objdump,fcb,13,132249-132253
6,objdump,fcb,13,129613-129637
7,objdump,fcb,13,132352-133250
8,objdump,fcb,13,254619-254630
9,objdump,fcb,13,127316-127327
10,objdump,fcb,13,132360-132368
11,objdump,fcb,13,132278-132290
12,objdump,fcb,13,127303-127327
13,objdump,fcb,13,281912-281920
14,objdump,fcb,13,119369-119380
15,objdump,fcb,13,132413-132429
16,objdump,fcb,13,110479-110498
17,objdump,fcb,13,131592-131657
18,objdump,fcb,13,132360-133250
19,objdump,fcb,13,241781-241787
20,objdump,fcb,13,129629-129637
21,objdump,fcb,13,127316-128268
22,objdump,fcb,13,131191-131202
23,objdump,fcb,13,128290-128301
24,objdump,fcb,13,115405-115806
25,objdump,fcb,13,128290-127327
26,objdump,fcb,13,242397-242407
27,objdump,fcb,13,110610-110908
28,objdump,fcb,13,110627-110852
29,objdump,fcb,13,131119-131150
30,objdump,fcb,13,128301-127327
31,objdump,fcb,13,131162-132184
32,objdump,fcb,13,131244-131272
33,objdump,fcb,13,128279-127327
34,objdump,fcb,13,128312-127327
35,objdump,fcb,13,128323-127327
36,objdump,fcb,13,131296-131305
37,objdump,fcb,13,131507-131534
38,objdump,fcb,13,109702-109707
39,objdump,fcb,13,132432-133237
40,objdump,fcb,13,115139-115120
41,objdump,fcb,13,131507-131530
42,objdump,fcb,13,131106-132184
43,objdump,fcb,13,133245-133250
44,objdump,fcb,13,131668-131673
45,objdump,fcb,13,131487-131502
46,objdump,fcb,13,131218-131530
47,objdump,fcb,13,131507-132184
48,objdump,fcb,13,131534-131560
49,objdump,fcb,13,253830-253837
50,objdump,fcb,13,253848-254611
51,objdump,fcb,13,131650-132164
52,objdump,fcb,13,132436-133245
53,objdump,fcb,13,131225-131233
54,objdump,fcb,13,253830-254611
55,objdump,fcb,13,131673-131678
56,objdump,fcb,13,131372-131365
57,objdump,fcb,13,132446-133245
58,objdump,fcb,13,131428-131457
59,objdump,fcb,13,131206-131235
60,objdump,fcb,13,131383-131391
61,objdump,fcb,13,131353-131380
62,objdump,fcb,13,131521-131233
63,objdump,fcb,13,244760-244763
64,objdump,fcb,13,244651-244663
65,objdump,fcb,13,131712-131720
66,objdump,fcb,13,131982-131987
67,objdump,fcb,13,131576-132164
68,objdump,fcb,13,131720-132171
69,objdump,fcb,13,132061-132088
70,objdump,fcb,13,131888-131987
71,objdump,fcb,13,132204-132224
72,objdump,fcb,13,243885-243890
73,objdump,fcb,13,131696-131712
74,objdump,fcb,13,131720-131730
75,objdump,fcb,13,131720-132088
76,objdump,fcb,13,131927-131934
77,objdump,fcb,13,132453-133237
78,objdump,fcb,13,131704-131707
79,objdump,fcb,13,131599-131639
80,objdump,fcb,13,131218-132184
81,objdump,fcb,13,133234-133237
82,objdump,fcb,13,132476-133234
83,objdump,fcb,13,132705-133234
84,objdump,fcb,13,131896-131927
85,objdump,fcb,13,131934-131934
86,objdump,fcb,13,131441-131473
87,objdump,fcb,13,132705-132845
88,objdump,fcb,13,133034-133066
89,objdump,fcb,13,133091-133158
90,objdump,fcb,13,132697-133240
91,objdump,fcb,13,120100-120135
92,objdump,fcb,13,132887-133030
93,objdump,fcb,13,132684-133240
94,objdump,fcb,13,132705-132708
95,objdump,fcb,13,1766-1774
96,objdump,fcb,13,132708-132721
